formula_family,audit_lane,n_rows,n_accepted_scale,n_s4g_matched
K_compact_finite,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,21,0,0
K_compact_finite,PARTIAL_SCALE_READY_KERNEL_BLOCKED,7,7,7
K_compact_finite,S4G_MATCHED_BUT_NO_ACCEPTED_SCALE,1,0,1
K_exponential_disk,NEAR_TERM_EXPONENTIAL_DISK_FAMILY_LABEL_AUDIT_POOL,14,14,14
K_exponential_disk,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,17,0,0
K_exponential_disk,S4G_MATCHED_BUT_NO_ACCEPTED_SCALE,1,0,1
K_scale_tail_spiral,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,50,0,0
K_scale_tail_spiral,PARTIAL_SCALE_READY_KERNEL_BLOCKED,30,30,30
K_thick_flared,NO_S4G_MATCH_EXTERNAL_SOURCE_NEEDED,9,0,0
K_thick_flared,PARTIAL_SCALE_READY_KERNEL_BLOCKED,25,25,25
