amplitude_path_id,shrinkage_policy,family_weight,global_weight,formula_family,beta_delta_v2_amplitude,raw_family_beta,raw_global_beta,is_negative,kernel,formula_source
shrink_family_weight_0.00,family_to_global_linear,0.0,1.0,K_compact_finite,-300.55205314483686,108797.3699669811,-300.55205314483686,True,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.00,family_to_global_linear,0.0,1.0,K_scale_tail_spiral,-300.55205314483686,758.0918289449462,-300.55205314483686,True,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.00,family_to_global_linear,0.0,1.0,K_exponential_disk,-300.55205314483686,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.00,family_to_global_linear,0.0,1.0,K_thick_flared,-300.55205314483686,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.05,family_to_global_linear,0.05,0.95,K_compact_finite,5154.344047861461,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.05,family_to_global_linear,0.05,0.95,K_scale_tail_spiral,-247.6198590403477,758.0918289449462,-300.55205314483686,True,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.05,family_to_global_linear,0.05,0.95,K_exponential_disk,-335.7185974297577,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.05,family_to_global_linear,0.05,0.95,K_thick_flared,-311.67254162639665,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.10,family_to_global_linear,0.1,0.9,K_compact_finite,10609.240148867759,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.10,family_to_global_linear,0.1,0.9,K_scale_tail_spiral,-194.68766493585858,758.0918289449462,-300.55205314483686,True,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.10,family_to_global_linear,0.1,0.9,K_exponential_disk,-370.8851417146787,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.10,family_to_global_linear,0.1,0.9,K_thick_flared,-322.7930301079565,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
shrink_family_weight_0.15,family_to_global_linear,0.15,0.85,K_compact_finite,16064.136249874053,108797.3699669811,-300.55205314483686,False,kernel_K_compact_finite,tau_core_gravity_rmond_compact_finite_source_readout_formula_001
shrink_family_weight_0.15,family_to_global_linear,0.15,0.85,K_scale_tail_spiral,-141.7554708313694,758.0918289449462,-300.55205314483686,True,kernel_K_scale_tail_spiral,tau_core_gravity_rmond_scale_tail_spiral_readout_formula_001:n=2
shrink_family_weight_0.15,family_to_global_linear,0.15,0.85,K_exponential_disk,-406.0516859995995,-1003.8829388432547,-300.55205314483686,True,kernel_K_exponential_disk,tau_core_gravity_rmond_exponential_disk_readout_formula_001:Freeman_Bessel
shrink_family_weight_0.15,family_to_global_linear,0.15,0.85,K_thick_flared,-333.91351858951623,-522.9618227760329,-300.55205314483686,True,kernel_K_thick_flared,tau_core_gravity_rmond_thick_flared_disk_readout_formula_001:constant_h_exponential_vertical
