galaxy,split,role,n_points,rmse_v6,rmse_mond,rmse_tau_proxy,delta_tau_minus_v6,mean_rparent_cd,max_abs_rparent_cd,type_bin,inc_bin,distance_quality,tau_proxy_beats_tpg_v6,tau_proxy_beats_mond,tpg_v6_beats_mond,tau_minus_tpg_v6,tau_minus_mond
CamB,holdout,middle,9,13.637798537308,15.623524086441,13.642846320521,0.005047783213,1.2335811384720001e-17,0.17925020735,irregular_T_ge_9,inc_high_60_80,2.0,False,True,True,0.00504778321299959,-1.9806777659199994
D512-2,train,control,4,2.51394981885,6.561883790113,2.521152404629,0.00720258578,-5.551115123126001e-17,0.044630260141,irregular_T_ge_9,inc_mid_40_60,1.0,False,True,True,0.007202585778999904,-4.0407313854839995
D564-8,train,control,6,3.399294537691,7.164090555901,3.424342315771,0.02504777808,9.251858538543e-18,0.246468124692,irregular_T_ge_9,inc_high_60_80,2.0,False,True,True,0.025047778079999805,-3.73974824013
D631-7,train,middle,16,10.358092553922,10.521817679772,10.339176503366,-0.018916050556,1.9081958235740003e-17,0.402018669418,irregular_T_ge_9,inc_mid_40_60,2.0,True,True,True,-0.018916050556001096,-0.1826411764060012
DDO064,train,control,14,2.733291785048,3.548332793859,2.652230679306,-0.081061105742,1.7842870038620003e-17,1.569897931615,irregular_T_ge_9,inc_high_60_80,1.0,True,True,True,-0.08106110574199965,-0.8961021145529999
DDO154,train,control,12,3.544983778635,4.451832612675,3.865321364279,0.320337585644,9.251858538543e-18,0.37901816682,irregular_T_ge_9,inc_high_60_80,2.0,False,True,True,0.3203375856440003,-0.586511248396
DDO161,train,middle,31,13.579219703883,18.569662825271,13.662590166397,0.083370462514,-1.7011481828930002e-17,0.439381500468,irregular_T_ge_9,inc_high_60_80,1.0,False,True,True,0.08337046251400082,-4.907072658873998
DDO168,train,control,10,6.727638673753,7.879974549734,6.661091548874,-0.066547124878,2.22044604925e-17,0.221861382634,irregular_T_ge_9,inc_high_60_80,2.0,True,True,True,-0.0665471248789995,-1.21888300086
DDO170,train,control,8,7.480201139885,14.370201282343,7.505034327935,0.02483318805,-1.0408340855860001e-17,0.379066814472,irregular_T_ge_9,inc_high_60_80,1.0,False,True,True,0.024833188050000565,-6.865166954408
ESO079-G014,train,middle,15,12.522654026497,11.397542407404,12.388567564444,-0.134086462053,7.401486830834e-18,0.086467100374,mid_T_3_5,inc_high_60_80,1.0,True,False,False,-0.13408646205300023,0.9910251570399993
ESO116-G012,holdout,middle,15,11.508201668011,9.108666488882,11.548699351827,0.040497683816,0.0,0.246824647645,late_T_6_8,inc_high_60_80,1.0,False,False,False,0.04049768381599961,2.440032862945001
ESO444-G084,train,middle,7,13.917114692093,10.513209179623,13.95509653513,0.037981843037,7.930164461608e-18,0.373701251119,irregular_T_ge_9,inc_low_lt_40,2.0,False,False,False,0.03798184303700047,3.4418873555069993
ESO563-G021,train,candidate,30,47.72714916376,44.486671769283,47.267543853062,-0.459605310697,-4.163336342344e-18,0.229734737922,mid_T_3_5,inc_edge_ge_80,1.0,True,False,False,-0.45960531069799515,2.780872083779002
F561-1,holdout,candidate,6,28.556851880525,32.526019723977,28.493412606729,-0.063439273796,1.8503717077090003e-17,0.057732431161,irregular_T_ge_9,inc_low_lt_40,1.0,True,True,True,-0.0634392737959999,-4.032607117248002
F563-1,holdout,candidate,17,24.695833689634,18.445687396422,24.75021383263,0.054380142996,-1.224510688925e-18,0.48914895616,irregular_T_ge_9,inc_low_lt_40,1.0,False,False,False,0.05438014299599914,6.3045264362080005
F563-V1,train,candidate,6,23.669492227256,29.338957960124,23.630300585462,-0.039191641794,-9.251858538543e-18,0.079905270228,irregular_T_ge_9,inc_high_60_80,1.0,True,True,True,-0.0391916417940017,-5.708657374662
F563-V2,train,candidate,10,26.23894780335,23.428832485174,26.306688197054,0.067740393704,1.3877787807810001e-17,0.148341475491,irregular_T_ge_9,inc_low_lt_40,1.0,False,False,False,0.06774039370399976,2.8778557118800023
F565-V2,train,middle,7,11.960771688431,6.916649069724,12.006334632918,0.045562944487,-2.973811673103e-18,0.071440729598,irregular_T_ge_9,inc_high_60_80,1.0,False,False,False,0.04556294448699916,5.089685563193999
F567-2,train,middle,5,14.016635993218,19.406231954265,13.625967351694,-0.390668641524,-4.4408920985010005e-17,0.283588630266,irregular_T_ge_9,inc_low_lt_40,1.0,True,True,True,-0.39066864152399994,-5.780264602571
F568-1,holdout,candidate,12,33.500610533676,29.974188853659,33.639620715746,0.13901018207,6.9388939039069996e-18,0.209430339958,mid_T_3_5,inc_low_lt_40,1.0,False,False,False,0.13901018206999538,3.6654318620869972
F568-3,train,middle,18,9.114907038792,7.976415983118,9.085327050965,-0.029579987827,4.625929269271e-18,0.151410033607,late_T_6_8,inc_mid_40_60,1.0,True,False,False,-0.029579987826998888,1.1089110678470009
F568-V1,train,candidate,15,29.877210479612,25.762065140173,29.861901863824,-0.015308615788,1.850371707709e-18,0.433511252844,late_T_6_8,inc_mid_40_60,1.0,True,False,False,-0.015308615788001134,4.0998367236509985
F571-8,train,candidate,13,30.175376192122,28.290592925853,29.671499018385,-0.503877173738,8.540177112501e-18,0.275694758979,mid_T_3_5,inc_edge_ge_80,1.0,True,False,False,-0.5038771737369991,1.3809060925319976
F571-V1,train,control,7,3.573523287816,6.360130039546,3.750320283511,0.176796995695,-2.725994033678e-18,0.300829138004,late_T_6_8,inc_low_lt_40,1.0,False,True,True,0.17679699569499974,-2.609809756035
F574-1,train,middle,14,11.820788616097,8.776912560878,11.763412651236,-0.05737596486,0.0,0.100123570677,late_T_6_8,inc_high_60_80,1.0,True,False,False,-0.05737596486099861,2.9865000903580015
F574-2,train,candidate,5,32.638816543665,38.741158732416,32.273135737405,-0.365680806259,2.22044604925e-17,0.383479791937,irregular_T_ge_9,inc_low_lt_40,1.0,True,True,True,-0.3656808062600021,-6.4680229950109975
