class,tau_score,baseline,n_galaxies,median_tau_minus_baseline,tau_beats_baseline_fraction
A,tau_core_s_class,mond_simple_mu,17,0.0031185324739999992,0.47058823529411764
A,tau_core_s_class,newtonian_baryonic,17,-0.4856330546982,0.9411764705882353
A,tau_core_s_class,projection_fixed,17,0.0,0.0
A,tau_core_s_class,rar_mcgaugh,17,0.003173524928000007,0.47058823529411764
A,tau_core_s_continuous,mond_simple_mu,17,0.016586523418000015,0.4117647058823529
A,tau_core_s_continuous,newtonian_baryonic,17,-0.45141208542800004,0.9411764705882353
A,tau_core_s_continuous,projection_fixed,17,0.008178010489000007,0.23529411764705882
A,tau_core_s_continuous,rar_mcgaugh,17,0.01583071908700001,0.4117647058823529
A,tau_core_s_evidence,mond_simple_mu,17,0.0031185324739999992,0.47058823529411764
A,tau_core_s_evidence,newtonian_baryonic,17,-0.4856330546982,0.9411764705882353
A,tau_core_s_evidence,projection_fixed,17,0.0,0.0
A,tau_core_s_evidence,rar_mcgaugh,17,0.003173524928000007,0.47058823529411764
A,tau_core_s_soft,mond_simple_mu,17,0.015929795426999988,0.4117647058823529
A,tau_core_s_soft,newtonian_baryonic,17,-0.455023526361,0.9411764705882353
A,tau_core_s_soft,projection_fixed,17,0.012811262952999988,0.29411764705882354
A,tau_core_s_soft,rar_mcgaugh,17,0.015984787880999995,0.4117647058823529
B,tau_core_s_class,mond_simple_mu,28,0.18749376193,0.32142857142857145
B,tau_core_s_class,newtonian_baryonic,28,-0.3871270497485,1.0
B,tau_core_s_class,projection_fixed,28,0.18594909520019998,0.21428571428571427
B,tau_core_s_class,rar_mcgaugh,28,0.19004705959155,0.2857142857142857
B,tau_core_s_continuous,mond_simple_mu,28,0.18749376193,0.2857142857142857
B,tau_core_s_continuous,newtonian_baryonic,28,-0.3780474313335,0.9642857142857143
B,tau_core_s_continuous,projection_fixed,28,0.18594909520019998,0.17857142857142858
B,tau_core_s_continuous,rar_mcgaugh,28,0.19004705959155,0.25
B,tau_core_s_evidence,mond_simple_mu,28,0.18749376193,0.32142857142857145
B,tau_core_s_evidence,newtonian_baryonic,28,-0.3871270497485,1.0
B,tau_core_s_evidence,projection_fixed,28,0.18594909520019998,0.21428571428571427
B,tau_core_s_evidence,rar_mcgaugh,28,0.19004705959155,0.2857142857142857
B,tau_core_s_soft,mond_simple_mu,28,0.039978506664800004,0.35714285714285715
B,tau_core_s_soft,newtonian_baryonic,28,-0.4617163237686,1.0
B,tau_core_s_soft,projection_fixed,28,0.048830744688,0.35714285714285715
B,tau_core_s_soft,rar_mcgaugh,28,0.04038103323835001,0.35714285714285715
C,tau_core_s_class,mond_simple_mu,28,0.382175637124,0.14285714285714285
C,tau_core_s_class,newtonian_baryonic,28,0.0,0.0
C,tau_core_s_class,projection_fixed,28,0.45179759121650004,0.14285714285714285
C,tau_core_s_class,rar_mcgaugh,28,0.383032239199,0.14285714285714285
C,tau_core_s_continuous,mond_simple_mu,28,0.1728036831298,0.25
C,tau_core_s_continuous,newtonian_baryonic,28,-0.1611538415485,0.8571428571428571
C,tau_core_s_continuous,projection_fixed,28,0.21674958186820004,0.21428571428571427
C,tau_core_s_continuous,rar_mcgaugh,28,0.17371568122875003,0.21428571428571427
C,tau_core_s_evidence,mond_simple_mu,28,0.382175637124,0.14285714285714285
C,tau_core_s_evidence,newtonian_baryonic,28,0.0,0.0
C,tau_core_s_evidence,projection_fixed,28,0.45179759121650004,0.14285714285714285
C,tau_core_s_evidence,rar_mcgaugh,28,0.383032239199,0.14285714285714285
C,tau_core_s_soft,mond_simple_mu,28,0.015871458680299988,0.5
C,tau_core_s_soft,newtonian_baryonic,28,-0.41144574825700003,0.8928571428571429
C,tau_core_s_soft,projection_fixed,28,0.0225847625232,0.5
C,tau_core_s_soft,rar_mcgaugh,28,0.023312670982749993,0.5
