galaxy,split,formula_family,n_points,rmse_matched,rmse_wrong_mean,rmse_newton,rmse_tpg_v6,rmse_mond,matched_minus_wrong,matched_minus_newton,matched_minus_tpg_v6,matched_minus_mond,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared
CamB,holdout,K_scale_tail_spiral,9,43.27396149560094,166.07449607754543,3.3556068721726025,13.63779853730796,15.623524086441458,-122.80053458194449,39.91835462342834,29.636162958292985,27.650437409159487,456.86280660430253,43.27396149560094,19.57448113192965,21.786200496404092
ESO116-G012,holdout,K_exponential_disk,15,18.043590635788533,50.418221964156686,46.78642194708297,11.508201668011028,9.108666488881621,-32.37463132836815,-28.742831311294438,6.535388967777505,8.934924146906912,119.18223780372125,19.117462109561547,18.043590635788533,12.954965979187245
F561-1,holdout,K_scale_tail_spiral,6,21.459783563258295,75.93493493315306,9.593416723190401,28.55685188052471,32.526019723976546,-54.47515136989476,11.866366840067894,-7.097068317266416,-11.066236160718251,145.75009541987504,21.459783563258295,37.895319985142194,44.15938939444194
F563-1,holdout,K_scale_tail_spiral,17,34.13366348606476,24.98487886388898,62.47755725522295,24.695833689633552,18.44568739642176,9.148784622175782,-28.343893769158186,9.43782979643121,15.687976089643001,55.05685934069216,34.13366348606476,9.115473903722279,10.782303347252506
F568-1,holdout,K_thick_flared,12,23.534258277265504,50.035734349582135,69.86283183130358,33.500610533676024,29.974188853658532,-26.50147607231663,-46.32857355403807,-9.96635225641052,-6.439930576393028,82.13591216747997,38.09827703163393,29.873013849632503,23.534258277265504
IC2574,holdout,K_scale_tail_spiral,34,13.960837258102664,69.73297195172296,23.78354699928544,7.5138151552258,13.51316984455882,-55.772134693620295,-9.822709741182777,6.447022102876864,0.44766741354384365,144.1860822346284,13.960837258102664,30.07867204445831,34.93416157608216
IC4202,holdout,K_compact_finite,32,44.00052007030146,41.535362891326365,69.1215936942972,26.101514959176914,26.12803028857914,2.4651571789750975,-25.12107362399574,17.89900511112455,17.872489781722322,44.00052007030146,58.678173942851025,35.945735192596295,29.982179538531767
NGC0024,holdout,K_thick_flared,29,29.386185886985803,93.9538128229258,47.18129248016706,22.157814084096987,20.65262257294937,-64.56762693594,-17.795106593181256,7.228371802888816,8.733563314036434,239.4804619484732,10.390867920570509,31.990108599733702,29.386185886985803
NGC2683,holdout,K_thick_flared,11,22.192933946250175,29.358980542585275,63.99459888504826,10.314830339812675,14.151015414510422,-7.1660465963351,-41.80166493879808,11.8781036064375,8.041918531739753,26.803148401503297,48.05203752782044,13.221755698432087,22.192933946250175
NGC3726,holdout,K_thick_flared,12,23.184810030263417,27.110962356940075,50.40406506912891,23.631876746434497,26.325344741169783,-3.9261523266766574,-27.219255038865494,-0.4470667161710793,-3.1405347109063655,27.13981929916852,33.664889736910816,20.528178034740897,23.184810030263417
NGC3949,holdout,K_thick_flared,7,11.256176560132166,46.13970491142502,28.51727644416544,8.950158230683527,11.297904622428334,-34.88352835129285,-17.26109988403327,2.306018329448639,-0.04172806229616732,108.15995520231571,16.63393306555751,13.62522646640185,11.256176560132166
NGC3972,holdout,K_thick_flared,10,10.20109011129777,47.175129293297566,44.45959494291804,7.806428086864266,6.774747860896815,-36.9740391819998,-34.25850483162027,2.3946620244335035,3.426342250400955,103.34222594396803,22.74171049159641,15.441451444328244,10.20109011129777
NGC4013,holdout,K_compact_finite,36,26.823151061390863,27.499900015368183,65.6912991112144,12.273912532057183,14.334222058319126,-0.6767489539773202,-38.868148049823546,14.54923852933368,12.488929003071737,26.823151061390863,50.10284010283019,10.833125521835415,21.563734421438948
NGC4088,holdout,K_thick_flared,12,29.361680521201812,25.964251447815474,25.396289301523897,38.98773649865968,42.18384581680386,3.3974290733863377,3.9653912196779153,-9.626055977457867,-12.822165295602048,37.242593430072105,17.004542403315465,23.64561851005886,29.361680521201812
NGC4183,holdout,K_exponential_disk,23,11.025989472300072,30.541592207614766,48.41085618248364,6.489693491114096,10.354993594406714,-19.515602735314694,-37.38486671018357,4.536295981185976,0.6709958778933576,46.46735869818288,26.063521963895777,11.025989472300072,19.093895960765636
NGC4214,holdout,K_scale_tail_spiral,14,14.742999013875508,69.40938349847929,43.616236802795356,17.991047303306434,15.27888150484993,-54.66638448460378,-28.873237788919848,-3.248048289430926,-0.5358824909744211,179.8402358108738,14.742999013875508,16.240720757827415,12.147193926736659
NGC4389,holdout,K_thick_flared,6,41.037687429297975,88.89016861232817,23.5662941993844,46.55692853885728,48.50110279830857,-47.85248118303019,17.471393229913573,-5.519241109559303,-7.4634153690105975,191.07775247339802,37.812388026773775,37.78036533681266,41.037687429297975
NGC5907,holdout,K_thick_flared,19,26.131248761913206,52.48506108074695,86.48374825501512,16.785509985459306,18.59536481497724,-26.353812318833747,-60.35249949310191,9.3457387764539,7.535883946935964,62.35220820887182,74.60181991557813,20.50115511779088,26.131248761913206
NGC5985,holdout,K_compact_finite,33,105.90451954082732,96.12438815182394,136.4962034128173,72.28739039126062,69.40357999391347,9.780131389003387,-30.59168387198997,33.61712914956671,36.500939546913855,105.90451954082732,124.04072989612168,87.01228936812353,77.32014519122657
NGC6789,holdout,K_scale_tail_spiral,4,17.930087636586716,218.01627261992869,26.49840257662861,15.897752239176857,15.396246199577478,-200.08618498334198,-8.568314940041894,2.0323353974098595,2.5338414370092384,618.3703503636013,17.930087636586716,18.53384580131503,17.144621694869667
NGC6946,holdout,K_compact_finite,58,20.10770676068362,15.305665097839908,42.149896326484296,15.025447425206579,17.728143095419597,4.8020416628437115,-22.042189565800676,5.0822593354770405,2.3795636652640226,20.10770676068362,27.924623191260203,8.418941449623803,9.57343065263572
NGC7331,holdout,K_thick_flared,36,21.419358928373605,35.75215621934408,59.354351789327744,25.485065060071012,29.311675230419702,-14.332797290970476,-37.93499286095414,-4.065706131697407,-7.892316302046098,34.25946661313947,49.19370426041216,23.803297784480602,21.419358928373605
UGC00731,holdout,K_scale_tail_spiral,12,9.35285910242372,47.30903199374055,38.17360738121145,12.845453066903099,11.466827035781066,-37.956172891316825,-28.820748278787725,-3.4925939644793793,-2.113967933357346,118.82131596765942,9.35285910242372,9.503419922703689,13.602360090858529
UGC00891,holdout,K_scale_tail_spiral,5,7.181186912247099,66.818121124303,28.400063073702132,5.958365558298525,7.682081654505746,-59.636934212055905,-21.218876161455032,1.2228213539485733,-0.5008947422586472,165.97256404725474,7.181186912247099,16.277293947096855,18.20450537855741
UGC02023,holdout,K_scale_tail_spiral,5,23.797245968992694,100.99135071170366,15.027147630460606,12.198048884046239,13.979836766957423,-77.19410474271096,8.770098338532089,11.599197084946455,9.817409202035272,264.1575515818279,23.797245968992694,17.808030789119304,21.008469764163824
UGC02259,holdout,K_exponential_disk,8,9.168918811210581,51.91170290985272,48.104127634342866,16.43514083306515,13.66144175213647,-42.74278409864214,-38.935208823132285,-7.266222021854571,-4.492522940925889,129.9077060487477,18.288951891144976,9.168918811210581,7.538450789665452
UGC03580,holdout,K_compact_finite,47,94.18409120290032,31.642706152688532,36.01201131349121,25.49452615076704,27.172706555031343,62.54138505021179,58.17207988940911,68.68956505213328,67.01138464786898,94.18409120290032,25.768433606329925,34.77075285784576,34.388931993889905
UGC04305,holdout,K_scale_tail_spiral,22,29.56783268025219,94.36262069148943,6.361564686999685,23.999621706482884,26.588364190715332,-64.79478801123723,23.206267993252506,5.5682109737693075,2.9794684895368597,225.12381852893338,29.56783268025219,26.939234798029496,31.0248087475054
UGC04499,holdout,K_scale_tail_spiral,9,2.5924298010493483,57.7553208094763,28.740791843283862,6.040634191372928,8.985021588452573,-55.16289100842695,-26.148362042234513,-3.4482043903235797,-6.392591787403225,147.72626575273193,2.5924298010493483,10.901734226994822,14.637962448702151
UGC05414,holdout,K_scale_tail_spiral,6,15.369580443682937,87.92919210904269,19.4770280367091,6.4008126343112375,8.261884143933315,-72.55961166535975,-4.107447593026164,8.968767809371698,7.107696299749621,240.36367322122453,15.369580443682937,10.532578613262446,12.891324492641123
