galaxy,marker_index_radial_order,x_roundtrip_residual_pt,y_roundtrip_residual_pt,error_roundtrip_residual_pt
NGC 613,1,-6.318749996125916e-05,-5.266540404136322e-05,0.00011423769103657833
NGC 613,2,4.948437498342173e-05,-2.7489347019127308e-05,9.150556201120708e-05
NGC 613,3,4.087500002469824e-05,-2.532500701590834e-05,8.98640990385502e-05
NGC 613,4,-8.017187496989209e-05,5.930445195190259e-05,0.00010156753796763951
NGC 613,5,-8.107812499247302e-05,2.7191447031782445e-05,4.9248619063746446e-05
NGC 613,6,2.384375000019645e-05,5.930445195190259e-05,0.00010156753796763951
NGC 613,7,6.753125001068838e-05,-1.9190523971701623e-05,4.9248619063746446e-05
NGC 613,8,-5.4609374956271495e-05,2.5829571995927836e-05,5.899136999687471e-05
NGC 613,9,-7.434374998638305e-05,-7.070697802191717e-05,8.986409898170677e-05
NGC 613,10,-3.279687496160477e-05,-5.266540404136322e-05,0.00012498044202402525
NGC 613,11,-2.3437496565748006e-07,-1.558225596909324e-05,7.166152300897011e-05
NGC 613,12,2.904687499949432e-05,3.673666299164324e-05,2.3875026954556233e-05
NGC 613,13,6.940625007700874e-05,-1.558225596909324e-05,8.076281096691673e-05
NGC 4303,1,-2.5127763024102023e-05,6.863080807306687e-05,8.618892104550469e-05
NGC 4303,2,5.363346986086981e-06,5.478123705415783e-05,0.00010261330510275002
NGC 4303,3,-1.9544763972589863e-05,1.9412501046645048e-05,7.331819404043927e-05
NGC 4303,4,-3.6881249911857594e-06,7.321188093101227e-05,0.00010171043595619267
NGC 4303,5,-3.52777570356011e-05,7.212049001736887e-05,0.00010698460903313389
NGC 4303,6,-3.8215550262066245e-06,-7.066135401601059e-05,0.00010892090699599066
NGC 4303,7,1.7641293936776492e-05,2.9374098971857165e-05,7.55038460056312e-05
NGC 4303,8,-1.4272129078563012e-05,4.173111801719642e-05,4.5208735059532046e-05
NGC 4303,9,2.7523964945430635e-05,-1.6755661022216373e-05,7.305678798275039e-05
NGC 4303,10,2.716228692634104e-05,6.863080807306687e-05,0.00010389608803507144
NGC 4303,11,-3.5482331043112936e-05,-6.468199001119501e-05,4.495938094351004e-05
NGC 4303,12,-2.4816333109356492e-05,1.3527398095902754e-05,4.286798991870455e-05
NGC 4303,13,-2.4785190134934965e-05,-7.066135401601059e-05,0.00013512749706023897
NGC 4579,2,3.180416200621039e-05,1.5439409995821052e-05,5.404847399859136e-05
NGC 4579,3,4.6073500072907336e-05,-9.417473989969949e-06,4.9312464007300605e-05
NGC 4579,4,3.0447220012774778e-05,1.1046897995470317e-05,5.404847399859136e-05
NGC 4579,5,-1.856697798530149e-05,-3.426513700333089e-05,4.5041447009452895e-05
NGC 4579,6,4.351118036538537e-06,1.7506579993664673e-05,4.5041447009452895e-05
NGC 4579,7,3.509198000983815e-05,-2.1278888993947476e-05,2.629769500117618e-05
NGC 4579,8,-2.735152008881414e-06,-1.7752959990957606e-06,7.160972999997739e-05
NGC 4579,9,2.668204200517721e-05,6.663970400211383e-05,8.09755800048606e-05
NGC 4579,10,4.595280199737317e-05,-5.081717199573177e-05,0.00011965160599913816
NGC 4579,11,-2.8735575995142426e-05,-6.558170299797439e-05,4.385895100256221e-05
NGC 4579,12,3.5144002026754606e-05,-1.7752959990957606e-06,5.6954641991069366e-05
NGC 5248,1,1.2765625001520675e-05,-5.406068203228642e-05,0.00010099608903146873
NGC 5248,2,3.342187505950278e-05,-1.715696498649777e-05,4.649453097727019e-05
NGC 5248,3,2.5343750053252734e-05,5.015756602233523e-05,9.496552991095086e-06
NGC 5248,4,1.8609375047162757e-05,-5.991243398284496e-05,9.944874398115644e-05
NGC 5248,5,-4.16562500049622e-05,-3.9967964994502836e-05,4.239984099285721e-05
NGC 5248,6,-2.843749996372935e-05,-5.991243398284496e-05,0.00011546265500328445
NGC 5248,7,3.740625004411413e-05,6.492209695352358e-05,7.715750399484023e-05
NGC 5248,8,-1.270312498036219e-05,6.89985660073944e-05,0.00013433409702656718
NGC 5248,9,2.7265624964911694e-05,6.863972998871759e-06,9.496552991095086e-06
NGC 7479,1,1.3523239999813086e-05,-2.038221498423809e-05,6.709251488246082e-05
NGC 7479,2,-2.10263240205677e-05,6.285196593580622e-05,6.21893600509793e-05
NGC 7479,3,-6.840453596623775e-05,5.066215692295373e-05,1.3430123999569332e-05
NGC 7479,4,-6.798947993047477e-06,-3.413752494907385e-05,9.457887495045725e-05
NGC 7479,5,-6.73033680413937e-05,-5.03825169744232e-05,0.00010676868396330974
NGC 7479,6,2.0902463973015983e-05,1.79503130084413e-05,8.639867701276671e-05
NGC 7479,7,5.81387760121288e-05,-3.0082341936576995e-05,0.00010249164097331231
NGC 7479,8,-6.753200005960025e-05,-3.0082341936576995e-05,1.8065847029902216e-05
NGC 7479,9,-2.364902002227609e-05,-3.257202399709058e-05,4.5989939849278016e-05
NGC 7479,10,4.999857594611967e-05,6.690714894830307e-05,0.00013479923302384123
