galaxy,disposition,n_rows,common_source_rows,median_cosi,inclination_gate,minimum_common_rows_gate,source_sector_gate,body_rank,standard_rank,combined_rank,complement_dimension,source_sector_counts,radial_edges_arcsec
ARP220,SOURCE_ONLY_GATE_FAILED,1849,41,0.6429671049118042,True,False,False,,,,,,
IC0480,SOURCE_ONLY_GATE_FAILED,1849,46,0.0894218385219574,False,False,False,,,,,,
IC0540,SOURCE_ONLY_GATE_FAILED,1849,12,0.15631552040576935,False,False,False,,,,,,
IC0944,SOURCE_ONLY_GATE_FAILED,1849,59,0.4429609477519989,True,False,False,,,,,,
IC1151,SOURCE_ONLY_GATE_FAILED,1849,0,0.3706745505332947,True,False,False,,,,,,
IC1199,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,45,0.30884572863578796,False,False,False,,,,,,
IC1683,SOURCE_ONLY_GATE_FAILED,1849,41,0.4003337323665619,True,False,False,,,,,,
IC2247,SOURCE_ONLY_GATE_FAILED,1849,54,0.060995254665613174,False,False,False,,,,,,
IC2487,SOURCE_ONLY_GATE_FAILED,1849,43,0.1767319142818451,False,False,False,,,,,,
IC4566,SOURCE_ONLY_GATE_FAILED,1849,64,0.6405877470970154,True,False,False,,,,,,
IC5376,SOURCE_ONLY_GATE_FAILED,1849,9,0.17914961278438568,False,False,False,,,,,,
NGC0444,SOURCE_ONLY_GATE_FAILED,1849,0,0.17914800345897675,False,False,False,,,,,,
NGC0447,SOURCE_ONLY_GATE_FAILED,1849,27,0.9709649682044983,False,False,False,,,,,,
NGC0477,SOURCE_ONLY_GATE_FAILED,1849,31,0.32538530230522156,False,False,False,,,,,,
NGC0496,SOURCE_ONLY_GATE_FAILED,1849,56,0.337084025144577,False,False,False,,,,,,
NGC0523,SOURCE_ONLY_GATE_FAILED,1849,72,0.2341453731060028,False,False,False,,,,,,
NGC0528,SOURCE_ONLY_GATE_FAILED,1849,0,0.5253593921661377,True,False,False,,,,,,
NGC0551,SOURCE_ONLY_GATE_FAILED,1849,51,0.3679783046245575,True,False,False,,,,,,
NGC1167,SOURCE_ONLY_GATE_FAILED,1849,2,0.7234233617782593,True,False,False,,,,,,
NGC2253,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,171,0.7336607575416565,True,True,False,,,,,"[12, 12, 12, 12, 10]","[0.47507646679878235, 11.53216552734375, 16.67414665222168, 20.1072940826416, 23.427522659301758, 29.969011306762695]"
NGC2347,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,79,0.7130880951881409,True,False,False,,,,,,
NGC2410,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,73,0.24053242802619934,False,False,False,,,,,,
NGC2480,SOURCE_ONLY_GATE_FAILED,1849,19,0.3788014352321625,True,False,False,,,,,,
NGC2487,SOURCE_ONLY_GATE_FAILED,1849,34,0.8154528141021729,True,False,False,,,,,,
NGC2623,SOURCE_ONLY_GATE_FAILED,1849,31,0.2246892750263214,False,False,False,,,,,,
NGC2639,SOURCE_ONLY_GATE_FAILED,1849,86,0.7332287430763245,True,False,False,,,,,,
