galaxy,disposition,n_rows,radial_edge_rows,median_cosi,inclination_gate,minimum_radial_edge_rows_gate,source_sector_gate,profile_support_gate,body_rank,standard_rank,combined_rank,complement_dimension,rank_gate,source_sector_counts,radial_edges_arcsec
ARP220,SOURCE_ONLY_GATE_FAILED,1849,113,0.6429671049118042,True,False,False,False,,,,,False,,
IC0480,SOURCE_ONLY_GATE_FAILED,1849,78,0.0894218385219574,False,False,False,False,,,,,False,,
IC0540,SOURCE_ONLY_GATE_FAILED,1849,32,0.15631552040576935,False,False,False,False,,,,,False,,
IC0944,SOURCE_ONLY_GATE_FAILED,1849,125,0.4429609477519989,True,True,False,False,,,,,False,"[6, 6, 6, 6, 5]","[1.269631266593933, 12.871374320983886, 18.741931533813478, 23.820331192016603, 28.710986328125, 42.20824432373047]"
IC1151,SOURCE_ONLY_GATE_FAILED,1849,0,0.3706745505332947,True,False,False,False,,,,,False,,
IC1199,HISTORICAL_LEVY_2018_KSS_EXCLUDED,1849,119,0.30884572863578796,False,False,False,False,,,,,False,,
IC1683,SOURCE_ONLY_GATE_FAILED,1849,71,0.4003337323665619,True,False,False,False,,,,,False,,
IC2247,SOURCE_ONLY_GATE_FAILED,1849,100,0.060995254665613174,False,False,False,False,,,,,False,,
IC2487,SOURCE_ONLY_GATE_FAILED,1849,109,0.1767319142818451,False,False,False,False,,,,,False,,
IC4566,CONFIRMATORY_UNTOUCHED,1849,146,0.6405877470970154,True,True,True,True,8.0,8.0,16.0,4.0,True,"[6, 6, 6, 6, 6]","[0.6311495304107666, 11.887312889099121, 15.967484474182129, 19.91585922241211, 23.021331787109375, 31.880165100097656]"
IC5376,SOURCE_ONLY_GATE_FAILED,1849,47,0.17914961278438568,False,False,False,False,,,,,False,,
NGC0444,SOURCE_ONLY_GATE_FAILED,1849,0,0.17914800345897675,False,False,False,False,,,,,False,,
NGC0447,SOURCE_ONLY_GATE_FAILED,1849,73,0.9709649682044983,False,False,False,False,,,,,False,,
NGC0477,SOURCE_ONLY_GATE_FAILED,1849,181,0.32538530230522156,False,True,False,False,,,,,False,,
NGC0496,SOURCE_ONLY_GATE_FAILED,1849,119,0.337084025144577,False,False,False,False,,,,,False,,
