galaxy,fold,formula_family,effective_beta,kernel_rms,carrier_v2_rms,signed_fractional_kernel_load,path_disturbance_class,source_disturbance_class,observation_disturbance_class
IC2574,4,K_scale_tail_spiral,-1461.8541267936723,0.4747634313208472,3221.9416546989387,-0.21540889181370232,P0,S1,O0
NGC0024,2,K_thick_flared,21279.9898926478,0.16745134111549875,4930.230419526741,0.7227578719921541,P0,S0,O0
NGC0055,3,K_scale_tail_spiral,-4375.7443651783105,0.48171214360559433,8078.070159386079,-0.26093474758584395,P1,S1,O1
NGC0100,3,K_exponential_disk,1149.2967735495688,0.44724834370584177,5097.369665841418,0.10084045539037112,P0,S1,O3
NGC0247,2,K_exponential_disk,45.20906298904011,0.7516232073226996,8222.999309280733,0.004132334157626062,P0,S2,O0
NGC0289,4,K_thick_flared,-1493.8288489050033,2.300261247681212,33045.58008222959,-0.10398354646079405,P0,S1,O0
NGC0300,3,K_exponential_disk,2408.805545028941,0.613297943125032,5648.372717487452,0.26154709684448213,P0,S1,O0
NGC1090,3,K_thick_flared,-3139.3917425694867,1.3315953021472675,29221.888016672467,-0.14305712531717105,P0,S2,O0
NGC1705,1,K_scale_tail_spiral,5074.778288497326,0.47007717978996744,2497.6906720330667,0.9550972394729746,P0,S0,O3
NGC2683,4,K_thick_flared,2365.573727849219,0.21374453748911829,33147.83471005465,0.01525374030546163,P0,S0,O1
NGC2841,3,K_compact_finite,1093789.540459716,0.023844489295682624,59401.38901367371,0.4390613321048388,P0,S3,O1
NGC2903,0,K_thick_flared,940.0572657455294,0.7117746633032043,37152.13371320922,0.018009973504532723,P0,S2,O0
NGC2976,3,K_thick_flared,-4253.010093454294,0.08722586292110285,4372.598424300608,-0.08484028017575104,P0,S3,O0
NGC3198,3,K_thick_flared,-94.1613599314724,0.48041082984776945,18672.351192471997,-0.0024226267275066415,P0,S3,O0
NGC3521,0,K_thick_flared,2110.323184495682,0.3399460479590589,42534.73944588097,0.0168661201604035,P2,S3,O0
NGC3726,3,K_thick_flared,-11515.441482110225,0.6072870717977675,30317.2417192094,-0.23066672103281394,P2,S3,O0
NGC3769,3,K_thick_flared,-1569.74249272822,0.8543005697091852,15485.614880574876,-0.08659855718849256,P0,S3,O0
NGC3877,2,K_thick_flared,-7196.1243604648525,0.5465111117482161,28375.531491990947,-0.13859694313130655,P0,S3,O1
NGC3893,4,K_thick_flared,2051.2851971749337,0.8503358315030699,30898.492365293016,0.05645198746813176,P0,S3,O0
NGC3917,0,K_exponential_disk,895.0204569063969,0.7483414865604875,14877.753924814115,0.04501895532135898,P0,S1,O1
NGC3949,4,K_thick_flared,-9721.622143521503,0.21831674389774364,25851.336379509583,-0.08209992940481325,P0,S1,O0
NGC3953,1,K_thick_flared,-379.5890212311548,0.8994619569905633,46252.52055129314,-0.007381778978079093,P0,S3,O0
NGC3972,0,K_thick_flared,3757.5644104559788,0.3538428881482024,11642.247931352107,0.11420367022232152,P0,S2,O1
NGC3992,1,K_thick_flared,2896.8347268201196,2.509879533454383,56040.68042674417,0.1297397914743368,P0,S2,O0
NGC4010,4,K_exponential_disk,-2085.1105856626223,0.5436546904666872,12874.566292436259,-0.08804802618502174,P0,S3,O3
NGC4013,3,K_compact_finite,-49120.27028666966,0.028975488373487065,34935.09088184715,-0.04074080772846939,P0,S3,O3
NGC4051,4,K_thick_flared,-11169.685399066104,0.6301405694549804,28643.73872166392,-0.24572462367411332,P0,S1,O2
NGC4068,3,K_scale_tail_spiral,-1353.913364286005,0.46314682198041845,1590.5567039323992,-0.3942397465966298,P0,S0,O0
NGC4085,4,K_thick_flared,-10743.23839195916,0.3231077126765489,17540.082517788447,-0.1979023291392406,P0,S0,O2
NGC4088,3,K_thick_flared,-33459.7166491755,0.4323078079583265,42467.581657068295,-0.34061032427788945,P0,S1,O0
NGC4100,1,K_thick_flared,1721.905142475358,1.1349225216978815,29076.98048218767,0.06720879864468143,P0,S3,O0
NGC4138,3,K_compact_finite,-9594.185336373646,0.04720204073745414,27846.074761954726,-0.016263158486844627,P0,S1,O0
NGC4157,0,K_thick_flared,-4607.459370725191,1.3597546374735618,40902.2706848135,-0.15317032872311215,P0,S3,O2
NGC4183,2,K_exponential_disk,-790.5679247457095,0.9904570371941013,11768.641868073219,-0.06653474319484264,P0,S3,O2
NGC4214,2,K_scale_tail_spiral,5802.195167778432,0.39825944433034144,3568.1248123235805,0.647617206504287,P3,S2,O3
NGC4217,2,K_compact_finite,-244002.45421768446,0.030907165464302538,46908.252410210516,-0.16076966927380856,P1,S1,O3
NGC4389,1,K_thick_flared,-29468.923576487712,0.29820180066291735,15701.927006746533,-0.559656535808044,P0,S0,O0
NGC4559,3,K_exponential_disk,-3504.455239735078,1.0241177148887326,16699.36714070128,-0.21491680863162438,P0,S0,O0
NGC5005,4,K_compact_finite,2349.125973845333,0.08833484409010893,66580.16956361351,0.0031166889181528635,P0,S1,O0
NGC5033,0,K_compact_finite,120947.03093173758,0.021385261046704587,44577.19767389306,0.0580225757621784,P1,S3,O0
NGC5055,3,K_thick_flared,-7318.216832221798,1.1292316596867171,45237.59382441354,-0.18267908261153465,P1,S0,O0
NGC5371,1,K_thick_flared,-11219.715691417361,1.6760757159472517,65257.865808895425,-0.28816592110576816,P0,S3,O0
NGC5585,0,K_exponential_disk,-800.5775190096422,0.23518610297528644,5443.570358006523,-0.034588458390836775,P0,S0,O0
NGC5907,0,K_thick_flared,3984.352807673302,0.48775200150981846,49394.60482810249,0.03934389319293139,P0,S3,O3
NGC5985,1,K_compact_finite,279302.6782724534,0.10642107473062229,48891.93750862933,0.6079466822448906,P0,S3,O0
NGC6015,3,K_exponential_disk,2330.3618683408085,0.9711551009787399,19426.513827465715,0.11649762976853996,P0,S3,O0
NGC6503,3,K_exponential_disk,1141.3130203283922,1.1492117583247232,12169.325748891677,0.1077800339932512,P0,S0,O0
NGC7793,0,K_exponential_disk,312.01631215901097,0.12505074286681161,7670.41064261318,0.005086803489409346,P0,S1,O0
UGC00191,2,K_scale_tail_spiral,604.1120296784067,0.5880129872326653,4231.330357567834,0.08395130825912916,P0,S0,O0
UGC00634,0,K_scale_tail_spiral,3295.707397660603,0.4744037011487617,8249.38074579734,0.18952886713952066,P0,S0,O0
UGC00891,4,K_scale_tail_spiral,187.5607747861258,0.31929739594572865,2822.1401353966994,0.021220656699372238,P0,S2,O0
UGC04305,1,K_scale_tail_spiral,-4705.583149645792,0.4713416832331679,3282.927096096421,-0.675597543723992,P0,S2,O0
UGC04483,2,K_scale_tail_spiral,-349.74084344005075,0.47766920852721345,591.9174842498605,-0.2822360148515726,P0,S1,O0
