Name,xc,yc,PA,Ell,Rmin,Rmax,Flag,S4G,Simbad,NED,Nf,Comm,Tmag,q,PA1,n,Re,_RA,_DE
ESO011-005,780.84,299.02,42.7,0.747,13,16,z,S4G,Simbad,NED,2,,14.52,0.231,43.46,1.329,18.61,325.2435,-82.79967
ESO012-010,760.68,294.95,146.2,0.542,75,90,ok,S4G,Simbad,NED,2,,13.31,0.493,156.97,1.592,56.38,359.115,-81.56639
ESO012-014,782.57,459.99,31.0,0.58,67,75,u,S4G,Simbad,NED,2,,14.67,0.411,23.92,0.884,47.35,0.68417,-80.34639
ESO013-016,478.49,282.78,165.7,0.343,52,82,ok,S4G,Simbad,NED,2,,12.75,0.508,168.64,1.314,38.85,23.20167,-79.47389
ESO015-001,291.43,294.8,125.7,0.586,56,75,u,S4G,Simbad,NED,2,,14.39,0.357,110.22,1.131,34.34,55.93917,-80.10528
ESO026-001,795.5,495.47,19.3,0.06,52,60,ok,S4G,Simbad,NED,3,,12.52,0.689,58.26,3.126,62.93,306.25922,-81.57529
ESO027-001,776.34,294.63,12.5,0.216,112,127,u,S4G,Simbad,NED,3,,10.75,0.765,74.38,5.423,96.07,328.11014,-81.53076
ESO027-008,755.99,297.75,145.1,0.666,90,97,ok,S4G,Simbad,NED,2,,11.59,0.368,146.96,0.712,34.43,335.76745,-79.99693
ESO048-017,782.63,545.21,63.0,0.47,48,56,ok,S4G,Simbad,NED,3,,14.22,0.331,61.47,1.986,38.76,332.2319,-73.38196
ESO054-021,306.1,292.06,88.4,0.514,135,165,ok,S4G,Simbad,NED,2,,11.84,0.552,79.78,1.974,84.66,57.45602,-71.63538
ESO079-003,754.89,282.11,130.2,0.858,26,30,z,S4G,Simbad,NED,2,,11.44,0.14,130.93,1.112,23.78,8.00888,-64.25347
ESO079-005,793.9,259.08,171.2,0.411,60,65,u,S4G,Simbad,NED,2,,13.64,0.366,7.52,0.835,30.14,10.18523,-63.44029
ESO079-007,559.61,295.66,18.3,0.192,48,56,ok,S4G,Simbad,NED,2,,13.36,0.743,3.7,1.118,24.27,12.51717,-66.55275
ESO085-014,268.39,297.55,83.6,0.63,75,105,ok,S4G,Simbad,NED,2,,12.98,0.298,76.28,1.357,52.0,73.67985,-62.80058
ESO085-030,299.66,284.05,156.4,0.467,45,60,z,S4G,Simbad,NED,2,,13.14,0.498,147.17,1.377,12.16,75.374,-63.29334
ESO085-047,306.35,297.21,31.6,0.461,48,52,u,S4G,Simbad,NED,2,,14.84,0.479,32.67,1.409,37.53,76.93292,-62.99
ESO107-016,692.1,769.73,85.3,0.74,45,67,z,S4G,Simbad,NED,1,,14.99,0.184,86.17,1.261,31.65,319.02758,-64.81678
ESO114-007,500.0,276.0,129.4,0.227,48,51,u,S4G,Simbad,NED,1,,14.62,0.593,68.93,1.134,25.12,26.62654,-58.67417
ESO115-021,297.18,261.75,42.3,0.794,90,165,z,S4G,Simbad,NED,2,,13.16,0.194,42.42,1.228,86.79,39.45651,-61.3316
ESO116-012,509.79,581.64,26.3,0.62,71,82,u,S4G,Simbad,NED,0,No fit,,,,,,48.26977,-57.35725
ESO119-016,291.29,296.31,25.3,0.638,67,75,ok,S4G,Simbad,NED,1,,14.35,0.484,17.81,0.848,43.67,72.87167,-61.65083
ESO120-012,292.0,290.0,86.4,0.325,57,62,ok,S4G,Simbad,NED,2,,13.84,0.551,97.11,1.118,31.12,84.99577,-58.58549
ESO120-021,303.88,295.5,111.2,0.5,45,50,ok,S4G,Simbad,NED,1,,15.25,0.461,117.1,0.526,33.04,88.30917,-59.06611
ESO145-025,753.07,733.2,111.6,0.334,60,75,ok,S4G,Simbad,NED,2,,14.05,0.727,128.36,1.247,45.09,328.52375,-57.61333
ESO146-014,713.45,656.79,49.2,0.841,52,67,z,S4G,Simbad,NED,2,,14.68,0.154,49.02,1.909,55.96,333.25042,-62.06806
ESO149-001,784.24,487.68,27.7,0.75,90,120,ok,S4G,Simbad,NED,1,,13.08,0.225,29.87,1.269,55.44,356.95375,-57.07139
ESO149-003,294.85,301.11,147.6,0.671,39,48,u,S4G,Simbad,NED,1,,15.43,0.353,144.64,1.082,26.05,358.01167,-52.57889
ESO150-005,797.23,388.15,12.2,0.179,82,97,ok,S4G,Simbad,NED,2,,13.39,0.862,32.05,1.722,64.79,5.6065,-53.6475
ESO154-023,815.65,323.37,39.8,0.839,262,300,ok,S4G,Simbad,NED,1,,12.45,0.211,39.55,1.068,142.33,44.21,-54.57139
ESO157-049,594.67,767.96,30.4,0.844,15,26,z,S4G,Simbad,NED,3,,12.71,0.15,30.37,1.079,17.31,69.90368,-53.01265
ESO159-025,296.89,284.5,71.6,0.212,41,45,ok,S4G,Simbad,NED,1,,14.9,0.747,90.02,0.857,28.4,85.77667,-52.70611
ESO187-035,521.91,766.87,127.4,0.444,33,48,u,S4G,Simbad,NED,1,,15.14,0.407,114.9,1.476,36.5,314.23454,-55.72047
ESO187-051,540.41,773.14,8.5,0.676,22,52,u,S4G,Simbad,NED,1,,13.56,0.414,13.41,2.565,155.44,316.88625,-54.95306
