Seq,Name,Mod,Nc,Q,C,Fn,f1,mag1,q1,PA1,Re,n,f2,mu02,PA2,hr2,hz2,f3,mag3,q3,PA3,hr3,mu03,f4,mu04,q4,PA4,Rbar,f5,mag5
1,ESO011-005,_bz,2,4,B,sersic,0.571,14.822,0.354,40.45,48.94,3.001,,,,,,,,,,,,,,,,,,
1,ESO011-005,_bz,2,4,Z,edgedisk,,,,,,,0.429,20.912,43.9,9.76,2.96,,,,,,,,,,,,,
2,ESO012-010,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.944,13.445,0.458,-33.8,33.95,23.095,,,,,,,
2,ESO012-010,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.056,22.177,0.39,24.24,21.14,,
3,ESO012-014,_dbar,2,4,D,expdisk,,,,,,,,,,,,0.835,14.795,0.42,31.03,33.15,24.393,,,,,,,
3,ESO012-014,_dbar,2,4,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.165,24.704,0.249,11.1,83.01,,
4,ESO013-016,_dbarf,2,5,D,expdisk,,,,,,,,,,,,0.963,12.802,0.657,-14.29,21.06,21.415,,,,,,,
4,ESO013-016,_dbarf,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.037,20.882,0.207,-14.32,17.25,,
5,ESO015-001,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.777,14.628,0.414,-54.26,23.9,23.516,,,,,,,
5,ESO015-001,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.223,22.89,0.199,-77.11,52.52,,
6,ESO026-001,_ndbar,3,5,D,expdisk,,,,,,,,,,,,0.933,12.978,0.94,19.35,19.41,21.413,,,,,,,
6,ESO026-001,_ndbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.059,20.202,0.285,69.63,12.59,,
6,ESO026-001,_ndbar,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.008,18.145
7,ESO027-001,_bdbar,3,5,B,sersic,0.087,13.985,0.368,58.03,2.52,3.257,,,,,,,,,,,,,,,,,,
7,ESO027-001,_bdbar,3,5,D,expdisk,,,,,,,,,,,,0.839,11.518,0.784,12.5,24.67,20.475,,,,,,,
7,ESO027-001,_bdbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.075,20.555,0.363,62.31,31.16,,
8,ESO027-008,_dn,2,5,D,expdisk,,,,,,,,,,,,0.986,11.516,0.333,-34.9,23.66,20.381,,,,,,,
8,ESO027-008,_dn,2,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.014,16.174
9,ESO048-017,_ndbar,3,5,D,expdisk,,,,,,,,,,,,0.856,14.452,0.53,62.98,20.66,23.023,,,,,,,
9,ESO048-017,_ndbar,3,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.138,21.755,0.176,59.87,26.8,,
9,ESO048-017,_ndbar,3,5,N,psf,,,,,,,,,,,,,,,,,,,,,,,0.006,19.862
10,ESO054-021,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.934,12.081,0.486,88.36,47.11,22.442,,,,,,,
10,ESO054-021,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.066,21.508,0.644,41.65,24.76,,
11,ESO079-003,_bz,2,4,B,sersic,0.264,12.036,0.28,127.51,295.79,20.0,,,,,,,,,,,,,,,,,,
11,ESO079-003,_bz,2,4,Z,edgedisk,,,,,,,0.736,17.865,-48.9,14.73,3.2,,,,,,,,,,,,,
12,ESO079-005,_dbar,2,4,D,expdisk,,,,,,,,,,,,0.714,13.841,0.589,-8.81,21.54,22.503,,,,,,,
12,ESO079-005,_dbar,2,4,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.286,21.918,0.201,10.52,56.45,,
13,ESO079-007,_dbar,2,5,BAR,ferrer2,,,,,,,,,,,,,,,,,,0.035,21.733,0.146,19.28,22.47,,
13,ESO079-007,_dbar,2,5,D,expdisk,,,,,,,,,,,,0.965,13.401,0.808,18.28,14.5,21.202,,,,,,,
