galaxy,ghasp_name,radius_kpc,radius_error_kpc,radius_arcsec,radius_error_arcsec,velocity_km_s,velocity_error_km_s,side,n_velocity_bins,source_url,endpoint_access,claim_boundary
UGC06787,UGC 6787,0.26,0.00,2.8,0.0,125,9,a,1,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,0.52,0.00,5.7,0.0,94,9,a,1,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,1.02,0.00,11.1,0.0,163,9,a,1,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,1.67,0.05,18.2,0.5,204,0,a,2,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,1.86,0.00,20.3,0.0,190,9,a,1,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,3.35,0.56,36.6,6.1,214,6,a,23,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,4.39,0.17,47.9,1.9,223,3,a,23,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,4.84,0.11,52.8,1.2,217,3,a,23,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,5.20,0.08,56.8,0.9,221,4,a,23,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,5.59,0.12,61.0,1.3,221,6,a,23,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,6.02,0.15,65.7,1.6,228,5,a,23,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,6.55,0.18,71.5,2.0,231,5,a,23,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,7.38,0.26,80.5,2.8,230,3,a,23,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,8.39,0.45,91.6,4.9,232,4,a,23,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
UGC06787,UGC 6787,15.92,5.87,173.7,64.1,209,9,a,21,https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/388/500/tablef&-out.all,False,source-side Halpha probe acquisition only
