source_only_rank,galaxy,ghasp_name,ghasp_release,aliases,n_halpha_points,n_approaching,n_receding,both_halpha_sides,halpha_max_radius_arcsec,ghasp_d25_arcsec,halpha_max_radius_over_d25,ghasp_hi_facility,ghasp_hi_reference,whisp_overview_available,whisp_relative_url,sparc_inclination_deg,sparc_inclination_error_deg,sparc_distance_mpc,sparc_distance_error_mpc,sparc_fractional_distance_error,source_only_score,score_components,selection_uses_vobs_or_residual,endpoint_access,candidate_status
1,NGC3726,UGC 6537,VII,NGC3726;UGC6537,190,85,105,True,156.7,158.0,0.9918,W,Web,True,U6537/u6537.html,53.0,2.0,18.0,2.5,0.1389,19,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;at_least_100_points;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;fractional_distance_error_le_20pct;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
2,NGC4559,UGC 7766,VI,NGC4559;UGC7766,175,80,95,True,213.4,317.0,0.6732,W,Web,True,U7766/u7766.html,67.0,1.0,9.0,2.7,0.3,18,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;at_least_100_points;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
3,NGC3893,UGC 6778,VII,NGC3893;UGC6778,76,37,39,True,100.8,81.0,1.2444,W,Web,True,U6778/u6778p36875.html,49.0,2.0,18.0,2.5,0.1389,18,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;fractional_distance_error_le_20pct;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
4,UGC08490,UGC 8490,VII,NGC5204;UGC8490,76,31,45,True,112.4,135.0,0.8326,W,S02,True,U8490/u8490.html,50.0,3.0,4.65,0.53,0.114,18,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;fractional_distance_error_le_20pct;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
5,UGC04305,UGC 4305,VII,UGC4305,79,24,55,True,227.5,200.0,1.1375,W,S02,True,U4305/u4305p23324.html,40.0,10.0,3.45,0.17,0.0493,17,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;fractional_distance_error_le_20pct;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
6,UGC11914,UGC11914,VII,NGC7217;UGC11914,77,35,42,True,94.1,135.0,0.697,W,N05,True,U11914/u11914.html,31.0,5.0,16.9,5.1,0.3018,17,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
7,UGC07323,UGC 7323,VII,NGC4242;UGC7323,72,36,36,True,138.8,114.0,1.2175,W,S02,True,U7323/u7323.html,47.0,3.0,8.0,2.4,0.3,17,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
8,UGC02455,UGC 2455,VII,NGC1156;UGC2455,55,25,30,True,104.4,86.0,1.214,W,S02,True,U2455/u2455.html,51.0,5.0,6.92,2.08,0.3006,17,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
9,NGC5985,UGC 9969,VII,NGC5985;UGC9969,50,16,34,True,124.4,119.0,1.0454,W,Web,True,U9969/u9969.html,60.0,2.0,39.7,9.9,0.2494,16,both_halpha_sides;at_least_10_each_side;at_least_50_points;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
10,NGC6503,UGC 11012,VI,NGC6503;UGC11012,104,36,68,True,150.7,185.0,0.8146,,,False,,74.0,2.0,6.26,0.31,0.0495,15,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;at_least_100_points;moderate_inclination;inclination_error_le_5deg;fractional_distance_error_le_20pct;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
11,NGC6946,UGC 11597,VI,NGC6946;UGC11597,334,81,253,True,189.8,342.0,0.555,,,False,,38.0,2.0,5.52,1.66,0.3007,14,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;at_least_100_points;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
12,NGC5055,UGC 8334,VI,NGC5055;UGC8334,237,140,97,True,225.4,356.0,0.6331,,,False,,55.0,6.0,9.9,0.3,0.0303,14,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;at_least_100_points;moderate_inclination;fractional_distance_error_le_20pct;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
13,NGC5585,UGC 9179,VI,NGC5585;UGC9179,144,70,74,True,173.3,128.0,1.3539,,,False,,51.0,2.0,7.06,2.12,0.3003,14,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;at_least_100_points;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
14,NGC6015,UGC 10075,VI,NGC6015;UGC10075,143,81,62,True,138.8,174.0,0.7977,,,False,,60.0,2.0,17.0,5.1,0.3,14,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;at_least_50_points;at_least_100_points;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
15,UGC11557,UGC11557,VII,UGC11557,46,23,23,True,65.5,59.0,1.1102,W,S02,True,U11557/u11557.html,30.0,10.0,24.2,6.05,0.25,14,both_halpha_sides;at_least_10_each_side;at_least_20_each_side;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
16,UGC05253,UGC 5253,VII,NGC2985;UGC5253,39,18,21,True,86.6,108.0,0.8019,W,N05,True,U5253/u5253p28316.html,37.0,4.0,22.9,5.72,0.2498,14,both_halpha_sides;at_least_10_each_side;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
17,UGC05414,UGC 5414,VII,NGC3104;UGC5414,35,17,18,True,114.3,90.0,1.27,W,S02,True,U5414/u5414.html,55.0,3.0,9.4,2.82,0.3,14,both_halpha_sides;at_least_10_each_side;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
18,UGC12632,UGC12632,VII,UGC12632,25,12,13,True,146.3,127.0,1.152,W,S02,True,U12632/u12632.html,46.0,3.0,9.77,2.93,0.2999,14,both_halpha_sides;at_least_10_each_side;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
19,UGC05829,UGC 5829,VII,UGC5829,36,19,17,True,150.3,135.0,1.1133,W,S02,True,U5829/u5829.html,34.0,10.0,8.64,2.59,0.2998,13,both_halpha_sides;at_least_10_each_side;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
20,UGC05721,UGC 5721,VII,NGC3274;UGC5721,25,16,9,True,66.4,49.0,1.3551,W,S02,True,U5721/u5721.html,61.0,5.0,6.18,1.85,0.2994,12,both_halpha_sides;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
21,UGC04325,UGC 4325,VII,NGC2552;UGC4325,20,12,8,True,77.6,89.0,0.8719,W,S02,True,U4325/u4325.html,41.0,3.0,9.6,2.88,0.3,12,both_halpha_sides;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
22,UGC04499,UGC 4499,VII,UGC4499,16,7,9,True,61.2,57.0,1.0737,W,S02,True,U4499/u4499.html,50.0,3.0,12.5,3.75,0.3,12,both_halpha_sides;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
23,UGC10310,UGC10310,VII,UGC10310,11,5,6,True,89.0,77.0,1.1558,W,S02,True,U10310/u10310.html,34.0,6.0,15.2,4.6,0.3026,11,both_halpha_sides;whisp_overview_page;ghasp_whisp_reference;moderate_inclination;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
24,UGC06628,UGC 6628,VII,UGC6628,22,15,7,True,85.5,65.0,1.3154,W,S02,True,U6628/u6628.html,20.0,10.0,15.1,4.53,0.3,10,both_halpha_sides;whisp_overview_page;ghasp_whisp_reference;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
25,UGC02023,UGC 2023,VII,UGC2023,21,3,18,True,57.5,77.0,0.7468,W,S02,True,U2023/u2023.html,19.0,10.0,10.4,3.1,0.2981,10,both_halpha_sides;whisp_overview_page;ghasp_whisp_reference;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
26,UGC06787,UGC 6787,VI,NGC3898;UGC6787,15,15,0,False,173.7,104.0,1.6702,W,N05,True,U6787/u6787p36921.html,66.0,3.0,21.3,5.32,0.2498,8,whisp_overview_page;ghasp_whisp_reference;moderate_inclination;inclination_error_le_5deg;halpha_coverage_ge_0p3_d25;halpha_coverage_ge_0p5_d25,False,False,SOURCE_ACQUISITION_ONLY
