baseline_id,galaxy,split,r_kpc,x_r_over_rmax,v_observed_kms,v_baseline_kms,q_required,u_required_kms,u_predicted_combined_kms,u_predicted_distance_context_kms,u_predicted_morphology_plus_distance_kms,u_predicted_morphology_plus_orientation_kms,u_predicted_morphology_proxy_kms,u_predicted_observer_geometry_kms,u_predicted_orientation_quality_kms,u_predicted_radial_only_kms
mond_fixed,CamB,holdout,0.16,0.0893854748603,1.99,9.179173502,-2.39805015536e-05,-7.18917350484,-3.1132189941,-2.07850052226,-2.36878931559,-5.54807700019,-2.58743710134,-6.73821436513,-7.71761806028,-2.94466452657
mond_fixed,CamB,holdout,0.41,0.22905027933,4.84,18.4883608138,-4.55260313348e-05,-13.6483608368,-3.2630823883,-2.26802847618,-2.72148566864,-4.62252714377,-2.93417258701,-5.95620877454,-7.43621260203,-3.19289151859
mond_fixed,CamB,holdout,0.57,0.31843575419,6.79,22.6690826771,-5.2966918598e-05,-15.8790827192,-3.35491975661,-2.44339591966,-2.96632357652,-4.01317975851,-3.17683526617,-5.52685766121,-7.37680775394,-3.41886355328
mond_fixed,CamB,holdout,0.73,0.40782122905,8.87,26.2489136232,-5.79698161977e-05,-17.3789136877,-3.51166845492,-2.66515500052,-3.26092892969,-3.44029411218,-3.4687618398,-5.16107247954,-7.43740570035,-3.70888145389
mond_fixed,CamB,holdout,0.9,0.502793296089,10.9,29.0202336392,-6.04425936728e-05,-18.1202337251,-3.72293279891,-2.95555308372,-3.61290664932,-2.88687754879,-3.81903724934,-4.84965560365,-7.65758197141,-4.09819280432
mond_fixed,CamB,holdout,1.06,0.59217877095,12.9,30.9247036136,-6.01239398601e-05,-18.0247037153,-3.75876775663,-3.28414107499,-3.90329273499,-2.15244404962,-4.10879765724,-4.63637889158,-8.03430737384,-4.55134175212
mond_fixed,CamB,holdout,1.22,0.68156424581,14.7,31.9805157848,-5.76415964886e-05,-17.2805158944,-4.01954461087,-3.66992909959,-4.31632998433,-1.61653095835,-4.52145325252,-4.50742324869,-8.5975778179,-5.09863251612
mond_fixed,CamB,holdout,1.47,0.821229050279,16.8,33.4933845476,-5.56831375305e-05,-16.6933846694,-3.90215093165,-4.39562488042,-4.84987189138,0.291035025405,-5.04922683818,-4.49084842412,-9.90279690214,-6.16560434723
mond_fixed,CamB,holdout,1.79,1,20.1,33.2984297944,-4.40252232803e-05,-13.1984299012,-3.07600010952,-5.56234256033,-5.26272673906,3.22128703839,-5.45706531751,-4.83541573013,-12.4476860693,-7.96152610973
mond_fixed,D512-2,train,0.96,0.250652741514,22.9,27.1680081571,-1.42365428918e-05,-4.26800818695,-4.13355649811,-2.66589616702,-3.75443009095,-4.81930241719,-3.82738320328,-4.70948018787,-4.94401756231,-3.24216285819
