galaxy,metadata_slug,product_stem,holmberg_radius_arcmin,optical_pa_deg,optical_inclination_deg,robust_beam_major_arcsec,robust_beam_minor_arcsec,published_hi_asymmetry,published_hi_asymmetry_error,catalog_ra_hms,catalog_dec_dms,published_beams_per_rh,source_status,metadata_url,moment0_url
CVnIdwA,cvnidwa,CVnIdwA,0.87,80.0,41.0,10.9,10.5,1.941,0.092,,,4.879357111252977,EXCLUDED_PUBLISHED_SUPPORT_LT_10_BEAMS_PER_RH,https://science.nrao.edu/science/surveys/littlethings/data/cvnidwa.html,https://things.cv.nrao.edu/littlethings/cvnidwa/HI/CVnIdwA_R_X0_P_R.FITS
DDO43,ddo43,DDO43,0.89,6.5,48.5,8.1,6.0,1.793,0.049,,,7.659900395832447,EXCLUDED_PUBLISHED_SUPPORT_LT_10_BEAMS_PER_RH,https://science.nrao.edu/science/surveys/littlethings/data/d43.html,https://things.cv.nrao.edu/littlethings/ddo43/HI/DDO43_R_X0_P_R.FITS
DDO46,ddo46,DDO46,,84.0,28.6,6.3,5.2,1.384,0.05,,,,EXCLUDED_SOURCE_GEOMETRY,https://science.nrao.edu/science/surveys/littlethings/data/d46.html,https://things.cv.nrao.edu/littlethings/ddo46/HI/DDO46_R_X0_P_R.FITS
DDO47,ddo47,DDO47,2.24,-70.0,64.4,10.4,9.0,0.612,0.058,07:41:55.3,+16:48:08,13.891890273991345,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d47.html,https://things.cv.nrao.edu/littlethings/ddo47/HI/DDO47_R_X0_P_R.FITS
DDO50,ddo50,DDO50,3.97,18.0,46.7,7.0,6.1,1.742,0.014,08:19:08.7,+70:43:25,36.45254205146812,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d50.html,https://things.cv.nrao.edu/littlethings/ddo50/HI/DDO50_R_X0_P_R.FITS
DDO52,ddo52,DDO52,1.08,5.0,51.1,6.8,5.2,1.239,0.159,08:28:28.5,+41:51:21,10.897299262740264,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d52.html,https://things.cv.nrao.edu/littlethings/ddo52/HI/DDO52_R_X0_P_R.FITS
DDO53,ddo53,DDO53,1.37,81.0,64.4,6.3,5.7,1.951,0.052,08:34:08.0,+66:10:37,13.717157176416194,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d53.html,https://things.cv.nrao.edu/littlethings/ddo53/HI/DDO53_R_X0_P_R.FITS
DDO63,ddo63,DDO63,2.17,0.0,0.0,7.8,6.0,1.449,0.041,,,19.03215901896253,EXCLUDED_SOURCE_GEOMETRY,https://science.nrao.edu/science/surveys/littlethings/data/d63.html,https://things.cv.nrao.edu/littlethings/ddo63/HI/DDO63_R_X0_P_R.FITS
DDO69,ddo69,DDO69,2.4,-64.0,60.3,5.8,5.4,1.551,0.154,09:59:25.0,+30:44:42,25.730700836107076,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d69.html,https://things.cv.nrao.edu/littlethings/ddo69/HI/DDO69_R_X0_P_R.FITS
DDO70,ddo70,DDO70,3.71,88.0,57.8,13.8,13.2,1.136,0.037,10:00:00.9,+05:19:50,16.49296172799976,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d70.html,https://things.cv.nrao.edu/littlethings/ddo70/HI/DDO70_R_X0_P_R.FITS
DDO75,ddo75,DDO75,3.09,41.0,33.5,7.6,6.5,2.0,0.0,10:10:59.2,-04:41:56,26.378266725954283,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d75.html,https://things.cv.nrao.edu/littlethings/ddo75/HI/DDO75_R_X0_P_R.FITS
DDO87,ddo87,DDO87,1.15,76.5,58.6,7.6,6.2,0.736,0.066,10:49:34.7,+65:31:46,10.051860431404123,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d87.html,https://things.cv.nrao.edu/littlethings/ddo87/HI/DDO87_R_X0_P_R.FITS
DDO101,ddo101,DDO101,1.05,-69.0,49.4,8.3,7.0,1.682,0.162,,,8.265183180792073,EXCLUDED_PUBLISHED_SUPPORT_LT_10_BEAMS_PER_RH,https://science.nrao.edu/science/surveys/littlethings/data/d101.html,https://things.cv.nrao.edu/littlethings/ddo101/HI/DDO101_R_X0_P_R.FITS
DDO126,ddo126,DDO126,1.76,-41.0,67.7,6.9,5.6,1.36,0.266,12:27:06.5,+37:08:23,16.98812153511757,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d126.html,https://things.cv.nrao.edu/littlethings/ddo126/HI/DDO126_R_X0_P_R.FITS
DDO133,ddo133,DDO133,2.33,-6.0,49.4,12.4,10.8,1.82,0.091,12:32:55.4,+31:32:14,12.080487243609456,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d133.html,https://things.cv.nrao.edu/littlethings/ddo133/HI/DDO133_R_X0_P_R.FITS
DDO154,ddo154,DDO154,1.55,46.0,65.2,7.9,6.3,1.519,0.058,12:54:06.2,+27:09:02,13.182540922439431,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d154.html,https://things.cv.nrao.edu/littlethings/ddo154/HI/DDO154_R_X0_P_R.FITS
DDO155,ddo155,DDO155,0.95,51.0,47.6,11.3,10.1,1.481,0.138,,,5.335497822995399,EXCLUDED_PUBLISHED_SUPPORT_LT_10_BEAMS_PER_RH,https://science.nrao.edu/science/surveys/littlethings/data/d155.html,https://things.cv.nrao.edu/littlethings/ddo155/HI/DDO155_R_X0_P_R.FITS
DDO165,ddo165,DDO165,2.14,89.0,61.9,10.0,7.6,1.955,0.055,13:06:25.3,+67:42:25,14.728490114490064,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d165.html,https://things.cv.nrao.edu/littlethings/ddo165/HI/DDO165_R_X0_P_R.FITS
DDO167,ddo167,DDO167,0.75,-23.0,52.8,7.3,5.3,1.847,0.167,,,7.234577092827908,EXCLUDED_PUBLISHED_SUPPORT_LT_10_BEAMS_PER_RH,https://science.nrao.edu/science/surveys/littlethings/data/d167.html,https://things.cv.nrao.edu/littlethings/ddo167/HI/DDO167_R_X0_P_R.FITS
DDO168,ddo168,DDO168,2.32,-24.5,54.5,7.8,5.8,1.137,0.043,13:14:27.2,+45:55:46,20.69559596406183,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d168.html,https://things.cv.nrao.edu/littlethings/ddo168/HI/DDO168_R_X0_P_R.FITS
DDO187,ddo187,DDO187,1.06,37.0,39.0,6.2,5.5,1.438,0.252,14:15:56.7,+23:03:19,10.891305149486792,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d187.html,https://things.cv.nrao.edu/littlethings/ddo187/HI/DDO187_R_X0_P_R.FITS
DDO210,ddo210,DDO210,1.31,-85.0,66.9,11.7,8.6,2.0,0.0,,,7.835746719664989,EXCLUDED_PUBLISHED_SUPPORT_LT_10_BEAMS_PER_RH,https://science.nrao.edu/science/surveys/littlethings/data/d210.html,https://things.cv.nrao.edu/littlethings/ddo210/HI/DDO210_R_X0_P_R.FITS
DDO216,ddo216,DDO216,4.0,-58.0,69.4,16.2,15.4,1.688,0.101,23:28:35.0,+14:44:30,15.194743527951726,PROVISIONAL_SOURCE_CANDIDATE,https://science.nrao.edu/science/surveys/littlethings/data/d216.html,https://things.cv.nrao.edu/littlethings/ddo216/HI/DDO216_R_X0_P_R.FITS
F564-V3,f564v3,F564-V3,,8.5,35.8,12.5,8.1,1.67,0.204,09:02:53.9,+20:04:29,,SOURCE_MOM0_SUPPORT_PENDING,https://science.nrao.edu/science/surveys/littlethings/data/f564v3.html,https://things.cv.nrao.edu/littlethings/f564v3/HI/F564-V3_R_X0_P_R.FITS
