galaxy,source_status_at_freeze,url,local_path,bytes,sha256,acquisition_status,velocity_pixels_read
DDO126,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo126/HI/DDO126_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO126_R_X0_P_R.FITS,4386240,405a57eea144098055ff0389a30a3f39e2417a65b10e0b0b3ab2203c8eb58629,reused,False
DDO133,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo133/HI/DDO133_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO133_R_X0_P_R.FITS,4377600,435fcfe7c0717c69d118463c2f427d5d89dfeb0beb4974fd59cd200085032a77,reused,False
DDO154,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo154/HI/DDO154_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO154_R_X0_P_R.FITS,4245120,0dcda17b572e0582b1199aee1296c83f4f0d813f70d4fac38f6ecbdc23d46822,reused,False
DDO165,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo165/HI/DDO165_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO165_R_X0_P_R.FITS,4403520,486d57759d32058065664a9a23bbe8d2cf78ee4b0666d961b57b272d28f385b7,reused,False
DDO168,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo168/HI/DDO168_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO168_R_X0_P_R.FITS,4368960,4694d19c827ff078df65db085fc45c04559c4a4af05d0def010b98273b9a5e0b,reused,False
DDO187,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo187/HI/DDO187_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO187_R_X0_P_R.FITS,4449600,3ff3d993fb37f9897cba05203510010a57b05694dd18a6360d16d98e0530bd2e,reused,False
DDO216,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo216/HI/DDO216_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO216_R_X0_P_R.FITS,1111680,e1548c50f905f3ba78e7d7f6bb8652df35cdf04678c921eb9dd3090822205a1b,reused,False
DDO47,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo47/HI/DDO47_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO47_R_X0_P_R.FITS,4288320,6026b5ab529dfae41d748713985cfa381baa4d32db83b23028ae2a083a44af50,reused,False
DDO50,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo50/HI/DDO50_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO50_R_X0_P_R.FITS,16830720,1b7327728502984ef6107d6e8cc0ee08952c6fa22202ea4cbc3ebd35200cf461,reused,False
DDO52,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo52/HI/DDO52_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO52_R_X0_P_R.FITS,4366080,342172c07e794382d5e5d6ff562ccceac401360574abd9de30391669422ebe41,reused,False
DDO53,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo53/HI/DDO53_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO53_R_X0_P_R.FITS,4245120,9f1557ae2a6dfc5796d3c66ae322408d726abfe666e5aca250f2a942b56b474b,reused,False
DDO69,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo69/HI/DDO69_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO69_R_X0_P_R.FITS,4328640,97ccc46d51ff58e22e53becc7140d125471d3ab8b6b8ae7a2f9b1b538643386e,reused,False
DDO70,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo70/HI/DDO70_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO70_R_X0_P_R.FITS,16873920,1b3815e3a96e01f1e85d1a8e0bfd0a763526961f57491282712c50a0c1c4a612,reused,False
DDO75,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo75/HI/DDO75_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO75_R_X0_P_R.FITS,17112960,5f0a0bae3ce0d3e3a354d476f81a797aff555c7aaa95d2bc823adb2ce1a0c98e,reused,False
DDO87,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ddo87/HI/DDO87_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/DDO87_R_X0_P_R.FITS,4348800,bae53e4599bad061247fa1509a05103cf1452373af9baca7a2f042be93ab61f9,reused,False
F564-V3,SOURCE_MOM0_SUPPORT_PENDING,https://things.cv.nrao.edu/littlethings/f564v3/HI/F564-V3_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/F564-V3_R_X0_P_R.FITS,4348800,0c1d8d355dbb6bdfae5f3008df6495f2058ba1bba0f4a9f07c4e0864f103b996,reused,False
Haro36,SOURCE_MOM0_SUPPORT_PENDING,https://things.cv.nrao.edu/littlethings/haro36/HI/Haro36_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/Haro36_R_X0_P_R.FITS,4389120,40ee707463bc22cd263648249bafecbca013ac191e168c438476010360b71829,reused,False
IC10,SOURCE_MOM0_SUPPORT_PENDING,https://things.cv.nrao.edu/littlethings/ic10/HI/IC10_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/IC10_R_X0_P_R.FITS,16905600,5db3a3b4907d168ab11af51c89067f3c884e17e9078278d2c5cc96e9e8f0d6c0,reused,False
IC1613,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/ic1613/HI/IC1613_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/IC1613_R_X0_P_R.FITS,16902720,1e1965a6dd533f9bf8b96ffb5a418fa360e0a4728031aafc699c648c4f1398e5,reused,False
M81dwA,SOURCE_MOM0_SUPPORT_PENDING,https://things.cv.nrao.edu/littlethings/m81dwa/HI/M81DWA_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/M81DWA_R_X0_P_R.FITS,4242240,ffb54c399b98631f226f7a4c80d16a29250503d4f8fba625abac85345644ff75,reused,False
Mrk178,PROVISIONAL_SOURCE_CANDIDATE,https://things.cv.nrao.edu/littlethings/mrk178/HI/Mrk178_R_X0_P_R.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment0/Mrk178_R_X0_P_R.FITS,4366080,d481d526f4a9aef606f48aa11b18475e66baf4cb4adff154f864c7e18f645f14,reused,False
