galaxy,url,local_path,bytes,sha256,status,velocity_pixels_opened_by_acquisition
DDO126,https://things.cv.nrao.edu/littlethings/ddo126/HI/DDO126_R_XMOM1.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment1/DDO126_R_XMOM1.FITS,4386240,b569b603c5eb0f5513d324b26551b7ae9de9ec79b15daca309d9e9bf7067b708,reused,False
DDO133,https://things.cv.nrao.edu/littlethings/ddo133/HI/DDO133_R_XMOM1.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment1/DDO133_R_XMOM1.FITS,4374720,b1f5fe1669da6980b34cc48e6ff6b4b098a2198ba7d23ba13e67e001410e9ce8,reused,False
DDO154,https://things.cv.nrao.edu/littlethings/ddo154/HI/DDO154_R_XMOM1.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment1/DDO154_R_XMOM1.FITS,4242240,8bed16a03e582ce0d492c5d6eab9aa79edffb2f03ff9d56e30a68fb2bbebb18c,reused,False
DDO165,https://things.cv.nrao.edu/littlethings/ddo165/HI/DDO165_R_XMOM1.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment1/DDO165_R_XMOM1.FITS,4403520,57fe08f04f5113dabcf7df0fe84b012ce2243f00154a066fee4d2d0f516c89e2,reused,False
DDO168,https://things.cv.nrao.edu/littlethings/ddo168/HI/DDO168_R_XMOM1.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment1/DDO168_R_XMOM1.FITS,4366080,a8d25b5e83279b95207337a373548b1ef54188bb57ca36b03148f0ca3c052357,reused,False
DDO187,https://things.cv.nrao.edu/littlethings/ddo187/HI/DDO187_R_XMOM1.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment1/DDO187_R_XMOM1.FITS,4446720,839967aa466663ac98da0d5fcfd4c03bd6b8f0b29099ca941bafd1f767f75591,reused,False
DDO216,https://things.cv.nrao.edu/littlethings/ddo216/HI/DDO216_R_XMOM1.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment1/DDO216_R_XMOM1.FITS,1108800,5e227e8195db378dc1f5f90a1642d693a33e10415c08a06f1dad4c4e5fc7cff7,reused,False
DDO47,https://things.cv.nrao.edu/littlethings/ddo47/HI/DDO47_R_XMOM1.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment1/DDO47_R_XMOM1.FITS,4285440,25736a602d5ad9df9055e370823b0492547d62178ebc7316ba9d90baeb3a5b2d,reused,False
DDO50,https://things.cv.nrao.edu/littlethings/ddo50/HI/DDO50_R_XMOM1.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment1/DDO50_R_XMOM1.FITS,16827840,51610f571fbff749b3cf6bbbe38e4df91ee5891d7a0f61a04f306d8076486d3f,reused,False
DDO52,https://things.cv.nrao.edu/littlethings/ddo52/HI/DDO52_R_XMOM1.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment1/DDO52_R_XMOM1.FITS,4366080,bb4d01750cb348b8e07ba9bba04fc726c7fde3c7c48f14c9d9198d33a190811f,reused,False
DDO53,https://things.cv.nrao.edu/littlethings/ddo53/HI/DDO53_R_XMOM1.FITS,data/external/literature/little_things_2d_morphology_population_v01/moment1/DDO53_R_XMOM1.FITS,4242240,e2072992ed647eb39da917e20fee5575270aa17196e4f234f4c2fe2712cdb658,reused,False
