galaxy,capacity_threshold,n_sampled_modes,effective_rank,effective_rank_fraction,largest_suppressed_relative_singular_value
CVnIdwA,0.01,14,14,1.0,0.0
CVnIdwA,0.05,14,14,1.0,0.0
CVnIdwA,0.1,14,14,1.0,0.0
DDO_126,0.01,29,29,1.0,0.0
DDO_126,0.05,29,29,1.0,0.0
DDO_126,0.1,29,29,1.0,0.0
DDO_133,0.01,18,18,1.0,0.0
DDO_133,0.05,18,18,1.0,0.0
DDO_133,0.1,18,18,1.0,0.0
DDO_210,0.01,7,7,1.0,0.0
DDO_210,0.05,7,7,1.0,0.0
DDO_210,0.1,7,7,1.0,0.0
DDO_216,0.01,12,12,1.0,0.0
DDO_216,0.05,12,12,1.0,0.0
DDO_216,0.1,12,12,1.0,0.0
DDO_46,0.01,23,23,1.0,0.0
DDO_46,0.05,23,23,1.0,0.0
DDO_46,0.1,23,23,1.0,0.0
DDO_47,0.01,33,33,1.0,0.0
DDO_47,0.05,33,33,1.0,0.0
DDO_47,0.1,33,33,1.0,0.0
DDO_50,0.01,64,64,1.0,0.0
DDO_50,0.05,64,64,1.0,0.0
DDO_50,0.1,64,64,1.0,0.0
DDO_52,0.01,15,15,1.0,0.0
DDO_52,0.05,15,15,1.0,0.0
DDO_52,0.1,15,15,1.0,0.0
DDO_53,0.01,12,12,1.0,0.0
DDO_53,0.05,12,12,1.0,0.0
DDO_53,0.1,12,12,1.0,0.0
DDO_70,0.01,23,23,1.0,0.0
DDO_70,0.05,23,23,1.0,0.0
DDO_70,0.1,23,23,1.0,0.0
DDO_87,0.01,33,33,1.0,0.0
DDO_87,0.05,33,33,1.0,0.0
DDO_87,0.1,33,33,1.0,0.0
F564-V3,0.01,10,10,1.0,0.0
F564-V3,0.05,10,10,1.0,0.0
F564-V3,0.1,10,10,1.0,0.0
HARO_36,0.01,9,9,1.0,0.0
HARO_36,0.05,9,9,1.0,0.0
HARO_36,0.1,9,9,1.0,0.0
NGC_1569,0.01,22,22,1.0,0.0
NGC_1569,0.05,22,22,1.0,0.0
NGC_1569,0.1,22,22,1.0,0.0
NGC_3738,0.01,11,11,1.0,0.0
NGC_3738,0.05,11,11,1.0,0.0
NGC_3738,0.1,11,11,1.0,0.0
UGC_8508,0.01,24,24,1.0,0.0
UGC_8508,0.05,24,24,1.0,0.0
UGC_8508,0.1,24,24,1.0,0.0
