galaxy,distance_mpc,inclination_deg,inclination_error_deg,absolute_v_magnitude,rmax_kpc,r03_kpc,v_rmax_km_s,gas_mass_1e7_msun,rmax_over_hi_beam,stellar_mass_kin_1e7_msun,stellar_mass_sed_1e7_msun,normalized_name,exact_name_overlap_with_historical_175,prospective_name_freeze,observed_rotation_curve_available,global_baryonic_masses_available,hi_beam_fwhm_kpc,radial_gas_velocity_component_available,radial_stellar_velocity_component_available,comparable_tpg_mond_scoring_allowed,endpoint_access
CVnIdwA,3.6,66.5,5.2,-12.4,2.59,2.27,23.5,2.91,13.5,0.41,0.49,CVNIDWA,False,True,True,True,0.19185185185185183,False,False,False,False
DDO_43,7.8,40.6,0.1,-15.1,4.19,4.19,33.2,23.26,13.7,,,DDO43,False,True,True,True,0.3058394160583942,False,False,False,False
DDO_46,6.1,27.9,0.1,-14.7,2.92,2.04,66.1,22.08,15.7,,,DDO46,False,True,True,True,0.18598726114649683,False,False,False,False
DDO_47,5.2,45.5,9.0,-15.5,7.71,1.55,64.7,46.8,29.3,,,DDO47,False,True,True,True,0.26313993174061434,False,False,False,False
DDO_50,3.4,49.7,6.0,-16.6,9.81,1.67,35.7,132.52,84.4,9.79,10.6,DDO50,False,True,True,True,0.11623222748815165,False,False,False,False
DDO_52,10.3,43.0,0.0,-15.4,5.43,5.43,60.2,33.43,15.9,7.2,5.31,DDO52,False,True,True,True,0.34150943396226413,False,False,False,False
DDO_53,3.6,27.0,0.0,-13.8,1.45,0.62,28.6,7.0,13.1,0.96,0.97,DDO53,False,True,True,True,0.11068702290076336,False,False,False,False
DDO_70,1.3,50.0,0.0,-14.1,2.0,0.55,43.9,3.8,22.9,1.24,1.96,DDO70,False,True,True,True,0.08733624454148473,False,False,False,False
DDO_87,7.7,55.5,4.8,-15.0,7.39,4.13,56.6,29.12,26.1,6.18,3.27,DDO87,False,True,True,True,0.28314176245210726,False,False,False,False
DDO_101,6.4,51.0,7.1,-15.0,1.95,1.05,64.5,3.48,7.5,5.79,6.54,DDO101,False,True,True,True,0.26,False,False,False,False
DDO_126,4.9,65.0,0.0,-14.9,3.99,2.88,37.2,16.36,24.3,2.27,1.62,DDO126,False,True,True,True,0.16419753086419753,False,False,False,False
DDO_133,3.5,43.4,0.1,-14.8,3.48,3.48,46.1,12.85,16.5,2.62,3.04,DDO133,False,True,True,True,0.2109090909090909,False,False,False,False
DDO_154,3.7,68.2,3.1,-14.2,7.32,2.59,47.8,35.27,51.3,1.31,0.83,DDO154,True,False,True,True,0.14269005847953217,False,False,False,False
DDO_168,4.3,46.5,0.1,-15.7,3.14,3.14,60.3,25.94,19.2,5.13,5.85,DDO168,True,False,True,True,0.16354166666666667,False,False,False,False
DDO_210,0.9,66.7,0.1,-10.9,0.31,0.31,12.0,0.14,6.0,0.04,0.06,DDO210,False,True,True,True,0.051666666666666666,False,False,False,False
DDO_216,1.1,63.7,4.6,-13.7,1.12,0.48,18.9,0.49,13.0,1.6,1.51,DDO216,False,True,True,True,0.08615384615384616,False,False,False,False
F564-V3,8.7,56.5,9.9,-14.0,3.71,1.83,28.8,4.37,7.0,,,F564V3,False,True,True,True,0.53,False,False,False,False
IC_10,0.7,47.0,15.6,-16.3,0.54,0.2,36.5,1.65,27.0,11.81,,IC10,False,True,True,True,0.02,False,False,False,False
IC_1613,0.7,48.0,0.0,-14.6,2.71,0.36,16.9,5.93,103.8,1.94,2.88,IC1613,False,True,True,True,0.026107899807321772,False,False,False,False
NGC_1569,3.4,69.1,0.1,-18.2,3.05,2.81,29.1,20.24,31.5,20.69,36.29,NGC1569,False,True,True,True,0.09682539682539681,False,False,False,False
NGC_2366,3.4,63.0,0.8,-16.8,8.08,2.75,58.2,108.24,70.7,10.81,6.94,NGC2366,True,False,True,True,0.11428571428571428,False,False,False,False
NGC_3738,4.9,22.6,0.1,-17.1,1.75,1.1,125.5,12.58,11.7,12.48,46.62,NGC3738,False,True,True,True,0.14957264957264957,False,False,False,False
UGC_8508,2.6,82.5,0.1,-13.6,1.86,0.46,46.0,1.19,25.0,0.3,0.77,UGC8508,False,True,True,True,0.07440000000000001,False,False,False,False
WLM,1.0,74.0,0.1,-14.4,3.04,1.6,37.3,7.96,82.9,1.23,1.62,WLM,False,True,True,True,0.03667068757539203,False,False,False,False
HARO_29,5.9,61.2,4.0,-14.6,5.03,0.64,30.5,9.35,25.7,,1.43,HARO29,False,True,True,True,0.19571984435797668,False,False,False,False
HARO_36,9.3,70.0,0.0,-15.9,3.16,3.16,58.2,11.16,10.0,5.81,,HARO36,False,True,True,True,0.316,False,False,False,False
