subset,n_shuffles,seed,observed_mean_minus_wrong,null_mean_minus_wrong_mean,p_mean_minus_wrong_at_least_as_good,observed_beats_wrong_fraction,null_beats_wrong_fraction_mean,p_beats_wrong_fraction_at_least_as_good,observed_rank1_fraction,null_rank1_fraction_mean,p_rank1_fraction_at_least_as_good
holdout:all,1000,16180,-17.683782764040107,-7.094653980171919,0.003996003996003996,0.8863636363636364,0.7751136363636364,0.00999000999000999,0.29545454545454547,0.25436363636363635,0.2987012987012987
holdout:confidence_ge_0_75,1000,16180,-18.48829670997853,-7.698717123360848,0.008991008991008992,0.90625,0.799125,0.026973026973026972,0.375,0.2815,0.13886113886113885
holdout:confidence_ge_0_85,1000,16180,-15.342121630828627,-5.945648885667859,0.00999000999000999,0.9,0.7858,0.027972027972027972,0.3333333333333333,0.26526666666666665,0.23576423576423577
holdout:confidence_ge_0_95,1000,16180,-23.954573715826072,-9.314631096241387,0.06893106893106893,0.8461538461538461,0.8362307692307696,0.6533466533466533,0.3076923076923077,0.24230769230769228,0.3906093906093906
holdout:no_large_distance_error,1000,16180,-20.746592367127565,-14.758755855779373,0.11788211788211789,0.8846153846153846,0.8403846153846156,0.2597402597402597,0.2692307692307692,0.20838461538461542,0.2837162837162837
holdout:no_low_inclination,1000,16180,-18.86995172973713,-8.47223300940458,0.005994005994005994,0.9142857142857143,0.8116857142857145,0.012987012987012988,0.3142857142857143,0.26054285714285713,0.26973026973026976
holdout:no_manifest_caveat,1000,16180,-23.954573715826072,-9.314631096241387,0.06893106893106893,0.8461538461538461,0.8362307692307696,0.6533466533466533,0.3076923076923077,0.24230769230769228,0.3906093906093906
train:all,1000,16180,-16.83760914102908,-5.6200777757297455,0.000999000999000999,0.8702290076335878,0.7630229007633589,0.000999000999000999,0.37404580152671757,0.2911832061068702,0.014985014985014986
train:confidence_ge_0_75,1000,16180,-16.404072350153776,-4.21523481603426,0.000999000999000999,0.8571428571428571,0.7355446428571429,0.000999000999000999,0.375,0.28009821428571435,0.017982017982017984
train:confidence_ge_0_85,1000,16180,-14.50933999590947,-2.827083058455198,0.000999000999000999,0.8426966292134831,0.7214269662921348,0.000999000999000999,0.42696629213483145,0.29285393258426967,0.002997002997002997
train:confidence_ge_0_95,1000,16180,-13.357420277203406,1.3802541352699031,0.000999000999000999,0.7872340425531915,0.6815744680851064,0.01998001998001998,0.40425531914893614,0.31640425531914895,0.11188811188811189
train:no_large_distance_error,1000,16180,-16.08627888321061,-3.9132238870503366,0.000999000999000999,0.8313253012048193,0.7477951807228916,0.004995004995004995,0.3132530120481928,0.26720481927710843,0.17482517482517482
train:no_low_inclination,1000,16180,-17.304887660291932,-5.516274941936826,0.000999000999000999,0.8660714285714286,0.7565446428571428,0.000999000999000999,0.35714285714285715,0.2776607142857143,0.03396603396603397
train:no_manifest_caveat,1000,16180,-13.357420277203406,1.3802541352699031,0.000999000999000999,0.7872340425531915,0.6815744680851064,0.01998001998001998,0.40425531914893614,0.31640425531914895,0.11188811188811189
