u_active_window,K_projection_current_normalized,K_vertical_outer_warp_current_normalized,K_projection_source_sharpened_normalized,K_vertical_outer_warp_source_sharpened_normalized,uses_vobs_or_residual,endpoint_scores_allowed,claim_boundary
0.0,0.0,0.0,0.0,0.0,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.005,4.300420916057222e-05,9.941769323169827e-05,2.1416915302885786e-11,0.0003811657453839922,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.01,0.00017146978578702575,0.00039562400771788933,7.060141858000111e-10,0.001507802213407278,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.015,0.00038461744877317934,0.0008855665781870638,5.436981101448874e-09,0.003354933670020104,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.02,0.0006817214737233782,0.0015662165445580226,2.308702191309147e-08,0.005897999691436852,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.025,0.001062107829473302,0.0024345682986178906,7.07506560500194e-08,0.009112848753686894,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.03,0.0015251523337233782,0.0034876392339692206,1.7640448329933562e-07,0.012975731996926152,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.035,0.0020702788277848078,0.0047224694991971,3.8148515121384887e-07,0.017463297160379324,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.04,0.0026969573704381886,0.0061361217542079535,7.43381645475765e-07,0.022552582683848986,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.045,0.0034047024509047587,0.00772568092969263,1.3378414842422136e-06,0.02822101197179373,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.05,0.004193071220930234,0.009488253989667118,2.261291855811778e-06,0.034446387816041396,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.055,0.005061661745981258,0.011420969697045027,3.633077479467183e-06,0.04120688697326744,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.06,0.0060101112755544675,0.013520978382196843,5.597617321843116e-06,0.04848105489343076,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.065,0.007038094532598149,0.015785451714451556,8.326482426923616e-06,0.05624780059542092,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.07,0.008145322022046512,0.018211582476497186,1.2020397104199528e-05,0.06448639168623103,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.075,0.009331538358466571,0.020796584341637347,1.691116561769038e-05,0.07317644952003106,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.08,0.010596520612817626,0.023537691653861863,2.3263526360079787e-05,0.08229794449357386,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.085,0.011940076678323367,0.02643215921068976,3.1376935301621714e-05,0.09183119147442509,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.09,0.013362043655456549,0.02947726204874436,4.158728028652319e-05,0.10175684535856469,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.095,0.014862286256036339,0.032670295232020155,5.426852751973828e-05,0.11205589675396395,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.1,0.016440695226438193,0.036008573642802126,6.983430135128805e-05,0.12270966778679641,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.105,0.018097185789916384,0.03948943177519905,8.873939822825273e-05,0.13369980802699713,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.11,0.019831696108039164,0.04311022353125253,0.00011148123545006313,0.14500829052993655,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.115,0.021644185761236463,0.04686832201958439,0.00013860123513332562,0.15661740799102825,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.12,0.023534634248460216,0.050761119356545606,0.00017068614357015956,0.16850976901014278,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.125,0.025503039505957392,0.05478602646983094,0.0002083692859504136,0.18066829446274993,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.13,0.02754941644515545,0.05894047290452289,0.00025233175621429594,0.1930762139747616,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.135,0.029673795509660577,0.06322190663153093,0.00030330354160876635,0.20571706249809832,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.14,0.03187622125136843,0.06762779385839089,0.00036206458133911107,0.2185746769840503,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.145,0.03415675092568749,0.0721556188423909,0.0004294457585369295,0.23163319315155181,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.15,0.03651545310587516,0.07680288370599063,0.0005063298246076237,0.244877042347535,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.155,0.03895240631648616,0.0815671082545008,0.0005936522548746012,0.2582909484965763,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.16,0.04146769768593391,0.0864458297959912,0.0006924020343039266,0.2718599251370938,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.165,0.044061421618164245,0.091436602963395,0.0008036223719721085,0.28556927254139863,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.17,0.046733678483441884,0.09653699953877835,0.0009284113428311116,0.2994045749169493,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.17500000000000002,0.04948457332824933,0.10174460827974492,0.0010679224552284517,0.3133516976861989,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.18,0.05231421460429865,0.10705703474794456,0.0012233651425563167,0.32739678484247225,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.185,0.055222712916655675,0.11247190113965688,0.0013960051773318361,0.3415262563793467,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.19,0.05821017979097674,0.11798684611842032,0.0015871650059508667,0.3557268057910576,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.195,0.06127672645985825,0.12359952464967795,0.0017982240023096637,0.369985397641487,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.2,0.06442246266829867,0.12930760783741174,0.0020306186384524516,0.3842892651993356,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.20500000000000002,0.06764749549827319,0.1351087827627375,0.00228584257037789,0.3986259081371166,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.21,0.07095192821242105,0.1410007523244331,0.0025654466371236462,0.41298309029165237,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.215,0.07433585911684538,0.1469812350813729,0.0028710387712452853,0.42734883748378877,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.22,0.0777993804430257,0.15304796509684168,0.00320428381881343,0.44171143539508306,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.225,0.08134257724884295,0.15919869178470258,0.0035669032670712043,0.45605942749925854,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.23,0.08496552633871728,0.16543117975739308,0.003960674877922125,0.47038161304625375,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.23500000000000001,0.08866829520285827,0.1717432086757228,0.004387432225456578,0.48466704509673236,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.24,0.09245094097562791,0.17813257310045008,0.00484906413577251,0.4989050286049539,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.245,0.09631350941301613,0.18459708234561106,0.00534751402740265,0.5130851185479413,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.25,0.10025603388922888,0.19113456033357842,0.005884779150726233,0.5271971180989166,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.255,0.10427853441238887,0.19774284545182497,0.006462909724817405,0.5412310768430051,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.26,0.10838101665934886,0.20441979041136965,0.007084007970265113,0.5551772890332516,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.265,0.11256347102961776,0.21116326210688272,0.007750227036589782,0.569026291885014,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.27,0.11682587171839905,0.21797114147842683,0.008463769822980364,0.5827688639068377,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.275,0.121168175808742,0.22484132337481258,0.009226887691181022,0.5963960232659491,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.28,0.1255903223828054,0.23177171641854608,0.010041879069469361,0.6098990261865275,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.28500000000000003,0.13009223165223402,0.23876024287234723,0.010911087946787678,0.623269365378959,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.29,0.13467380410764748,0.2458048385072172,0.011836902256214447,0.6364987684982941,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.295,0.13933491968724196,0.2529034524720342,0.01282175214709558,0.6495791966301688,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.3,0.14407543696450428,0.2600540471646569,0.013868108145292476,0.662502842802473,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.305,0.14889519235503879,0.26725459810451563,0.014978479201147591,0.6752621305210847,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.31,0.15379399934250673,0.27450309380667104,0.016155410624916548,0.6878497123280098,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.315,0.15877164772367836,0.2817975356573198,0.017401481909569267,0.7002584683803021,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.32,0.1638279028725973,0.28913593779072966,0.01871930444102067,0.7124815050481594,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.325,0.1689625050238583,0.29651632696758345,0.020111519096013584,0.7245121535306279,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.33,0.17417516857499635,0.30393674245471286,0.021580793728042554,0.7363439684873576,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.335,0.17946558140798985,0.31139523590620605,0.023129820541877472,0.7479707266849007,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.34,0.1848334042298752,0.3188898712458667,0.024761313357418314,0.7593864256560465,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.34500000000000003,0.19027826993247457,0.3264187245510109,0.02647800476378909,0.7705852823707304,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.35000000000000003,0.1957997829712363,0.3339798839375812,0.02828264316475752,0.7815617319170702,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.355,0.20139751876318754,0.34157144944656126,0.03017798971674819,0.792310426191109,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.36,0.20707102310400005,0.3491915329316748,0.032166815160900517,0.8028262325938705,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.365,0.21281981160416788,0.35683825794835083,0.034251896550807556,0.8131042327343535,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.37,0.21864336914429863,0.36450975964393917,0.036436013877759015,0.8231397211371199,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.375,0.22454114934951613,0.3722041846491588,0.038721946595498685,0.8329282039531458,False,False,mixed_kernel_sharpening_preflight_not_endpoint
0.38,0.2305125740829768,0.37991969097076483,0.041112470046696305,0.8424653976726391,False,False,mixed_kernel_sharpening_preflight_not_endpoint
