galaxy,split,current_proxy_family,rotation_inferred_family,rotation_inferred_confidence,rotation_inferred_margin_to_second,predeclared_family_rank_by_rotation,matches_current_proxy_family,external_family_label,external_family_label_status,external_family_present,matches_external_family,external_family_mismatch,type_bin,manifest_confidence,manifest_caveat,mean_gas,mean_bulge,max_bulge,mean_log_sbdisk,source_memory_proxy_flags,proxy_status,claim_boundary,memory_history_proxy_class
CamB,holdout,K_scale_tail_spiral,K_exponential_disk,LOW,1.0116050851385374,3,False,,,False,False,False,irregular_T_ge_9,1.0,none,0.3364692796822091,0.0,0.0,0.8936597629670757,gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
D512-2,train,K_scale_tail_spiral,K_thick_flared,HIGH,0.3450621061543133,3,False,,,False,False,False,irregular_T_ge_9,0.65,few_rotation_points;large_distance_error,0.1829782152588811,0.0,0.0,0.6932048892577652,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,generic_current_vs_rotation_readout_mismatch_candidate
D564-8,train,K_scale_tail_spiral,K_thick_flared,MEDIUM,0.2898617739646898,3,False,,,False,False,False,irregular_T_ge_9,0.8,few_rotation_points,0.5126399479257571,0.0,0.0,0.0776723053008495,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,generic_current_vs_rotation_readout_mismatch_candidate
D631-7,train,K_scale_tail_spiral,K_thick_flared,LOW,0.3069839420726481,3,False,,,False,False,False,irregular_T_ge_9,1.0,none,0.7290748086624049,0.0,0.0,-0.3175088590643432,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,generic_current_vs_rotation_readout_mismatch_candidate
DDO064,train,K_scale_tail_spiral,K_thick_flared,HIGH,0.7878570103902431,3,False,,,False,False,False,irregular_T_ge_9,0.85,large_distance_error,0.1992968075345361,0.0,0.0,0.9397901170390284,distance_caveat;gas_rich_late_or_irregular;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,generic_current_vs_rotation_readout_mismatch_candidate
DDO154,train,K_scale_tail_spiral,K_scale_tail_spiral,LOW,0.2785569427844372,1,True,,,False,False,False,irregular_T_ge_9,1.0,none,0.7491305343093885,0.0,0.0,-0.4698509458281751,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse,SOURCE_ONLY_CURRENT_PROXY_CONTEXT,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,current_readout_consistent_no_memory_proxy_flag
DDO161,train,K_scale_tail_spiral,K_exponential_disk,MEDIUM,2.4164128129715596,3,False,,,False,False,False,irregular_T_ge_9,0.85,large_distance_error,0.7263244683789362,0.0,0.0,-0.093642040996536,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
DDO168,train,K_scale_tail_spiral,K_exponential_disk,LOW,0.5513074768230082,3,False,,,False,False,False,irregular_T_ge_9,1.0,none,0.7790746755026204,0.0,0.0,0.6317616096480424,gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
DDO170,train,K_scale_tail_spiral,K_exponential_disk,HIGH,2.4722642937456096,3,False,,,False,False,False,irregular_T_ge_9,0.85,large_distance_error,0.7040687456367871,0.0,0.0,-0.0468440715329993,distance_caveat;gas_rich_late_or_irregular;low_surface_brightness_or_diffuse;rotation_current_proxy_mismatch,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,scale_tail_current_with_expdisk_readout_memory_candidate
ESO079-G014,train,K_thick_flared,K_scale_tail_spiral,MEDIUM,1.4301309889542235,2,False,,,False,False,False,mid_T_3_5,0.75,large_distance_error;vertical_geometry_proxy_only,0.0574609622564911,0.0,0.0,1.9018495982954928,distance_caveat;rotation_current_proxy_mismatch;vertical_geometry_proxy_only,SOURCE_PLUS_INVERSE_HYPOTHESIS,morphological_memory_proxy_not_accepted_label_not_endpoint_validation,thick_flared_proxy_with_alternate_readout_memory_candidate
