galaxy,n_points,r_median,r_max,mean_gas,mean_bulge,mean_log_sbdisk,peak_sb,mean_abs_rparent,split,role,type_bin,inc_bin,hub_type,formula_family,label_source
CamB,9,0.9,1.79,0.3364692796822091,0.0,0.8936597629670757,1.481729196960016,0.053869237978224065,holdout,middle,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
D512-2,4,2.4,3.83,0.1829782152588811,0.0,0.6932048892577652,1.216165902285993,0.023079457143046073,train,control,irregular_T_ge_9,inc_mid_40_60,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
D564-8,6,1.7850000000000001,3.07,0.5126399479257571,0.0,0.07767230530084954,0.8041394323353505,0.08215604156385865,train,control,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
D631-7,16,3.815,7.19,0.7290748086624049,0.0,-0.31750885906434323,1.4159744113765658,0.13905004733925574,train,middle,irregular_T_ge_9,inc_mid_40_60,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
DDO064,14,1.385,2.98,0.1992968075345361,0.0,0.9397901170390284,1.4548448600085102,0.3172031150261185,train,control,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
DDO154,12,3.21,5.92,0.7491305343093885,0.0,-0.4698509458281751,1.2022157758011316,0.31258547211008514,train,control,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
DDO161,31,6.28,13.37,0.7263244683789362,0.0,-0.09364204099653604,1.481729196960016,0.14101415205265716,train,middle,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
DDO168,10,2.265,4.12,0.7790746755026204,0.0,0.6317616096480424,1.3102683666324475,0.07991375345954504,train,control,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
DDO170,8,7.1,12.33,0.7040687456367871,0.0,-0.046844071532999375,0.9722028383790644,0.09723677679263669,train,control,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
ESO079-G014,15,6.34,16.67,0.0574609622564911,0.0,1.9018495982954926,2.6582785726002687,0.02967351913658268,train,middle,mid_T_3_5,inc_high_60_80,4.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
ESO116-G012,15,4.13,9.86,0.2211596507706781,0.0,1.221188713730845,2.442385687867871,0.03658835356401124,holdout,middle,late_T_6_8,inc_high_60_80,7.0,K_exponential_disk,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
ESO444-G084,7,1.81,4.44,0.7136783009762161,0.0,0.17545655937158341,1.495405563146193,0.11075229139117256,train,middle,irregular_T_ge_9,inc_low_lt_40,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
ESO563-G021,30,17.695,42.41,0.0478026547176993,0.0,1.6619562058884083,3.3214617211308166,0.1138948440648078,train,candidate,mid_T_3_5,inc_edge_ge_80,4.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F561-1,6,5.645,9.66,0.2551235244938438,0.0,1.092640501154487,1.6422666189026736,0.03844857932795519,holdout,candidate,irregular_T_ge_9,inc_low_lt_40,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F563-1,17,9.26,20.1,0.4762978477885164,0.0,0.3289916760152911,1.5240064455573723,0.12085502827568192,holdout,candidate,irregular_T_ge_9,inc_low_lt_40,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F563-V1,6,4.585,7.87,0.45010223296008417,0.0,0.7119954163859674,1.100370545117563,0.029460408917354967,train,candidate,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F563-V2,10,3.5549999999999997,10.47,0.3150312191741706,0.0,1.0515141830142574,1.8325089127062364,0.103152612195886,train,candidate,irregular_T_ge_9,inc_low_lt_40,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F565-V2,7,5.03,8.8,0.601619606663297,0.0,0.2801549849789163,1.09968064110925,0.03454897530744559,train,middle,irregular_T_ge_9,inc_high_60_80,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F567-2,5,5.75,9.59,0.041325550863959,0.0,0.7763947941760252,1.345765693114488,0.19286959081923644,train,middle,irregular_T_ge_9,inc_low_lt_40,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F568-1,12,5.1850000000000005,13.23,0.2188489548893078,0.0,1.2025295066464603,1.9917132757130895,0.13790538265744012,holdout,candidate,mid_T_3_5,inc_low_lt_40,5.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F568-3,18,4.869999999999999,17.98,0.1802245674121936,0.0,1.1915866520345506,1.8295610562993927,0.08184313082460239,train,middle,late_T_6_8,inc_mid_40_60,7.0,K_exponential_disk,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F568-V1,15,5.87,17.63,0.1955578745133887,0.0,1.0454141177062042,1.9992610711131005,0.08621264237604813,train,candidate,late_T_6_8,inc_mid_40_60,7.0,K_exponential_disk,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F571-8,13,4.77,15.55,0.0246076022689681,0.0,1.4773599874145207,3.2663657755870577,0.11570917177879411,train,candidate,mid_T_3_5,inc_edge_ge_80,5.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F571-V1,7,7.78,13.59,0.4944615826677371,0.0,0.5156793117504672,1.369957607346053,0.08884933224721757,train,control,late_T_6_8,inc_low_lt_40,7.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F574-1,14,6.58,12.6,0.1509646831563863,0.0,1.139464245847707,2.0194901629975077,0.048119122118517196,train,middle,late_T_6_8,inc_high_60_80,7.0,K_exponential_disk,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F574-2,5,6.49,10.83,0.1330475659417185,0.0,0.8321018279674817,1.2826221128780626,0.24150186896396822,train,candidate,irregular_T_ge_9,inc_low_lt_40,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F579-V1,14,6.005000000000001,15.16,0.0989417908584865,0.0,1.3966085480435169,2.2225604091652236,0.008887992513000402,train,middle,mid_T_3_5,inc_low_lt_40,5.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F583-1,25,3.86,16.26,0.1919541705876132,0.0,0.7648490504112828,1.5350408132511606,0.17319297378254603,train,middle,irregular_T_ge_9,inc_high_60_80,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
F583-4,12,4.675,7.29,0.11316579514847798,0.0,1.0754630461670265,1.8399805576783428,0.03312013202937316,train,control,mid_T_3_5,inc_mid_40_60,5.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
IC2574,34,5.545,10.23,0.3765714028427711,0.0,0.5485328390367614,1.224014811372864,0.0883072750056276,holdout,control,irregular_T_ge_9,inc_high_60_80,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
IC4202,32,12.905000000000001,25.9,0.0480021177055607,0.4202354154490455,1.8322708789160742,2.5252651393808985,0.20843802260024613,holdout,candidate,mid_T_3_5,inc_edge_ge_80,4.0,K_compact_finite,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
KK98-251,15,1.4,3.13,0.7299731114553866,0.0,0.5944204822522641,0.9390197764486664,0.04628763537699081,train,middle,irregular_T_ge_9,inc_mid_40_60,10.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC0024,29,1.7,11.27,0.1003561854937087,0.0,1.8354156459886561,2.6135775721070993,0.03659539605725591,holdout,middle,mid_T_3_5,inc_high_60_80,5.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC0055,21,7.37,13.5,0.5636871759105618,0.0,0.9481123405254441,1.7634279935629371,0.040178518012940624,train,middle,irregular_T_ge_9,inc_high_60_80,9.0,K_scale_tail_spiral,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC0100,21,4.79,9.62,0.1353722904856278,0.0,0.9832195240295576,2.1542413301672982,0.022912986626434467,train,control,late_T_6_8,inc_edge_ge_80,6.0,K_exponential_disk,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC0247,26,7.800000000000001,14.54,0.2780788625868493,0.0,1.0216021887480098,1.819675519994293,0.053772667816260715,train,control,late_T_6_8,inc_high_60_80,7.0,K_exponential_disk,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC0289,28,30.255,71.12,0.3264680293358429,0.0,0.28284513819261864,3.1437608955657024,0.15162438488062854,train,middle,mid_T_3_5,inc_mid_40_60,4.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC0300,25,6.36,11.8,0.2524806244199543,0.0,0.6574265386880047,1.9566485792052033,0.05036719700888344,train,middle,late_T_6_8,inc_mid_40_60,7.0,K_exponential_disk,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC0801,13,17.65,59.82,0.081133378243954,0.0,1.9951723710897176,3.4632761813503317,0.11724655600111288,train,candidate,mid_T_3_5,inc_edge_ge_80,5.0,K_thick_flared,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
NGC0891,18,9.265,17.11,0.0332828051711864,0.2235566106692832,1.858026248534805,3.4548555267595273,0.152804335798286,train,candidate,mid_T_3_5,inc_edge_ge_80,3.0,K_compact_finite,metadata_proxy:type_bin+bulge_frac+gas_fraction+surface_brightness;no residual endpoints
