galaxy,split,formula_family,n_points,rmse_tpg_v6,rmse_mond,rmse_matched_family,rmse_wrong_family_mean,best_family,matched_family_rank,rmse_K_compact_finite,rmse_K_scale_tail_spiral,rmse_K_exponential_disk,rmse_K_thick_flared,matched_minus_wrong_mean,matched_minus_tpg_v6,matched_minus_mond,matched_beats_wrong_mean,matched_beats_tpg_v6,matched_beats_mond
CamB,holdout,K_scale_tail_spiral,9,13.63779853730796,15.623524086441458,15.397946646329233,13.41884925915481,K_thick_flared,4,15.120346850417553,15.397946646329233,13.996436933203519,11.139763993843355,1.9790973871744235,1.760148109021273,-0.22557744011222525,False,False,True
ESO116-G012,holdout,K_exponential_disk,15,11.508201668011028,9.108666488881621,11.245469505550819,11.48349378106068,K_scale_tail_spiral,3,11.075881935684698,9.895482847841217,11.245469505550819,13.479116559656125,-0.23802427550986138,-0.2627321624602086,2.136803016669198,True,True,False
F561-1,holdout,K_scale_tail_spiral,6,28.55685188052471,32.526019723976546,30.292366828732312,28.325481896928377,K_thick_flared,4,29.842030156850914,30.292366828732312,28.897380103994607,26.237035429939606,1.9668849318039356,1.7355149482076015,-2.2336528952442336,False,False,True
F563-1,holdout,K_scale_tail_spiral,17,24.695833689633552,18.44568739642176,23.1218692019883,24.922159201590336,K_scale_tail_spiral,1,23.247833969581386,23.1218692019883,24.390152784695715,27.128490850493904,-1.800289999602036,-1.5739644876452523,4.676181805566539,True,True,False
F568-1,holdout,K_thick_flared,12,33.500610533676024,29.974188853658532,35.71552914844118,32.47815120855962,K_scale_tail_spiral,4,32.42786060667901,31.830733587235272,33.17585943176458,35.71552914844118,3.2373779398815543,2.2149186147651534,5.7413402947826455,False,False,False
IC2574,holdout,K_scale_tail_spiral,34,7.5138151552258,13.51316984455882,9.194275561418312,7.37083501790229,K_thick_flared,4,9.138508777353263,9.194275561418312,7.853667446102012,5.120328830251595,1.8234405435160221,1.6804604061925117,-4.318894283140509,False,False,True
IC4202,holdout,K_compact_finite,32,26.101514959176914,26.12803028857914,27.30664695717806,26.095964359284636,K_scale_tail_spiral,4,27.30664695717806,25.865804239250323,26.040732490794372,26.381356347809216,1.210682597893424,1.2051319980011463,1.1786166685989201,False,False,False
NGC0024,holdout,K_thick_flared,29,22.157814084096987,20.65262257294937,24.273593653300495,21.134149892779707,K_scale_tail_spiral,4,21.034291034635462,20.518459603039254,21.849699040664397,24.273593653300495,3.1394437605207877,2.1157795692035073,3.6209710803511257,False,False,False
NGC2683,holdout,K_thick_flared,11,10.314830339812675,14.151015414510422,9.889313768732194,10.636057823700403,K_thick_flared,1,10.345303017552025,11.137736705266631,10.425133748282553,9.889313768732194,-0.7467440549682092,-0.4255165710804807,-4.261701645778228,True,True,True
NGC3726,holdout,K_thick_flared,12,23.631876746434497,26.325344741169783,21.679410879652426,24.691887208129216,K_thick_flared,1,25.120385054104172,25.00914049231648,23.946136077967,21.679410879652426,-3.01247632847679,-1.9524658667820702,-4.645933861517356,True,True,True
NGC3949,holdout,K_thick_flared,7,8.950158230683527,11.297904622428334,7.531382624131903,9.857986190072372,K_thick_flared,1,10.256528658377105,10.088331907512412,9.229098004327595,7.531382624131903,-2.326603565940469,-1.4187756065516242,-3.7665219982964304,True,True,True
NGC3972,holdout,K_thick_flared,10,7.806428086864266,6.774747860896815,9.479957543804845,7.228544372643036,K_scale_tail_spiral,4,7.469154914661988,6.658775359211076,7.557702844056041,9.479957543804845,2.2514131711618095,1.673529456940579,2.7052096829080305,False,False,False
NGC4013,holdout,K_compact_finite,36,12.273912532057183,14.334222058319126,13.717838172836348,12.262601151009433,K_thick_flared,4,13.717838172836348,13.172137581938927,12.495704036503795,11.119961834585576,1.4552370218269157,1.443925640779165,-0.6163838854827777,False,False,True
NGC4088,holdout,K_thick_flared,12,38.98773649865968,42.18384581680386,36.76748043821314,40.160057690823315,K_thick_flared,1,40.53939046490225,40.60433006858449,39.336452538983195,36.76748043821314,-3.392577252610174,-2.2202560604465376,-5.416365378590719,True,True,True
NGC4183,holdout,K_exponential_disk,23,6.489693491114096,10.354993594406714,6.621217695501002,6.707196519330263,K_thick_flared,3,6.429284550878031,7.472596692528692,6.621217695501002,6.2197083145840635,-0.0859788238292607,0.13152420438690626,-3.733775898905712,True,False,True
NGC4214,holdout,K_scale_tail_spiral,14,17.991047303306434,15.27888150484993,16.40517396985808,18.137992220066238,K_scale_tail_spiral,1,16.56995260269311,16.40517396985808,17.686965089900834,20.157058967604772,-1.7328182502081582,-1.5858733334483546,1.1262924650081505,True,True,False
NGC4389,holdout,K_thick_flared,6,46.55692853885728,48.50110279830857,44.37161822966489,47.74968761818616,K_thick_flared,1,48.21385169101576,48.121009123235744,46.91420204030698,44.37161822966489,-3.3780693885212685,-2.1853103091923884,-4.129484568643683,True,True,True
NGC5907,holdout,K_thick_flared,19,16.785509985459306,18.59536481497724,16.926436951850356,16.658227067343063,K_compact_finite,3,15.975872309413802,17.181336353182072,16.817472539433307,16.926436951850356,0.2682098845072929,0.1409269663910493,-1.6689278631268856,False,False,True
NGC5985,holdout,K_compact_finite,33,72.28739039126062,69.40357999391347,70.40018155794495,72.38906713489585,K_compact_finite,1,70.40018155794495,70.79615901763195,71.93974259611882,74.43129979093679,-1.9888855769509064,-1.8872088333156682,0.9966015640314794,True,True,False
NGC6789,holdout,K_scale_tail_spiral,4,15.897752239176857,15.396246199577478,14.275281911328038,16.260587087026426,K_scale_tail_spiral,1,15.159205375659532,14.275281911328038,15.611260191484346,18.011295693935402,-1.9853051756983877,-1.6224703278488182,-1.1209642882494393,True,True,True
NGC6946,holdout,K_compact_finite,58,15.025447425206579,17.728143095419597,17.0296694194608,14.966189355608115,K_thick_flared,4,17.0296694194608,16.490063658217704,15.32354667395828,13.084957734648361,2.0634800638526833,2.0042219942542197,-0.6984736759587982,False,False,True
