galaxy,split,coarse_formula_family,dominant_intake_family,dominant_evidence_status,n_nonzero_source_components,source_supported_components,proxy_or_missing_components,component_gate,normalization_status,normalization_candidate_present,proxy_gate_status,orientation_status,memory_status,memory_projection_status,freeze_status,endpoint_scores_computed,endpoint_freeze_allowed,claim_boundary
CamB,holdout,K_scale_tail_spiral,K_thick_flared,PROXY_OR_PARTIAL_SOURCE_ONLY,2,K_scale_tail_spiral,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
ESO116-G012,holdout,K_exponential_disk,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,2,K_scale_tail_spiral,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
F561-1,holdout,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,1,K_scale_tail_spiral,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
F563-1,holdout,K_scale_tail_spiral,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,2,K_scale_tail_spiral,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
F568-1,holdout,K_thick_flared,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,1,K_scale_tail_spiral,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
IC4202,holdout,K_compact_finite,K_scale_tail_spiral,SOURCE_CANDIDATE_HI_TAIL_READY,2,K_scale_tail_spiral,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC0024,holdout,K_thick_flared,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,2,K_scale_tail_spiral;K_exponential_disk,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC2683,holdout,K_thick_flared,K_compact_finite,SOURCE_CANDIDATE_COMPACT_READY,4,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,K_thick_flared,COMPONENT_PROXY_OR_MISSING,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_ORIENTATION_NOT_READY,FREEZE_BLOCKED_ORIENTATION_PROMOTION_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
NGC3726,holdout,K_thick_flared,K_exponential_disk,SOURCE_CANDIDATE_S4G_SCALE_READY,3,K_compact_finite;K_scale_tail_spiral;K_exponential_disk,,SOURCE_CANDIDATES_PRESENT,FORMULA_CONDITIONAL_NORMALIZATION_CANDIDATE_PRESENT_NOT_ACCEPTED,True,RESOLVED_DERIVED_COARSE_GRID_PROXY_ADMISSION_PRODUCT,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,MEMORY_PROXY_AVAILABLE_NOT_ACCEPTED,BLOCKED_PROJECTION_ACCEPTANCE,FREEZE_BLOCKED_PROJECTION_ACCEPTANCE_NOT_ACCEPTED,False,False,l2_weight_freeze_readiness_audit_not_endpoint
