inspection_priority_tier,inspection_focus,n_galaxies,median_priority_score,n_s4g_matched,n_external_family_mismatches
P0,outer_disk_tail_lsb_or_hi_extent,2,98.0,2,2
P0,bar_m2_component;outer_disk_tail_lsb_or_hi_extent,1,88.0,1,1
P0,edge_on_projection_degeneracy;outer_disk_tail_lsb_or_hi_extent,1,88.0,1,1
P1,outer_disk_tail_lsb_or_hi_extent,12,74.0,6,2
P1,thickness_flare_warp_or_projection,3,73.0,2,1
P1,bar_m2_component;thickness_flare_warp_or_projection,1,78.0,1,1
P1,edge_on_projection_degeneracy;thickness_flare_warp_or_projection,1,83.0,1,1
P1,outer_disk_tail_lsb_or_hi_extent;thickness_flare_warp_or_projection,1,78.0,1,0
P2,outer_disk_tail_lsb_or_hi_extent,23,65.0,9,0
P2,thickness_flare_warp_or_projection,13,58.0,9,0
P2,outer_disk_tail_lsb_or_hi_extent;thickness_flare_warp_or_projection,7,60.0,6,0
P2,bulge_compact_core_or_central_support,6,58.0,3,0
P2,bulge_compact_core_or_central_support;thickness_flare_warp_or_projection,6,61.5,3,0
P2,bulge_compact_core_or_central_support;outer_disk_tail_lsb_or_hi_extent,1,63.0,1,0
P3,outer_disk_tail_lsb_or_hi_extent,43,40.0,15,0
P3,bulge_compact_core_or_central_support,24,30.0,4,0
P3,thickness_flare_warp_or_projection,16,48.0,8,0
P3,current_label_vs_readout_subtype_split,7,10.0,1,0
P3,bulge_compact_core_or_central_support;outer_disk_tail_lsb_or_hi_extent,2,45.0,0,0
P3,edge_on_projection_degeneracy,2,28.0,2,0
P3,outer_disk_tail_lsb_or_hi_extent;thickness_flare_warp_or_projection,2,50.0,0,0
P3,bar_m2_component,1,38.0,1,0
