galaxy,split,role,formula_family,manifest_confidence,manifest_caveat,hub_type,type_bin,inc_bin,distance_quality,distance_frac_error,inclination_deg,inclination_error_deg,n_points,r_min,r_median,r_max,mean_gas,mean_bulge,max_bulge,mean_log_sbdisk,peak_log_sb,scale_radius_proxy_kpc,tail_inner_radius_proxy_kpc,tail_cutoff_radius_proxy_kpc,compact_support_radius_proxy_kpc,thickness_h_over_rs_proxy,ring_radius_proxy_kpc,ring_width_proxy_kpc,bar_m2_proxy,lopsided_m1_proxy,amplitude_policy,parameter_source,forbidden_inputs
CamB,holdout,middle,K_scale_tail_spiral,1.0,none,10.0,irregular_T_ge_9,inc_high_60_80,2.0,0.077380952381,65.0,5.0,9,0.16,0.9,1.79,0.3364692796822091,0.0,0.0,0.8936597629670757,1.481729196960016,0.5363528009535161,0.315,2.091140005315577,0.9,0.2314111758569941,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
ESO116-G012,holdout,middle,K_exponential_disk,0.85,large_distance_error,7.0,late_T_6_8,inc_high_60_80,1.0,0.3,74.0,3.0,15,0.25,4.13,9.86,0.2211596507706781,0.0,0.0,1.221188713730845,2.442385687867871,2.461263408820024,1.4454999999999998,10.950317078299442,4.13,0.17952184284680514,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
F561-1,holdout,candidate,K_scale_tail_spiral,0.6000000000000001,few_rotation_points;low_inclination,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.150602409639,24.0,10.0,6,1.61,5.645,9.66,0.2551235244938438,0.0,0.0,1.092640501154487,1.6422666189026736,3.364123957091776,1.9757499999999997,10.892246623305265,5.645,0.1948055860222297,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
F563-1,holdout,candidate,K_scale_tail_spiral,0.65,low_inclination;large_distance_error,9.0,irregular_T_ge_9,inc_low_lt_40,1.0,0.200408997955,25.0,5.0,17,1.07,9.26,20.1,0.4762978477885164,0.0,0.0,0.3289916760152911,1.5240064455573723,5.5184743742550655,3.2409999999999997,24.886793370274592,9.26,0.2943340315048324,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
F568-1,holdout,candidate,K_thick_flared,0.7000000000000001,low_inclination;vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_low_lt_40,1.0,0.106945975744,26.0,5.0,12,0.44,5.1850000000000005,13.23,0.2188489548893078,0.0,0.0,1.2025295066464603,1.9917132757130895,3.089988081048868,1.81475,14.677685836592772,5.1850000000000005,0.1784820297001885,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
IC2574,holdout,control,K_scale_tail_spiral,1.0,none,9.0,irregular_T_ge_9,inc_high_60_80,2.0,0.051150895141,75.0,7.0,34,0.85,5.545,10.23,0.3765714028427711,0.0,0.0,0.5485328390367614,1.224014811372864,3.3045292014302743,1.9407499999999998,12.156162725540774,5.545,0.249457131279247,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
IC4202,holdout,candidate,K_compact_finite,1.0,none,4.0,mid_T_3_5,inc_edge_ge_80,1.0,0.099601593625,90.0,1.0,32,0.77,12.905000000000001,25.9,0.0480021177055607,0.4202354154490455,0.9823511937853552,1.8322708789160742,2.5252651393808985,7.6907032181168065,4.51675,26.52162742428701,18.328138036369936,0.10160095296750232,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC0024,holdout,middle,K_thick_flared,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_high_60_80,2.0,0.049315068493,64.0,3.0,29,0.21,1.7,11.27,0.1003561854937087,0.0,0.0,1.8354156459886561,2.6135775721070993,1.0131108462455305,0.595,11.835507105257047,1.7,0.12516028347216893,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC2683,holdout,middle,K_thick_flared,0.9,vertical_geometry_proxy_only,3.0,mid_T_3_5,inc_edge_ge_80,2.0,0.0499490316,80.0,5.0,11,2.89,17.31,34.62,0.0371166982515088,0.09496838710118838,0.2121899390471468,0.831441692373184,2.8781712312545915,10.315852205005958,6.0584999999999996,35.26249004673362,18.95390278072157,0.09670251421317896,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
NGC3726,holdout,candidate,K_thick_flared,0.9,vertical_geometry_proxy_only,5.0,mid_T_3_5,inc_mid_40_60,4.0,0.138888888889,53.0,2.0,12,3.5,13.065,32.52,0.1226403651218742,0.0,0.0,1.1557074911807586,2.565788807262067,7.786054827175208,4.572749999999999,34.51413233688168,13.065,0.1351881643048434,,,,,train_only_family_amplitude_preflight,available_data_proxy:r_median+r_max+type_bin+bulge_frac+gas_fraction+surface_brightness,vobs_endpoint_residual_gain;required_S_tau;posthoc_family_choice
