galaxy,split,formula_family,best_family,model_id,prediction_column,r_kpc,vobs_kms,vpred_kms,residual_kms,uses_vobs_for_generation,uses_vobs_for_scoring,validation_claim_allowed,claim_boundary
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,0.85,10.3,6.781154031578991,-3.51884596842101,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,1.14,12.9,8.478210306426705,-4.421789693573295,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,1.42,16.4,9.824360030047758,-6.57563996995224,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,1.71,18.6,11.332257056738522,-7.26774294326148,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,1.99,19.8,12.917755222947989,-6.882244777052012,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,2.28,26.1,13.84770197541816,-12.252298024581842,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,2.55,27.7,14.901070431348211,-12.798929568651788,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,2.84,29.7,15.64804141098815,-14.05195858901185,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,3.13,33.0,16.285274022871093,-16.714725977128907,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,3.41,34.8,16.76026401940017,-18.039735980599826,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,3.7,35.0,16.663158464108776,-18.336841535891224,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,3.98,39.0,16.478969931400446,-22.521030068599554,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,4.26,35.9,17.02762755054268,-18.87237244945732,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,4.55,40.0,18.928795524279938,-21.071204475720062,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,4.84,38.7,20.808565544025377,-17.891434455974625,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,5.12,41.8,21.945083731897675,-19.854916268102322,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,5.41,42.9,22.44260902836388,-20.45739097163612,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,5.68,44.4,23.337525575776024,-21.062474424223975,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,5.97,46.1,24.058496420183868,-22.041503579816133,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,6.26,49.0,25.10909098314792,-23.89090901685208,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,6.54,51.9,26.114640529787117,-25.78535947021288,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,6.83,53.1,26.374336958490534,-26.725663041509467,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,7.1,54.0,26.770045760140196,-27.229954239859804,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,7.39,55.9,27.08247403765025,-28.817525962349748,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,7.68,58.8,27.853005223853312,-30.946994776146685,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,7.96,57.3,28.420460059611983,-28.879539940388014,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,8.25,54.0,28.85675917354546,-25.14324082645454,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,8.52,63.8,28.72672710212564,-35.07327289787436,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,8.81,60.5,28.87202885146799,-31.62797114853201,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,9.1,61.0,29.133738174151286,-31.866261825848714,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,9.38,66.0,29.728049885587858,-36.27195011441214,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,9.67,65.2,30.834816360730933,-34.36518363926907,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,9.96,67.1,31.211420986555545,-35.88857901344445,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,NEWTONIAN_vn,vn,10.23,67.5,32.023262638275945,-35.476737361724055,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,0.85,10.3,17.133241061860904,6.833241061860903,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,TPG_V6,v_v6,1.14,12.9,20.96082429717747,8.06082429717747,False,True,False,multigalaxy_fit_inspection_atlas_endpoint_diagnostic_not_validation
