galaxy,ugc_id,hubble_type,heald_inclination_deg,moderate_inclination_50_to_75,halogas_moment_products_in_zenodo,sparc_rotation_population_exposed,explicit_development_exposure,prior_endpoint_exposed,signed_radial_geometry_source_status,endpoint_unopened_candidate,clean_source_candidate,source_acquisition_priority,candidate_status,endpoint_pixels_read_by_this_audit
NGC0672,UGC01256,SBcd,70,True,4,False,,False,INTERACTING_COMPANION_CONTAMINATION,True,False,,SOURCE_DEMOTED_FROM_CLEAN_CONFIRMATORY_LANE,False
NGC0891,UGC01831,SAb,84,False,4,True,,True,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_PRIOR_ENDPOINT_EXPOSURE,False
NGC0925,UGC01913,SABd,54,True,4,False,,False,PHYSICAL_MC_ACQUIRED_INNER_NONIDENTIFIABLE_OUTER_TERMINAL_CONTAMINATED,True,False,,SOURCE_DEMOTED_FROM_CLEAN_CONFIRMATORY_LANE,False
NGC0949,UGC01983,SAd,52,True,4,False,,False,HALOGAS_WARP_GT10_DEG_CONSTANT_GEOMETRY_ONLY,True,False,3,SOURCE_DEMOTED_FROM_CLEAN_CONFIRMATORY_LANE,False
UGC2082,UGC02082,SAc,89,False,4,False,,False,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_EDGE_ON_FOR_CURRENT_SIDE_GEOMETRY_PROTOCOL,False
NGC1003,UGC02137,SAcd,67,True,4,True,,True,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_PRIOR_ENDPOINT_EXPOSURE,False
NGC2403,UGC03918,SAcd,62,True,4,True,,True,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_PRIOR_ENDPOINT_EXPOSURE,False
UGC4278,UGC04278,SAd,90,False,4,True,,True,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_PRIOR_ENDPOINT_EXPOSURE,False
NGC2541,UGC04284,SAcd,67,True,4,False,NGC2541 side-consistency statistic and nuisance development,True,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_PRIOR_ENDPOINT_EXPOSURE,False
NGC3198,UGC05572,SBc,71,True,4,True,prior Paper 8 diagnostic scan and predeclared replay score,True,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_PRIOR_ENDPOINT_EXPOSURE,False
NGC4062,UGC07045,SAc,68,True,4,False,frozen two-resolution HALOGAS/Halpha confirmatory endpoint opened,True,SOURCE_GEOMETRY_COMPLETE_TWO_RING_ENDPOINT_OPENED_NULL_AND_ZEROPOINT_UNSTABLE,False,False,1,EXCLUDED_PRIOR_ENDPOINT_EXPOSURE,False
NGC4244,UGC07322,SAcd,90,False,4,False,,False,SIGNED_RADIAL_IPA_SOURCE_NOT_YET_ACQUIRED,False,False,,EXCLUDED_EDGE_ON_FOR_CURRENT_SIDE_GEOMETRY_PROTOCOL,False
NGC4258,UGC07353,SABbc,71,True,4,False,,False,HALOGAS_WARP_STREAMING_ACTIVE_NUCLEUS_COMPLEX,True,False,,SOURCE_DEMOTED_FROM_CLEAN_CONFIRMATORY_LANE,False
NGC4274,UGC07377,SBab,72,True,4,False,,False,HALOGAS_FEW_RESOLUTION_ELEMENTS_BEAM_SMEARING_LIMITED,True,False,,SOURCE_DEMOTED_FROM_CLEAN_CONFIRMATORY_LANE,False
