radius_arcsec,inclination_deg,beam_weighting,beam_major_arcsec,beam_minor_arcsec,full_projected_half_annulus_beam_areas,maximum_mask_loss_fraction_before_two_beam_failure
270.0,62.455480,uniform,22.2,12.6,53.464151,0.962592
270.0,62.455480,robust_0,25.3,13.9,42.525642,0.952970
270.0,62.455480,30_arcsec_taper,37.9,33.2,11.885266,0.831724
297.0,61.474826,uniform,22.2,12.6,60.731818,0.967068
297.0,61.474826,robust_0,25.3,13.9,48.306379,0.958598
297.0,61.474826,30_arcsec_taper,37.9,33.2,13.500893,0.851862
324.0,61.013032,uniform,22.2,12.6,67.233182,0.970253
324.0,61.013032,robust_0,25.3,13.9,53.477595,0.962601
324.0,61.013032,30_arcsec_taper,37.9,33.2,14.946169,0.866186
351.0,57.749717,uniform,22.2,12.6,80.201747,0.975063
351.0,57.749717,robust_0,25.3,13.9,63.792854,0.968649
351.0,57.749717,30_arcsec_taper,37.9,33.2,17.829126,0.887824
378.0,54.541849,uniform,22.2,12.6,93.895864,0.978700
378.0,54.541849,robust_0,25.3,13.9,74.685219,0.973221
378.0,54.541849,30_arcsec_taper,37.9,33.2,20.873376,0.904184
405.0,50.109276,uniform,22.2,12.6,111.219044,0.982017
405.0,50.109276,robust_0,25.3,13.9,88.464160,0.977392
405.0,50.109276,30_arcsec_taper,37.9,33.2,24.724379,0.919108
