centre_case,iterations,footprint,n_common_eligible_rings,fixed_mean_absolute_side_difference_kms,variable_mean_absolute_side_difference_kms,delta_mean_variable_minus_fixed_kms,fraction_common_rings_improved,median_next_step_arcsec,p95_next_step_arcsec,maximum_next_step_arcsec
NED,4,COMMON_SKY_PIXEL_INTERSECTION,21,11.7693448436,11.500848468,-0.268496375623,0.571428571429,0.265589552696,35.3611373825,94.2219151366
NED,20,COMMON_SKY_PIXEL_INTERSECTION,21,11.7566610269,11.5371465953,-0.219514431518,0.619047619048,1.4653380731e-09,29.6710050529,72.9114814525
JOZSA_FITTED,4,COMMON_SKY_PIXEL_INTERSECTION,21,5.61638339683,5.94932001217,0.332936615341,0.285714285714,0.265222155658,36.2533741305,100.925644766
JOZSA_FITTED,20,COMMON_SKY_PIXEL_INTERSECTION,21,5.59566238157,5.97555462713,0.379892245561,0.285714285714,1.06496145236e-09,27.5938080077,72.8688809821
NED_E_PLUS_4_ARCSEC,4,COMMON_SKY_PIXEL_INTERSECTION,21,10.0286547307,10.1000382731,0.0713835423771,0.380952380952,0.269561648767,35.5065548291,94.1988462435
NED_E_PLUS_4_ARCSEC,20,COMMON_SKY_PIXEL_INTERSECTION,21,10.0161342565,10.1049727928,0.0888385363224,0.333333333333,1.43319311974e-09,28.5793205012,72.9119958367
NED_E_MINUS_4_ARCSEC,4,COMMON_SKY_PIXEL_INTERSECTION,21,13.0278801321,12.731895889,-0.295984243123,0.52380952381,0.263590079735,35.193039162,94.2447252645
NED_E_MINUS_4_ARCSEC,20,COMMON_SKY_PIXEL_INTERSECTION,21,13.0417798367,12.8159783414,-0.225801495261,0.47619047619,1.58249235938e-09,29.666487571,72.9109516513
NED_N_PLUS_4_ARCSEC,4,COMMON_SKY_PIXEL_INTERSECTION,21,13.1924527532,13.2038615883,0.0114088350113,0.428571428571,0.265995049523,35.3658295349,94.2068788486
NED_N_PLUS_4_ARCSEC,20,COMMON_SKY_PIXEL_INTERSECTION,21,13.2309419662,13.2171430387,-0.0137989274207,0.428571428571,1.58485136126e-09,29.6731442401,72.9109440499
NED_N_MINUS_4_ARCSEC,4,COMMON_SKY_PIXEL_INTERSECTION,21,10.0741528545,10.0040006269,-0.0701522276249,0.47619047619,0.263162302832,35.3079609233,94.2366954713
NED_N_MINUS_4_ARCSEC,20,COMMON_SKY_PIXEL_INTERSECTION,21,10.0983836174,10.0350371792,-0.0633464382343,0.47619047619,1.35977984428e-09,28.6988611864,72.9120036288
