galaxy,split,r,x_R_over_RHI,vobs,vn,v_v6,v_mond,r_kpc,x_w_formula_freeze,kernel_warp_history,lambda_w_km2_s2,delta_v2_warp_history_km2_s2,v_warp_history_formula_freeze_km_s,v_K_compact_finite,v_K_scale_tail_spiral,v_K_exponential_disk,v_K_thick_flared,residual_vn,residual_v_v6,residual_v_mond,residual_v_K_compact_finite,residual_v_K_scale_tail_spiral,residual_v_K_exponential_disk,residual_v_K_thick_flared,residual_v_warp_history_formula_freeze_km_s,construction_used_vobs,scoring_used_vobs,endpoint_scores_allowed,claim_boundary
NGC4088,holdout,1.74,0.0781918474999724,84.9,96.9584818362994,115.17799165769352,117.44130195086554,1.74,0.2983326403051493,0.0,8795.111752245672,0.0,96.9584818362994,116.15699874846632,115.36700865072413,114.12286545497965,114.77414623616257,12.058481836299393,30.27799165769352,32.54130195086553,31.256998748466316,30.467008650724125,29.22286545497964,29.87414623616256,12.058481836299393,False,True,True,ngc4088_warp_history_accepted_endpoint_preliminary_control
NGC4088,holdout,3.5,0.1572824518677605,136.0,127.47013944449893,154.38204559171825,157.33782165524056,3.5,0.2983326403051493,0.0,8795.111752245672,0.0,127.47013944449893,157.32187742257452,154.8191597352526,152.81890104710348,153.71711894249052,-8.529860555501074,18.382045591718253,21.33782165524056,21.321877422574516,18.81915973525261,16.81890104710348,17.717118942490515,-8.529860555501074,False,True,True,ngc4088_warp_history_accepted_endpoint_preliminary_control
NGC4088,holdout,5.24,0.235474299367733,162.0,171.20843495575795,202.51799266900144,206.5140908238078,5.24,0.2983326403051493,0.0,8795.111752245672,0.0,171.20843495575795,207.5270918545913,203.0657880934521,201.0300479888688,201.85003223909544,9.208434955757951,40.517992669001444,44.514090823807805,45.527091854591305,41.06578809345211,39.0300479888688,39.85003223909544,9.208434955757951,False,True,True,ngc4088_warp_history_accepted_endpoint_preliminary_control
NGC4088,holdout,6.98,0.3136661468677054,179.0,189.42448284210784,226.41930653075633,230.83703463110368,6.98,0.2983326403051493,0.0218529568900347,8795.111752245672,192.19919796486303,189.93112935473445,234.3292884915923,227.0588600614378,225.0181481519837,225.76795310798053,10.424482842107835,47.41930653075633,51.83703463110368,55.32928849159231,48.0588600614378,46.018148151983695,46.76795310798053,10.931129354734452,False,True,True,ngc4088_warp_history_accepted_endpoint_preliminary_control
NGC4088,holdout,8.72,0.3918579943676778,182.0,177.32038475595525,222.42097515571095,226.38794443510452,8.72,0.2983326403051493,0.1332901591762825,8795.111752245672,1172.3018454300188,180.5957383091584,234.85978164086055,223.18234397424925,221.04002043480384,221.76265724004472,-4.679615244044754,40.42097515571095,44.387944435104515,52.85978164086055,41.18234397424925,39.040020434803836,39.76265724004472,-1.4042616908415937,False,True,True,ngc4088_warp_history_accepted_endpoint_preliminary_control
NGC4088,holdout,10.47,0.4704992203015581,179.0,169.962064296713,222.03399227198597,225.59386786491223,10.47,0.2983326403051493,0.2453678051538305,8795.111752245672,2158.037266731181,176.19631257983576,239.7900084307679,222.87446852773425,220.75480113613241,221.41215291017193,-9.03793570328699,43.033992271985966,46.59386786491223,60.7900084307679,43.87446852773425,41.754801136132414,42.412152910171926,-2.8036874201642377,False,True,True,ngc4088_warp_history_accepted_endpoint_preliminary_control
NGC4088,holdout,12.19,0.5477923109337147,174.0,163.9399321397932,222.10930118504243,225.32345364652272,12.19,0.2983326403051493,0.3555241200574776,8795.111752245672,3126.874366524323,173.21424801823989,241.36626642100475,223.0013336275078,220.952988630892,221.53858887413455,-10.0600678602068,48.109301185042426,51.32345364652272,67.36626642100475,49.00133362750779,46.95298863089201,47.53858887413455,-0.7857519817601144,False,True,True,ngc4088_warp_history_accepted_endpoint_preliminary_control
NGC4088,holdout,13.94,0.626433536867595,171.0,151.08550178624023,215.381726767486,218.14456220987327,13.94,0.2983326403051493,0.4676017660350255,8795.111752245672,4112.609787825484,164.13238144201003,232.79599997862002,216.33666293872764,214.31737160011497,214.84992846160065,-19.91449821375977,44.381726767485986,47.14456220987327,61.79599997862002,45.33666293872764,43.31737160011497,43.849928461600655,-6.867618557989971,False,True,True,ngc4088_warp_history_accepted_endpoint_preliminary_control
NGC4088,holdout,15.68,0.7046253843675674,168.0,141.2326654850074,210.570287905297,213.15657813085653,15.68,0.2983326403051493,0.5790389683212732,8795.111752245672,5092.712435290639,158.23835892504272,226.44746394478813,211.568035689689,209.60128109145532,210.08142052473036,-26.767334514992598,42.57028790529699,45.15657813085653,58.447463944788126,43.568035689689,41.60128109145532,42.08142052473036,-9.761641074957282,False,True,True,ngc4088_warp_history_accepted_endpoint_preliminary_control
NGC4088,holdout,17.42,0.7828172318675399,165.0,133.5799586390114,207.1220306994978,209.7649343684222,17.42,0.2983326403051493,0.6904761706075212,8795.111752245672,6072.815082755797,154.64934669359516,221.6868945770183,208.14666951284502,206.24380404380935,206.6755688695879,-31.42004136098859,42.1220306994978,44.76493436842219,56.68689457701831,43.14666951284502,41.24380404380935,41.67556886958789,-10.350653306404837,False,True,True,ngc4088_warp_history_accepted_endpoint_preliminary_control
NGC4088,holdout,19.28,0.866401620574407,171.0,126.40514981597862,203.71557098320503,206.6286972418807,19.28,0.2983326403051493,0.809598697189372,8795.111752245672,7120.511016253031,151.98280467294,217.12450570003196,204.75928411160552,202.92176776767894,203.3094831266013,-44.59485018402138,32.715570983205026,35.6286972418807,46.12450570003196,33.759284111605524,31.921767767678944,32.30948312660129,-19.017195327059994,False,True,True,ngc4088_warp_history_accepted_endpoint_preliminary_control
NGC4088,holdout,21.48,0.965264876034142,174.0,118.91604265194836,199.86006002694677,203.33421260713777,21.48,0.2983326403051493,0.9504963092754322,8795.111752245672,8359.72126017449,150.00248817994486,212.1534776092801,200.91719504693742,199.14939595419193,199.49452304034685,-55.08395734805164,25.86006002694677,29.334212607137772,38.15347760928009,26.917195046937422,25.14939595419193,25.49452304034685,-23.997511820055138,False,True,True,ngc4088_warp_history_accepted_endpoint_preliminary_control
