galaxy,split,r_kpc,x_R_over_RHI,carrier_velocity_km_s,x_w_formula_freeze,q_warp,sigma_warp,turn_on_power_frozen,kernel_warp_history,lambda_w_km2_s2,delta_v2_warp_history_km2_s2,v_warp_history_formula_freeze_km_s,uses_vobs_or_residual_in_construction,endpoint_scores_allowed,claim_boundary
NGC4088,holdout,1.74,0.0781918474999724,96.9584818362994,0.2983326403051493,1.0,1.0,1.0,0.0,8795.111752245672,0.0,96.9584818362994,False,False,ngc4088_warp_history_formula_freeze_protocol_not_score
NGC4088,holdout,3.5,0.1572824518677605,127.47013944449893,0.2983326403051493,1.0,1.0,1.0,0.0,8795.111752245672,0.0,127.47013944449893,False,False,ngc4088_warp_history_formula_freeze_protocol_not_score
NGC4088,holdout,5.24,0.235474299367733,171.20843495575795,0.2983326403051493,1.0,1.0,1.0,0.0,8795.111752245672,0.0,171.20843495575795,False,False,ngc4088_warp_history_formula_freeze_protocol_not_score
NGC4088,holdout,6.98,0.3136661468677054,189.42448284210784,0.2983326403051493,1.0,1.0,1.0,0.021852956890034792,8795.111752245672,192.19919796486303,189.93112935473445,False,False,ngc4088_warp_history_formula_freeze_protocol_not_score
NGC4088,holdout,8.72,0.3918579943676778,177.32038475595525,0.2983326403051493,1.0,1.0,1.0,0.13329015917628254,8795.111752245672,1172.3018454300188,180.5957383091584,False,False,ngc4088_warp_history_formula_freeze_protocol_not_score
NGC4088,holdout,10.47,0.4704992203015581,169.962064296713,0.2983326403051493,1.0,1.0,1.0,0.2453678051538305,8795.111752245672,2158.037266731181,176.19631257983576,False,False,ngc4088_warp_history_formula_freeze_protocol_not_score
NGC4088,holdout,12.19,0.5477923109337147,163.9399321397932,0.2983326403051493,1.0,1.0,1.0,0.35552412005747763,8795.111752245672,3126.874366524323,173.21424801823989,False,False,ngc4088_warp_history_formula_freeze_protocol_not_score
NGC4088,holdout,13.94,0.626433536867595,151.08550178624023,0.2983326403051493,1.0,1.0,1.0,0.4676017660350255,8795.111752245672,4112.609787825484,164.13238144201003,False,False,ngc4088_warp_history_formula_freeze_protocol_not_score
NGC4088,holdout,15.68,0.7046253843675674,141.2326654850074,0.2983326403051493,1.0,1.0,1.0,0.5790389683212732,8795.111752245672,5092.712435290639,158.23835892504272,False,False,ngc4088_warp_history_formula_freeze_protocol_not_score
NGC4088,holdout,17.42,0.7828172318675399,133.5799586390114,0.2983326403051493,1.0,1.0,1.0,0.6904761706075212,8795.111752245672,6072.815082755797,154.64934669359516,False,False,ngc4088_warp_history_formula_freeze_protocol_not_score
NGC4088,holdout,19.28,0.866401620574407,126.40514981597862,0.2983326403051493,1.0,1.0,1.0,0.809598697189372,8795.111752245672,7120.511016253031,151.98280467294,False,False,ngc4088_warp_history_formula_freeze_protocol_not_score
NGC4088,holdout,21.48,0.965264876034142,118.91604265194836,0.2983326403051493,1.0,1.0,1.0,0.9504963092754322,8795.111752245672,8359.72126017449,150.00248817994486,False,False,ngc4088_warp_history_formula_freeze_protocol_not_score
