galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_exponential_disk,x_R_over_RHI,v2_ratio_min,v2_ratio_max,v_null_control_interval_min_km_s,v_null_control_interval_max_km_s,v_null_control_interval_midpoint_km_s,null_control_formula_id,null_control_interval_distance_km_s,inside_null_control_interval,construction_used_vobs,scoring_used_vobs,endpoint_scores_allowed,point_selected_from_residual,claim_boundary
NGC4183,0.87,47.1,8.2,27.802927903370175,44.24164226592121,44.84621149985467,43.44625928236274,0.054477954291127464,0.997301628464004,1.0,43.38760261156421,43.44625928236274,43.416930946963475,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,3.6537407176372625,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,1.74,65.9,6.6,34.97359861381153,58.08188723654125,59.031180368736095,56.35502078228571,0.10895590858225493,0.997301628464004,1.0,56.27893602938703,56.35502078228571,56.31697840583637,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,9.544979217714292,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,2.61,76.1,5.6,41.836754773763225,70.07820722513291,71.27491299891336,67.58991402880652,0.1634338628733824,0.997301628464004,1.0,67.49866107856467,67.58991402880652,67.54428755368559,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,8.510085971193476,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,3.5,85.7,5.6,44.302822144870184,76.6560505679796,78.22704699338539,73.38571017208766,0.21916418392982315,0.997301628464004,1.0,73.28663233399568,73.38571017208766,73.33617125304167,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,12.314289827912347,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,4.37,96.6,5.2,49.59778523281055,85.75894892712192,87.50936093111638,82.02510543155684,0.2736421382209506,0.997301628464004,1.0,81.91436357055464,82.02510543155684,81.96973450105574,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,14.574894568443156,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,5.24,99.3,5.2,53.74949813719195,93.28716897533803,95.23430936602554,89.18293973895635,0.3281200925120781,0.997301628464004,1.0,89.06253410626161,89.18293973895635,89.12273692260898,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,10.117060261043648,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,6.11,103.0,5.2,57.127591407305104,99.71875572049385,101.87312285155043,95.33034399491291,0.3825980468032056,0.997301628464004,1.0,95.2016387692575,95.33034399491291,95.2659913820852,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,7.669656005087091,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,6.98,107.0,5.2,60.194885164771264,105.61397244102317,107.96829050341664,101.03068614902283,0.43707600109433303,0.997301628464004,1.0,100.89428490767595,101.03068614902283,100.96248552834939,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,5.969313850977173,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,7.85,111.0,5.2,63.66676801911653,111.81236359715469,114.31951113749952,107.14146654402143,0.4915539553854605,0.997301628464004,1.0,106.99681515548416,107.14146654402143,107.06914084975278,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,3.8585334559785736,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,8.72,114.0,6.1,66.98037735038524,117.70863731001626,120.35860579729528,113.01195514447211,0.546031909676588,0.997301628464004,1.0,112.85937802601124,113.01195514447211,112.93566658524168,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,0.9880448555278889,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,9.6,115.0,6.1,66.52535494080433,119.23236472406737,122.2668768554801,114.38916533883646,0.6011360473503721,0.997301628464004,1.0,114.23472885281839,114.38916533883646,114.31194709582743,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,0.6108346611635369,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,10.47,111.0,5.6,64.98758496820759,119.27409788310212,122.80341482361852,114.27951241153866,0.6556140016414995,0.997301628464004,1.0,114.12522396762513,114.27951241153866,114.2023681895819,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,3.125223967625132,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,11.35,110.0,5.6,65.26373073920921,121.3164298132474,125.20995875642042,116.3047035120952,0.7107181393152836,0.997301628464004,1.0,116.14768086345032,116.3047035120952,116.22619218777277,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,6.147680863450319,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
NGC4183,12.31,111.0,5.2,62.214156347249464,119.27308849463624,123.92831830572958,114.10359438943061,0.7708317440503208,0.997301628464004,1.0,113.94954345193722,114.10359438943061,114.02656892068391,N4183_WEAK_PROJECTION_NULL_CONTROL_BOUND,2.949543451937217,False,False,True,True,False,ngc4183_weak_projection_null_control_accepted_endpoint_preliminary_control
