variant,variant_class,position_angle_deg_east_of_north,inclination_deg,radial_index,radius_lo_arcsec,radius_hi_arcsec,delta_uv,q_shape_proxy,determinant_norm,n_pixels_total
s4g_global_thin_primary,photometric_primary,76.6,37.1554291034,0,5,15,0.908998012564,0.35848583881,0.18194901977,17
s4g_global_thin_primary,photometric_primary,76.6,37.1554291034,1,15,25,0.696761294981,-0.149543326291,0.0768448270784,43
s4g_global_thin_primary,photometric_primary,76.6,37.1554291034,2,25,35,0.990283675877,0.335163541808,0.142863989314,60
s4g_global_thin_primary,photometric_primary,76.6,37.1554291034,3,35,45,0.959627410583,0.659140847972,0.18513955123,79
s4g_global_thin_primary,photometric_primary,76.6,37.1554291034,4,45,55,0.998400282471,-0.421177411031,0.19776582132,103
s4g_global_thin_primary,photometric_primary,76.6,37.1554291034,5,55,65,0.99999849831,-0.256362741355,0.195991907459,116
s4g_global_pa_minus_1sigma,photometric_control,70.7,37.1554291034,0,5,15,0.937038736976,0.376035544535,0.20302511258,17
s4g_global_pa_minus_1sigma,photometric_control,70.7,37.1554291034,1,15,25,0.771857424889,-0.393312619142,0.0592804214758,43
s4g_global_pa_minus_1sigma,photometric_control,70.7,37.1554291034,2,25,35,0.940366115755,0.339026202527,0.198238594722,60
s4g_global_pa_minus_1sigma,photometric_control,70.7,37.1554291034,3,35,45,0.994048469619,0.403523565463,0.202440954003,76
s4g_global_pa_minus_1sigma,photometric_control,70.7,37.1554291034,4,45,55,0.995562003215,-0.339549499123,0.190523250718,105
s4g_global_pa_minus_1sigma,photometric_control,70.7,37.1554291034,5,55,65,0.940976341007,-0.532925911325,0.133816356013,121
s4g_global_pa_plus_1sigma,photometric_control,82.5,37.1554291034,0,5,15,0.857268890354,0.560962285371,0.180410244827,20
s4g_global_pa_plus_1sigma,photometric_control,82.5,37.1554291034,1,15,25,0.552279339261,-0.434389200919,0.0455024386188,41
s4g_global_pa_plus_1sigma,photometric_control,82.5,37.1554291034,2,25,35,0.345392656142,0.147566872145,0.0363480837646,59
s4g_global_pa_plus_1sigma,photometric_control,82.5,37.1554291034,3,35,45,0.998705734262,0.722413043772,0.204939708577,82
s4g_global_pa_plus_1sigma,photometric_control,82.5,37.1554291034,4,45,55,0.997309169412,-0.288310440186,0.166880787405,103
s4g_global_pa_plus_1sigma,photometric_control,82.5,37.1554291034,5,55,65,0.994175239997,-0.0665779221936,0.178638650655,112
s4g_global_ellipticity_minus_1sigma,photometric_control,76.6,35.7082003837,0,5,15,0.886285820968,0.356094996096,0.188550515963,18
s4g_global_ellipticity_minus_1sigma,photometric_control,76.6,35.7082003837,1,15,25,0.654564109981,-0.157459020082,0.0686142859869,43
s4g_global_ellipticity_minus_1sigma,photometric_control,76.6,35.7082003837,2,25,35,0.995258986762,0.343420163592,0.156036037639,60
s4g_global_ellipticity_minus_1sigma,photometric_control,76.6,35.7082003837,3,35,45,0.968409008747,0.67394428003,0.184511425927,80
s4g_global_ellipticity_minus_1sigma,photometric_control,76.6,35.7082003837,4,45,55,0.995923327777,-0.408854151167,0.193004981713,105
s4g_global_ellipticity_minus_1sigma,photometric_control,76.6,35.7082003837,5,55,65,0.999537500804,-0.302731216424,0.169955376656,122
s4g_global_ellipticity_plus_1sigma,photometric_control,76.6,38.5559399777,0,5,15,0.908629450224,0.358208846742,0.189505308875,17
s4g_global_ellipticity_plus_1sigma,photometric_control,76.6,38.5559399777,1,15,25,0.623814606687,0.00800135660493,0.0521689285915,41
s4g_global_ellipticity_plus_1sigma,photometric_control,76.6,38.5559399777,2,25,35,0.993002578186,0.373416412739,0.104915552818,59
s4g_global_ellipticity_plus_1sigma,photometric_control,76.6,38.5559399777,3,35,45,0.97020699859,0.620507184557,0.209074961916,80
s4g_global_ellipticity_plus_1sigma,photometric_control,76.6,38.5559399777,4,45,55,0.987733896219,-0.404289710867,0.212815042713,99
s4g_global_ellipticity_plus_1sigma,photometric_control,76.6,38.5559399777,5,55,65,0.997772116858,-0.186959698181,0.255433896798,112
s4g_global_finite_thickness_q0_0p2,photometric_control,76.6,38.0561764975,0,5,15,0.908762944472,0.358309625244,0.186800683831,17
s4g_global_finite_thickness_q0_0p2,photometric_control,76.6,38.0561764975,1,15,25,0.696840908091,-0.149533582912,0.0788834757741,43
