geometry_variant,stellar_psf_scenario,h2_conversion_factor,harmonic,beam_mode,q_shape_proxy,delta_uv,determinant_norm,minimum_role_pixels,phase_anchor_rad,phase_anchor_deg,phase_amplitude,flux_phase_anchor_deg,phase_estimator_difference_deg
s4g_global_thin_primary,psf_0arcsec_primary,0.7,1,0,0.001395448644,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871
s4g_global_thin_primary,psf_0arcsec_primary,0.7,1,1,-0.0580946076,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871
s4g_global_thin_primary,psf_0arcsec_primary,0.7,2,0,0.09011561538,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809
s4g_global_thin_primary,psf_0arcsec_primary,0.7,2,1,0.1297136337,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809
s4g_global_thin_primary,psf_0arcsec_primary,1,1,0,-0.005312701457,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871
s4g_global_thin_primary,psf_0arcsec_primary,1,1,1,-0.06754237606,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871
s4g_global_thin_primary,psf_0arcsec_primary,1,2,0,0.1020894902,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809
s4g_global_thin_primary,psf_0arcsec_primary,1,2,1,0.1391221154,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809
s4g_global_thin_primary,psf_0arcsec_primary,1.3,1,0,-0.01015886272,0.9994083952,0.2668767912,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871
s4g_global_thin_primary,psf_0arcsec_primary,1.3,1,1,-0.07424155927,0.9825181207,0.01093197731,3,0.05801939305,3.324266351,0.3059391657,24.25103506,20.92676871
s4g_global_thin_primary,psf_0arcsec_primary,1.3,2,0,0.1086985891,0.9790048247,0.2436816581,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809
s4g_global_thin_primary,psf_0arcsec_primary,1.3,2,1,0.1451068888,0.9783568095,0.0150861345,3,1.478246622,84.69729254,0.5406907208,84.33190025,0.3653922809
s4g_global_thin_primary,psf_2arcsec_control,0.7,1,0,0.001452139837,0.9993995116,0.2669357893,3,0.0579398564,3.319709237,0.3060584896,24.27795771,20.95824847
s4g_global_thin_primary,psf_2arcsec_control,0.7,1,1,-0.0584808136,0.9821594926,0.01093552419,3,0.0579398564,3.319709237,0.3060584896,24.27795771,20.95824847
s4g_global_thin_primary,psf_2arcsec_control,0.7,2,0,0.09012730533,0.9788090578,0.2438453597,3,1.478288957,84.69971814,0.5404512801,84.32992347,0.3697946705
s4g_global_thin_primary,psf_2arcsec_control,0.7,2,1,0.1301646191,0.9780771243,0.01510685286,3,1.478288957,84.69971814,0.5404512801,84.32992347,0.3697946705
s4g_global_thin_primary,psf_2arcsec_control,1,1,0,-0.00525349811,0.9993995116,0.2669357893,3,0.0579398564,3.319709237,0.3060584896,24.27795771,20.95824847
s4g_global_thin_primary,psf_2arcsec_control,1,1,1,-0.06793379488,0.9821594926,0.01093552419,3,0.0579398564,3.319709237,0.3060584896,24.27795771,20.95824847
s4g_global_thin_primary,psf_2arcsec_control,1,2,0,0.1021016078,0.9788090578,0.2438453597,3,1.478288957,84.69971814,0.5404512801,84.32992347,0.3697946705
s4g_global_thin_primary,psf_2arcsec_control,1,2,1,0.1395780435,0.9780771243,0.01510685286,3,1.478288957,84.69971814,0.5404512801,84.32992347,0.3697946705
s4g_global_thin_primary,psf_2arcsec_control,1.3,1,0,-0.01009839011,0.9993995116,0.2669357893,3,0.0579398564,3.319709237,0.3060584896,24.27795771,20.95824847
s4g_global_thin_primary,psf_2arcsec_control,1.3,1,1,-0.07463433258,0.9821594926,0.01093552419,3,0.0579398564,3.319709237,0.3060584896,24.27795771,20.95824847
s4g_global_thin_primary,psf_2arcsec_control,1.3,2,0,0.1087109113,0.9788090578,0.2438453597,3,1.478288957,84.69971814,0.5404512801,84.32992347,0.3697946705
s4g_global_thin_primary,psf_2arcsec_control,1.3,2,1,0.1455658929,0.9780771243,0.01510685286,3,1.478288957,84.69971814,0.5404512801,84.32992347,0.3697946705
s4g_global_thin_primary,psf_4arcsec_control,0.7,1,0,0.001670544629,0.9993802452,0.2671083805,3,0.05770319732,3.306149671,0.3064184659,24.35940829,21.05325862
s4g_global_thin_primary,psf_4arcsec_control,0.7,1,1,-0.05950783424,0.9810372746,0.01094535604,3,0.05770319732,3.306149671,0.3064184659,24.35940829,21.05325862
s4g_global_thin_primary,psf_4arcsec_control,0.7,2,0,0.09019639953,0.9781753707,0.2444065859,3,1.478418172,84.70712162,0.5397285161,84.32378724,0.3833343807
s4g_global_thin_primary,psf_4arcsec_control,0.7,2,1,0.1316364268,0.9772647367,0.01517314765,3,1.478418172,84.70712162,0.5397285161,84.32378724,0.3833343807
s4g_global_thin_primary,psf_4arcsec_control,1,1,0,-0.005025405824,0.9993802452,0.2671083805,3,0.05770319732,3.306149671,0.3064184659,24.35940829,21.05325862
s4g_global_thin_primary,psf_4arcsec_control,1,1,1,-0.06897462135,0.9810372746,0.01094535604,3,0.05770319732,3.306149671,0.3064184659,24.35940829,21.05325862
s4g_global_thin_primary,psf_4arcsec_control,1,2,0,0.1021732282,0.9781753707,0.2444065859,3,1.478418172,84.70712162,0.5397285161,84.32378724,0.3833343807
s4g_global_thin_primary,psf_4arcsec_control,1,2,1,0.1410658327,0.9772647367,0.01517314765,3,1.478418172,84.70712162,0.5397285161,84.32378724,0.3833343807
s4g_global_thin_primary,psf_4arcsec_control,1.3,1,0,-0.009865401235,0.9993802452,0.2671083805,3,0.05770319732,3.306149671,0.3064184659,24.35940829,21.05325862
s4g_global_thin_primary,psf_4arcsec_control,1.3,1,1,-0.0756787187,0.9810372746,0.01094535604,3,0.05770319732,3.306149671,0.3064184659,24.35940829,21.05325862
s4g_global_thin_primary,psf_4arcsec_control,1.3,2,0,0.1087837407,0.9781753707,0.2444065859,3,1.478418172,84.70712162,0.5397285161,84.32378724,0.3833343807
s4g_global_thin_primary,psf_4arcsec_control,1.3,2,1,0.1470636258,0.9772647367,0.01517314765,3,1.478418172,84.70712162,0.5397285161,84.32378724,0.3833343807
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,0.7,1,0,0.03817767091,0.9713314804,0.2943301555,3,0.1299458407,7.445348239,0.2617498952,27.26467165,19.81932341
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,0.7,1,1,-0.06214542392,0.9988728369,0.0137188634,3,0.1299458407,7.445348239,0.2617498952,27.26467165,19.81932341
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,0.7,2,0,0.05597186474,0.9545112279,0.1919314758,3,1.500694324,85.98345109,0.5298734478,88.90170475,2.91825366
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,0.7,2,1,0.2034184802,0.7987020844,0.006158353754,3,1.500694324,85.98345109,0.5298734478,88.90170475,2.91825366
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,1,1,0,0.03140911073,0.9713314804,0.2943301555,3,0.1299458407,7.445348239,0.2617498952,27.26467165,19.81932341
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,1,1,1,-0.07280687083,0.9988728369,0.0137188634,3,0.1299458407,7.445348239,0.2617498952,27.26467165,19.81932341
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,1,2,0,0.06201589127,0.9545112279,0.1919314758,3,1.500694324,85.98345109,0.5298734478,88.90170475,2.91825366
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,1,2,1,0.2108543686,0.7987020844,0.006158353754,3,1.500694324,85.98345109,0.5298734478,88.90170475,2.91825366
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,1.3,1,0,0.02850337206,0.9713314804,0.2943301555,3,0.1299458407,7.445348239,0.2617498952,27.26467165,19.81932341
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,1.3,1,1,-0.07815067194,0.9988728369,0.0137188634,3,0.1299458407,7.445348239,0.2617498952,27.26467165,19.81932341
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,1.3,2,0,0.06549849277,0.9545112279,0.1919314758,3,1.500694324,85.98345109,0.5298734478,88.90170475,2.91825366
s4g_global_pa_minus_1sigma,psf_0arcsec_primary,1.3,2,1,0.2161726534,0.7987020844,0.006158353754,3,1.500694324,85.98345109,0.5298734478,88.90170475,2.91825366
s4g_global_pa_minus_1sigma,psf_2arcsec_control,0.7,1,0,0.03824822795,0.9714508837,0.2944415204,3,0.1296361697,7.427605399,0.2618788362,27.29028637,19.86268098
s4g_global_pa_minus_1sigma,psf_2arcsec_control,0.7,1,1,-0.06257861471,0.9989805588,0.01372859798,3,0.1296361697,7.427605399,0.2618788362,27.29028637,19.86268098
s4g_global_pa_minus_1sigma,psf_2arcsec_control,0.7,2,0,0.05592373144,0.9543311317,0.1921353897,3,1.500725518,85.98523841,0.5296450537,88.90377312,2.918534705
s4g_global_pa_minus_1sigma,psf_2arcsec_control,0.7,2,1,0.2036445233,0.7977968694,0.006169585405,3,1.500725518,85.98523841,0.5296450537,88.90377312,2.918534705
s4g_global_pa_minus_1sigma,psf_2arcsec_control,1,1,0,0.03148614546,0.9714508837,0.2944415204,3,0.1296361697,7.427605399,0.2618788362,27.29028637,19.86268098
s4g_global_pa_minus_1sigma,psf_2arcsec_control,1,1,1,-0.07325129163,0.9989805588,0.01372859798,3,0.1296361697,7.427605399,0.2618788362,27.29028637,19.86268098
s4g_global_pa_minus_1sigma,psf_2arcsec_control,1,2,0,0.06197027192,0.9543311317,0.1921353897,3,1.500725518,85.98523841,0.5296450537,88.90377312,2.918534705
s4g_global_pa_minus_1sigma,psf_2arcsec_control,1,2,1,0.2110740196,0.7977968694,0.006169585405,3,1.500725518,85.98523841,0.5296450537,88.90377312,2.918534705
s4g_global_pa_minus_1sigma,psf_2arcsec_control,1.3,1,0,0.02858468515,0.9714508837,0.2944415204,3,0.1296361697,7.427605399,0.2618788362,27.29028637,19.86268098
s4g_global_pa_minus_1sigma,psf_2arcsec_control,1.3,1,1,-0.07860479622,0.9989805588,0.01372859798,3,0.1296361697,7.427605399,0.2618788362,27.29028637,19.86268098
s4g_global_pa_minus_1sigma,psf_2arcsec_control,1.3,2,0,0.06545422387,0.9543311317,0.1921353897,3,1.500725518,85.98523841,0.5296450537,88.90377312,2.918534705
s4g_global_pa_minus_1sigma,psf_2arcsec_control,1.3,2,1,0.2163874322,0.7977968694,0.006169585405,3,1.500725518,85.98523841,0.5296450537,88.90377312,2.918534705
s4g_global_pa_minus_1sigma,psf_4arcsec_control,0.7,1,0,0.03846140127,0.9718111138,0.2947809604,3,0.1287059019,7.374304978,0.2622680853,27.3678053,19.99350032
s4g_global_pa_minus_1sigma,psf_4arcsec_control,0.7,1,1,-0.06389413738,0.9992729205,0.01375772945,3,0.1287059019,7.374304978,0.2622680853,27.3678053,19.99350032
s4g_global_pa_minus_1sigma,psf_4arcsec_control,0.7,2,0,0.05579570437,0.9537322409,0.192828953,3,1.500820303,85.99066914,0.528956165,88.90987652,2.919207375
s4g_global_pa_minus_1sigma,psf_4arcsec_control,0.7,2,1,0.2044379526,0.7954318968,0.006207771737,3,1.500820303,85.99066914,0.528956165,88.90987652,2.919207375
s4g_global_pa_minus_1sigma,psf_4arcsec_control,1,1,0,0.03171895264,0.9718111138,0.2947809604,3,0.1287059019,7.374304978,0.2622680853,27.3678053,19.99350032
s4g_global_pa_minus_1sigma,psf_4arcsec_control,1,1,1,-0.0746007984,0.9992729205,0.01375772945,3,0.1287059019,7.374304978,0.2622680853,27.3678053,19.99350032
s4g_global_pa_minus_1sigma,psf_4arcsec_control,1,2,0,0.06184891154,0.9537322409,0.192828953,3,1.500820303,85.99066914,0.528956165,88.90987652,2.919207375
s4g_global_pa_minus_1sigma,psf_4arcsec_control,1,2,1,0.2118448787,0.7954318968,0.006207771737,3,1.500820303,85.99066914,0.528956165,88.90987652,2.919207375
s4g_global_pa_minus_1sigma,psf_4arcsec_control,1.3,1,0,0.02883045046,0.9718111138,0.2947809604,3,0.1287059019,7.374304978,0.2622680853,27.3678053,19.99350032
s4g_global_pa_minus_1sigma,psf_4arcsec_control,1.3,1,1,-0.07998371856,0.9992729205,0.01375772945,3,0.1287059019,7.374304978,0.2622680853,27.3678053,19.99350032
s4g_global_pa_minus_1sigma,psf_4arcsec_control,1.3,2,0,0.06533644414,0.9537322409,0.192828953,3,1.500820303,85.99066914,0.528956165,88.90987652,2.919207375
s4g_global_pa_minus_1sigma,psf_4arcsec_control,1.3,2,1,0.2171410908,0.7954318968,0.006207771737,3,1.500820303,85.99066914,0.528956165,88.90987652,2.919207375
s4g_global_pa_plus_1sigma,psf_0arcsec_primary,0.7,1,0,0.07092193929,0.9992254634,0.4992106269,4,0.1998286103,11.449336,0.3144374834,34.0962116,22.6468756
s4g_global_pa_plus_1sigma,psf_0arcsec_primary,0.7,1,1,0.02202689478,0.9841833012,0.01745329915,4,0.1998286103,11.449336,0.3144374834,34.0962116,22.6468756
s4g_global_pa_plus_1sigma,psf_0arcsec_primary,0.7,2,0,0.1471655411,0.8305042951,0.255183632,5,1.435356496,82.23986933,0.5582076264,82.39452193,0.154652596
s4g_global_pa_plus_1sigma,psf_0arcsec_primary,0.7,2,1,0.1184634118,0.9616043647,0.01172468936,5,1.435356496,82.23986933,0.5582076264,82.39452193,0.154652596
s4g_global_pa_plus_1sigma,psf_0arcsec_primary,1,1,0,0.06414603913,0.9992254634,0.4992106269,4,0.1998286103,11.449336,0.3144374834,34.0962116,22.6468756
s4g_global_pa_plus_1sigma,psf_0arcsec_primary,1,1,1,0.01078423495,0.9841833012,0.01745329915,4,0.1998286103,11.449336,0.3144374834,34.0962116,22.6468756
s4g_global_pa_plus_1sigma,psf_0arcsec_primary,1,2,0,0.1594424588,0.8305042951,0.255183632,5,1.435356496,82.23986933,0.5582076264,82.39452193,0.154652596
s4g_global_pa_plus_1sigma,psf_0arcsec_primary,1,2,1,0.1246282742,0.9616043647,0.01172468936,5,1.435356496,82.23986933,0.5582076264,82.39452193,0.154652596
s4g_global_pa_plus_1sigma,psf_0arcsec_primary,1.3,1,0,0.06178034906,0.9992254634,0.4992106269,4,0.1998286103,11.449336,0.3144374834,34.0962116,22.6468756
s4g_global_pa_plus_1sigma,psf_0arcsec_primary,1.3,1,1,0.005253302848,0.9841833012,0.01745329915,4,0.1998286103,11.449336,0.3144374834,34.0962116,22.6468756
s4g_global_pa_plus_1sigma,psf_0arcsec_primary,1.3,2,0,0.1663383766,0.8305042951,0.255183632,5,1.435356496,82.23986933,0.5582076264,82.39452193,0.154652596
s4g_global_pa_plus_1sigma,psf_0arcsec_primary,1.3,2,1,0.1278428298,0.9616043647,0.01172468936,5,1.435356496,82.23986933,0.5582076264,82.39452193,0.154652596
s4g_global_pa_plus_1sigma,psf_2arcsec_control,0.7,1,0,0.07096166196,0.9992302109,0.4995521474,4,0.1998056382,11.44801979,0.3145619399,34.13081738,22.68279759
s4g_global_pa_plus_1sigma,psf_2arcsec_control,0.7,1,1,0.02137489742,0.9839573799,0.01746435325,4,0.1998056382,11.44801979,0.3145619399,34.13081738,22.68279759
s4g_global_pa_plus_1sigma,psf_2arcsec_control,0.7,2,0,0.1470531543,0.8302455783,0.2553651607,5,1.435342239,82.23905242,0.5580092837,82.38675319,0.1477007636
s4g_global_pa_plus_1sigma,psf_2arcsec_control,0.7,2,1,0.1186872058,0.96153269,0.0117388801,5,1.435342239,82.23905242,0.5580092837,82.38675319,0.1477007636
s4g_global_pa_plus_1sigma,psf_2arcsec_control,1,1,0,0.06418919287,0.9992302109,0.4995521474,4,0.1998056382,11.44801979,0.3145619399,34.13081738,22.68279759
s4g_global_pa_plus_1sigma,psf_2arcsec_control,1,1,1,0.01011378484,0.9839573799,0.01746435325,4,0.1998056382,11.44801979,0.3145619399,34.13081738,22.68279759
s4g_global_pa_plus_1sigma,psf_2arcsec_control,1,2,0,0.159327054,0.8302455783,0.2553651607,5,1.435342239,82.23905242,0.5580092837,82.38675319,0.1477007636
s4g_global_pa_plus_1sigma,psf_2arcsec_control,1,2,1,0.1248537369,0.96153269,0.0117388801,5,1.435342239,82.23905242,0.5580092837,82.38675319,0.1477007636
s4g_global_pa_plus_1sigma,psf_2arcsec_control,1.3,1,0,0.06182546047,0.9992302109,0.4995521474,4,0.1998056382,11.44801979,0.3145619399,34.13081738,22.68279759
