family,role,filename,url,local_path,bytes,sha256,action,tls_compatibility_mode
PHANGS_ALMA_CO21,pixelwise_broad_moment0_uncertainty,group.uid___A001_X2fb_X29a.lp_schinner.ngc4254_12m7mtp_co21_broad_emom0.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X2fb_X29a.lp_schinner/group.uid___A001_X2fb_X29a.lp_schinner.ngc4254_12m7mtp_co21_broad_emom0.fits,data/external/literature/ngc4254_ffl_uncertainty_v04/group.uid___A001_X2fb_X29a.lp_schinner.ngc4254_12m7mtp_co21_broad_emom0.fits,754560,aa9153f2a1077421dd25daccb2e8b93979a5e4145127931148131fdea6ca2175,reused_verified_size,False
PHANGS_ALMA_CO21,delivery_readme,group.uid___A001_X2fb_X29a.lp_schinner.README.txt,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X2fb_X29a.lp_schinner/group.uid___A001_X2fb_X29a.lp_schinner.README.txt,data/external/literature/ngc4254_ffl_uncertainty_v04/group.uid___A001_X2fb_X29a.lp_schinner.README.txt,3432,f996fb6ff5f459533aa98f32515175efee4c6371579cc8d520328c54a5801976,reused_verified_size,False
VIVA_HI,spectral_cube_for_empirical_noise_and_moment_support,ngc4254.cube.fits.gz,https://www.astro.yale.edu/viva/cubes/ngc4254.cube.fits.gz,data/external/literature/ngc4254_ffl_uncertainty_v04/ngc4254.cube.fits.gz,63413775,3a17dd14baff93a065f32c435cb917d229fa5836a778f7e2b3f2335cb5adcbe8,reused_verified_size,True
VIVA_HI,survey_atlas_and_published_noise_constraint,viva_atlas.pdf,https://www.astro.yale.edu/viva/papers/viva_atlas.pdf,data/external/literature/ngc4254_ffl_uncertainty_v04/viva_atlas.pdf,41779767,6be37d654d153602f99c406ce1315b6adb8e6c3e390f4b133b29685caac2ea1d,reused_verified_size,True
S4G_IRAC,channel1_science_mosaic_before_ica,NGC4254.phot.1.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4254/P1/NGC4254.phot.1.fits,data/external/literature/ngc4254_ffl_uncertainty_v04/NGC4254.phot.1.fits,9682560,a9812f1bd3e91225d37bed5c075a5c41d8e3c79864605487f1a73eec2d575127,reused_verified_size,False
S4G_IRAC,channel2_science_mosaic_before_ica,NGC4254.phot.2.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4254/P1/NGC4254.phot.2.fits,data/external/literature/ngc4254_ffl_uncertainty_v04/NGC4254.phot.2.fits,9535680,c02f14a90141bc36860cece54030378fc7baf90045f5044323e3ce8ff19f5554,reused_verified_size,False
S4G_IRAC,channel1_coverage_weight_map,NGC4254.phot.1_wt.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4254/P1/NGC4254.phot.1_wt.fits,data/external/literature/ngc4254_ffl_uncertainty_v04/NGC4254.phot.1_wt.fits,9682560,8bbb68d1ce025c00353dda2d8124d2a5c9d8f55940541deaafdfb13063b3ba40,reused_verified_size,False
S4G_IRAC,channel2_coverage_weight_map,NGC4254.phot.2_wt.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4254/P1/NGC4254.phot.2_wt.fits,data/external/literature/ngc4254_ffl_uncertainty_v04/NGC4254.phot.2_wt.fits,9535680,0b30dea39acd2cf7cadf89c8928677db21fd265c58b32378d598578d10451191,reused_verified_size,False
S4G_IRAC,channel1_foreground_background_mask,NGC4254.1.final_mask.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4254/P2/NGC4254.1.final_mask.fits,data/external/literature/ngc4254_ffl_uncertainty_v04/NGC4254.1.final_mask.fits,4893120,8002d10fcfa6ed788e8f486a313da1372b79ae969b8690da76af813225d0d2cb,reused_verified_size,False
S4G_IRAC,channel2_foreground_background_mask,NGC4254.2.final_mask.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC4254/P2/NGC4254.2.final_mask.fits,data/external/literature/ngc4254_ffl_uncertainty_v04/NGC4254.2.final_mask.fits,9538560,5b6c656e38cd930567418b14fea5a5a052acfcefdfcf83aa8ed61517ce18c7c6,reused_verified_size,False
