zone,radius_min_arcsec,radius_max_arcsec,n_independent_pixels,mode,co_minus_halpha_km_s,sigma_km_s,z,sector_jackknife_sigma_km_s,sector_jackknife_z,occupied_jackknife_sectors
0,0.6413061371974271,49.201245001070475,915,m0,1.8225046362890946,0.021011855277337035,86.73696883181998,0.7944834708961381,2.293949091519046,12
0,0.6413061371974271,49.201245001070475,915,m1_cos,-0.7950941803099991,0.02755555817841316,-28.854221538973235,0.7807681869548275,-1.0183485874482747,12
0,0.6413061371974271,49.201245001070475,915,m1_sin,0.18917698712666617,0.03127964172716199,6.047926916067982,1.2920774098383558,0.14641304436266941,12
0,0.6413061371974271,49.201245001070475,915,m2_cos,-0.9282021530788623,0.02990842956395644,-31.034800777285444,1.13857036693157,-0.8152347716376573,12
0,0.6413061371974271,49.201245001070475,915,m2_sin,0.040532913848316546,0.02910554002373512,1.392618512326608,0.9997383631434471,0.04054352152784268,12
1,49.201245001070475,67.83965624428401,915,m0,-0.09268106881907728,0.01994986646829301,-4.645698705120579,0.5490321918498077,-0.16880807754972402,12
1,49.201245001070475,67.83965624428401,915,m1_cos,-1.2270889397427482,0.029993212604890303,-40.9122209050282,0.7575970435572827,-1.6197118906126866,12
1,49.201245001070475,67.83965624428401,915,m1_sin,-1.5740744214915756,0.024788727067378873,-63.49960678549744,0.8982148630086865,-1.752447533788308,12
1,49.201245001070475,67.83965624428401,915,m2_cos,-3.0222956433807426,0.03183170710377842,-94.9460747903777,0.9886669173701405,-3.056940199253421,12
1,49.201245001070475,67.83965624428401,915,m2_sin,0.3991726358700208,0.02508944051610063,15.909985542079346,0.7242985802076403,0.5511161374299351,12
2,67.83965624428401,85.0960344088437,915,m0,-0.1528999267632163,0.020536243362050944,-7.445369830675119,0.48616511122409894,-0.3145020554400431,12
2,67.83965624428401,85.0960344088437,915,m1_cos,-0.07547555486229995,0.028856831392994105,-2.6155177550305817,0.8031492703897631,-0.09397450467168096,12
2,67.83965624428401,85.0960344088437,915,m1_sin,0.07899671928394893,0.027902146745340896,2.8312057851656096,0.5260986955431111,0.15015570263370012,12
2,67.83965624428401,85.0960344088437,915,m2_cos,-1.4180391391774845,0.025443602167193796,-55.732640758149444,0.6798908403518056,-2.0856864882070307,12
2,67.83965624428401,85.0960344088437,915,m2_sin,0.354981056670521,0.03129205666548807,11.344126736867016,0.5062423689460528,0.7012077187643478,12
3,85.0960344088437,108.04760168131064,915,m0,0.18355655710966165,0.031174084302907832,5.888113836034632,0.2871388846570592,0.6392605352942363,12
3,85.0960344088437,108.04760168131064,915,m1_cos,-0.09934268853874946,0.04009975476929742,-2.477388929440828,0.7727010047069773,-0.12856549678801318,12
3,85.0960344088437,108.04760168131064,915,m1_sin,-0.4532070142220372,0.039215686096155146,-11.556778915222685,0.2923072468312854,-1.550447411533455,12
3,85.0960344088437,108.04760168131064,915,m2_cos,-0.9079560411235873,0.035410277482203135,-25.64103152199011,0.5939773542066911,-1.5286038006217297,12
3,85.0960344088437,108.04760168131064,915,m2_sin,1.6701153935911741,0.04516562130440541,36.977580410883725,0.5835836601553626,2.8618268598311225,12
4,108.04760168131064,163.5550832824953,915,m0,-2.0109710917165105,0.07391331973789703,-27.207154256466715,1.2347526803340363,-1.6286428235753938,9
4,108.04760168131064,163.5550832824953,915,m1_cos,-2.423546242355399,0.0697389827317969,-34.75167184006548,0.7988242840217223,-3.033891546403584,9
4,108.04760168131064,163.5550832824953,915,m1_sin,-0.1915646230281999,0.05851485809304681,-3.27377745193512,0.8759502677452998,-0.218693492178829,9
4,108.04760168131064,163.5550832824953,915,m2_cos,-3.1979133343054844,0.06332877519582303,-50.49700273559702,1.0305069391476953,-3.1032428922316555,9
4,108.04760168131064,163.5550832824953,915,m2_sin,1.662940920852827,0.08885332931052202,18.71557243557222,1.3960695346276448,1.1911590931581795,9
