zone,error_floor_km_s,chi2,dof,max_absolute_z
0,0.0,9123.128039490672,5,41.425994565800586
0,1.0,1645.0977575677384,5,24.46344356548455
0,3.0,577.8808529414976,5,13.555186771891263
0,5.0,329.8240665131088,5,10.011189156808848
0,10.0,127.34760723670217,5,6.18188887887829
1,0.0,1390.2364972444711,5,25.609411332565358
1,1.0,241.07367823202839,5,12.653025895794284
1,3.0,77.94835342425412,5,6.195725927538882
1,5.0,50.00782849149982,5,4.683066704061418
1,10.0,22.054360786394685,5,3.123551825575526
2,0.0,1096.4034203845524,5,20.291252299913886
2,1.0,424.3729121431884,5,17.47362820075408
2,3.0,114.44086883723807,5,9.46963071209997
2,5.0,61.06628292092523,5,6.991468457191132
2,10.0,24.32502136586488,5,4.402747680874264
3,0.0,856.3197113575463,5,12.951307263669527
3,1.0,239.70145546968809,5,6.900944066101701
3,3.0,54.10627492875673,5,3.535283396601074
3,5.0,29.209306760793588,5,3.1381238914117344
3,10.0,13.137727604622066,5,2.288631867947431
4,0.0,1393.8582879886765,5,11.243988002204333
4,1.0,455.0209011152674,5,7.481894042704307
4,3.0,140.2119442447023,5,5.258913493503578
4,5.0,69.56413412234079,5,3.7482918908865215
4,10.0,21.350233732778168,5,2.067995945262868
