radius_arcsec,vobs_halpha_km_s,side_error_km_s,gipsy_error_km_s,final_error_km_s,radius_kpc,post_bar_primary,source_sides_individually_available,side_disagreement_retained_in_final_error
3.0,39.32,447.03,22.54,447.03,0.23998254672387462,False,False,True
6.0,19.3,411.08,15.65,411.08,0.47996509344774924,False,False,True
9.0,47.18,398.85,12.39,398.85,0.7199476401716239,False,False,True
12.0,118.07,314.77,9.44,314.77,0.9599301868954985,False,False,True
15.0,108.73,242.94,8.46,242.94,1.1999127336193731,False,False,True
18.0,133.06,146.17,8.14,146.17,1.4398952803432479,False,False,True
21.0,165.23,201.39,12.17,201.39,1.6798778270671224,False,False,True
24.0,251.55,69.66,9.48,69.66,1.919860373790997,False,False,True
27.0,226.99,64.89,6.37,64.89,2.1598429205148717,False,False,True
30.0,289.46,87.74,3.71,87.74,2.3998254672387462,False,False,True
33.0,290.71,53.78,3.01,53.78,2.6398080139626208,False,False,True
36.0,282.7,90.95,4.39,90.95,2.8797905606864957,False,False,True
39.0,237.15,67.25,2.71,67.25,3.1197731074103703,False,False,True
42.0,222.49,35.8,1.49,35.8,3.359755654134245,False,False,True
45.0,221.21,0.920013,1.17,1.17,3.5997382008581194,False,False,True
48.0,225.98,1.01999,1.29,1.29,3.839720747581994,True,False,True
51.0,238.37,4.85001,1.29,4.85001,4.079703294305869,True,False,True
54.0,239.0,5.82001,1.04,5.82001,4.319685841029743,True,False,True
57.0,241.37,25.11,0.81,25.11,4.559668387753618,True,False,True
60.0,246.4,25.17,0.77,25.17,4.7996509344774925,True,False,True
63.0,252.96,48.2,0.82,48.2,5.039633481201367,True,False,True
66.0,259.96,52.66,1.01,52.66,5.2796160279252415,True,False,True
69.0,266.45,9.87003,0.87,9.87003,5.519598574649116,True,False,True
72.0,258.7,21.45,0.86,21.45,5.7595811213729915,True,False,True
75.0,270.69,9.54001,1.03,9.54001,5.999563668096866,True,False,True
78.0,273.49,12.48,0.99,12.48,6.239546214820741,True,False,True
81.0,269.32,14.13,1.1,14.13,6.479528761544615,True,False,True
84.0,277.77,19.6,1.05,19.6,6.71951130826849,True,False,True
87.0,281.59,15.05,1.29,15.05,6.959493854992364,True,False,True
90.0,266.14,2.95999,1.75,2.95999,7.199476401716239,True,False,True
93.0,261.39,21.95,1.23,21.95,7.439458948440113,True,False,True
96.0,257.19,20.36,1.06,20.36,7.679441495163988,True,False,True
99.0,258.14,48.24,1.22,48.24,7.919424041887862,True,False,True
102.0,255.78,10.29,1.35,10.29,8.159406588611738,True,False,True
105.0,261.63,23.53,2.08,23.53,8.399389135335612,True,False,True
