galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_exponential_disk,v_split_b2_unit_load_km_s,split_b2_unit_load_residual_km_s,construction_used_vobs,diagnostic_scoring_used_vobs,endpoint_scores_allowed,claim_boundary
NGC7331,2.67,221.0,20.0,251.97887713060393,265.1063502896858,268.68016137678785,264.5561224375929,251.97887713060393,30.978877130603934,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,3.21,237.0,13.0,264.4347516496272,279.37949567561077,283.3354109425094,278.7012037401586,264.4347516496272,27.434751649627174,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,3.74,249.0,8.0,275.6652313586173,292.27896660661895,296.57393052515783,291.4795850720429,275.6652313586173,26.66523135861729,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,4.27,250.0,5.0,275.8196327856304,294.5692263182532,299.18902747990677,293.6240850440843,275.8196327856304,25.819632785630404,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,4.81,253.0,5.0,273.4442633700696,294.476840639228,299.3825532452616,293.37628425625417,273.4442633700696,20.44426337006962,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,5.35,257.0,5.0,274.51298426486136,297.5784078309312,302.7317801837498,296.33719902557476,274.51298426486136,17.51298426486136,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,5.88,257.0,5.0,269.34129562694244,294.7904266308157,300.1320321160266,293.3891475859498,269.34129562694244,12.34129562694244,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,6.41,257.0,5.0,265.180273078523,292.9437152227955,298.4314013474768,291.3877502934189,265.180273078523,8.180273078522987,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,7.48,257.0,5.0,254.02275984643583,286.682263941798,292.3088850467704,284.8047695158391,254.02275984643583,-2.9772401535641677,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,8.55,255.0,5.0,238.60471041033537,276.58648775475706,282.10138021726743,274.36415812761106,238.60471041033537,-16.39528958966463,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,9.62,248.0,6.0,229.3329927201928,272.0314350972189,277.3849455878154,269.5161240790683,229.3329927201928,-18.667007279807194,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,10.66,247.0,6.0,221.4913601475236,268.5630334204705,273.69520581173396,265.78880141338317,221.4913601475236,-25.508639852476392,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,11.74,246.0,6.0,213.95827869002872,265.3823795937849,270.23757831730217,262.36389706594576,213.95827869002872,-32.04172130997128,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,12.83,244.0,6.0,208.71575223255192,264.12481596053533,268.73539224142775,260.9057164550347,208.71575223255192,-35.28424776744808,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,13.91,242.0,4.0,203.5184651819092,262.7214467049677,267.07473992008397,259.32597584800624,203.5184651819092,-38.48153481809081,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,15.0,238.0,3.0,197.96862685789384,260.8713114139759,264.9530276967796,257.3152977250659,201.42128394702237,-36.578716052977626,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,16.08,236.0,3.0,193.13934407572165,259.4737463623457,263.3176316000102,255.78643285554008,203.2296670241257,-32.77033297587431,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,17.07,233.0,3.0,189.68860661621193,258.9337137263979,262.6049364917023,255.15517591866885,205.87232893337364,-27.127671066626363,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,18.15,234.0,3.0,187.2646016202742,259.4239513684044,262.9644852255123,255.5812599387021,209.97669937952924,-24.023300620470764,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,19.24,236.0,3.0,185.5578518414136,260.4672396415138,263.9138214660044,256.5871408901271,214.70607531327735,-21.293924686722647,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,20.32,237.0,3.0,183.2082060662131,260.7767758904177,264.13119862656526,256.86567667529397,218.75274647030324,-18.247253529696764,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,21.41,238.0,3.0,179.29356494308433,259.5270072666978,262.77851838726025,255.5759361747634,221.5366761563654,-16.463323843634612,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,22.49,240.0,3.0,175.52189236673584,258.24555884763237,261.43089249178166,254.26747048134715,224.41208985765525,-15.587910142344754,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,23.48,238.0,3.0,172.5171474085982,257.3796494231502,260.54087467943197,253.392111098232,227.41410364353945,-10.585896356460552,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,24.57,237.0,3.0,168.4120560411279,255.52989933574895,258.6915084812773,251.52817662359067,230.1356733322847,-6.864326667715289,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,25.65,236.0,3.0,164.72852014754457,253.9254911642082,257.1309507134837,249.922828296996,233.14336317376495,-2.8566368262350466,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,26.74,238.0,3.0,161.43043229205577,252.58432545770745,255.8728343893948,248.5937003042937,236.4845154467489,-1.515484553251099,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,27.82,239.0,3.0,158.04190346234128,251.00784490862353,254.41686762439204,247.0326199865136,239.714246026292,0.7142460262919883,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,28.91,239.0,3.0,154.49986090608624,249.16223896276333,252.73462264692577,245.2050197175342,242.90056124279167,3.9005612427916674,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,29.89,241.0,4.0,151.3289849962657,247.4033997746116,251.15827457743197,243.4656726220928,245.78207854019348,4.782078540193481,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,30.98,236.0,4.0,148.00584289142105,245.53623013354235,249.5280639290484,241.6263660339642,249.11623209989224,13.116232099892244,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,32.06,236.0,5.0,145.2041479090732,244.0882120987203,248.33546495949247,240.21669190753389,252.70130007088883,16.701300070888834,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,33.15,239.0,5.0,142.88869958817597,243.07467207524104,247.58984297597772,239.25261060440525,256.58464897890315,17.584648978903147,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,34.23,237.0,5.0,140.66870540386728,242.06212359212375,246.86487862419972,238.2917829829204,260.43563739146174,23.43563739146174,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,35.32,241.0,7.0,138.31511551526103,240.8277231265214,245.95198539700797,237.1085652168852,264.2251064104365,23.225106410436524,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
NGC7331,36.31,238.0,9.0,135.51705269079608,238.8845531814265,244.36523782508323,235.20069816634515,267.3029447262426,29.302944726242572,False,True,False,ngc7331_b2_split_unit_load_diagnostic_comparison_not_endpoint
