r,vobs,errv,vn,dark_discrepancy_ratio,newton_excess_z
2.67,221.0,20.0,251.97887713060393,0.7692301087134308,-1.5489438565301967
3.21,237.0,13.0,264.4347516496272,0.8032664610045585,-2.110365511509783
3.74,249.0,8.0,275.6652313586173,0.8158958178315245,-3.3331539198271614
4.27,250.0,5.0,275.8196327856304,0.821541800502338,-5.16392655712608
4.81,253.0,5.0,273.4442633700696,0.856058431340628,-4.088852674013924
5.35,257.0,5.0,274.51298426486136,0.8764768797484864,-3.502596852972272
5.88,257.0,5.0,269.34129562694244,0.9104589235645374,-2.468259125388488
6.41,257.0,5.0,265.180273078523,0.9392556574723665,-1.6360546157045974
7.48,257.0,5.0,254.02275984643583,1.0235781024508468,0.5954480307128336
8.55,255.0,5.0,238.60471041033537,1.1421478716259368,3.2790579179329256
9.62,248.0,6.0,229.3329927201928,1.169419374201661,3.1111678799678657
10.66,247.0,6.0,221.4913601475236,1.2435988917248229,4.251439975412732
11.74,246.0,6.0,213.95827869002872,1.3219408513289734,5.340286884995213
12.83,244.0,6.0,208.71575223255192,1.366687422834003,5.880707961241346
13.91,242.0,4.0,203.5184651819092,1.4139143245423391,9.620383704522702
15.0,238.0,3.0,197.96862685789384,1.4453105493058285,13.34379104736872
16.08,236.0,3.0,193.13934407572165,1.4930780182217944,14.286885308092783
17.07,233.0,3.0,189.68860661621193,1.5087919188565664,14.437131127929357
18.15,234.0,3.0,187.2646016202742,1.5614221388355551,15.57846612657527
19.24,236.0,3.0,185.5578518414136,1.6175783799250731,16.814049386195467
20.32,237.0,3.0,183.2082060662131,1.6734272917725965,17.930597977928965
21.41,238.0,3.0,179.29356494308433,1.762075485116943,19.568811685638554
22.49,240.0,3.0,175.52189236673584,1.869648211114911,21.492702544421388
23.48,238.0,3.0,172.5171474085982,1.9032216846891035,21.82761753046727
24.57,237.0,3.0,168.4120560411279,1.9803882283145664,22.8626479862907
25.65,236.0,3.0,164.72852014754457,2.052515342239862,23.757159950818476
26.74,238.0,3.0,161.43043229205577,2.173617362998858,25.52318923598141
27.82,239.0,3.0,158.04190346234128,2.2869217162306335,26.986032179219574
28.91,239.0,3.0,154.49986090608624,2.3929830165335537,28.166713031304585
29.89,241.0,4.0,151.3289849962657,2.536237075080455,22.417753750933578
30.98,236.0,4.0,148.00584289142105,2.5425311639917783,21.998539277144737
32.06,236.0,5.0,145.2041479090732,2.641593338337944,18.159170418185358
33.15,239.0,5.0,142.88869958817597,2.7976928589102097,19.222260082364805
34.23,237.0,5.0,140.66870540386728,2.8385837407633487,19.266258919226544
35.32,241.0,7.0,138.31511551526103,3.0359512780820666,14.669269212105567
36.31,238.0,9.0,135.51705269079608,3.084366791463492,11.386994145467103
