galaxy,r,vobs,errv,vn,v_v6,v_mond,v_K_exponential_disk,mixed_kernel,mixed_attenuation,v_mixed_population,endpoint_scores_allowed,construction_used_vobs,scoring_used_vobs,claim_boundary
NGC7331,2.67,221.0,20.0,251.97887713060393,265.1063502896858,268.68016137678785,264.5561224375929,0.0,0.0,264.5561224375929,True,False,True,ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_preliminary_control
NGC7331,3.21,237.0,13.0,264.4347516496272,279.37949567561077,283.3354109425094,278.7012037401586,0.0,0.0,278.7012037401586,True,False,True,ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_preliminary_control
NGC7331,3.74,249.0,8.0,275.6652313586173,292.27896660661895,296.57393052515783,291.4795850720429,0.0,0.0,291.4795850720429,True,False,True,ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_preliminary_control
NGC7331,4.27,250.0,5.0,275.8196327856304,294.5692263182532,299.18902747990677,293.6240850440843,0.0,0.0,293.6240850440843,True,False,True,ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_preliminary_control
NGC7331,4.81,253.0,5.0,273.4442633700696,294.476840639228,299.3825532452616,293.37628425625417,0.0,0.0,293.37628425625417,True,False,True,ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_preliminary_control
NGC7331,5.35,257.0,5.0,274.51298426486136,297.5784078309312,302.7317801837498,296.33719902557476,0.0001952020454222301,6.156771020953473e-05,296.3280764837622,True,False,True,ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_preliminary_control
NGC7331,5.88,257.0,5.0,269.34129562694244,294.7904266308157,300.1320321160266,293.3891475859498,0.0012516136251732996,0.00039476525362371664,293.33123194898667,True,False,True,ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_preliminary_control
NGC7331,6.41,257.0,5.0,265.180273078523,292.9437152227955,298.4314013474768,291.3877502934189,0.003093123030261819,0.0009755866131303877,291.245578615553,True,False,True,ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_preliminary_control
NGC7331,7.48,257.0,5.0,254.02275984643583,286.682263941798,292.3088850467704,284.8047695158391,0.008706881663754619,0.0027461944158588603,284.41343602784366,True,False,True,ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_preliminary_control
NGC7331,8.55,255.0,5.0,238.60471041033537,276.58648775475706,282.10138021726743,274.36415812761106,0.016206938018162007,0.00511175003892892,273.66201919031096,True,False,True,ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_preliminary_control
NGC7331,9.62,248.0,6.0,229.3329927201928,272.0314350972189,277.3849455878154,269.5161240790683,0.02499424132627025,0.007883309847263193,268.45168254013794,True,False,True,ngc7331_expdisk_vertical_outer_warp_mixed_accepted_endpoint_preliminary_control
