galaxy,product,ring_index,radius_mid_kpc,n_pairs,odd_los_weighted_median_km_s,even_los_weighted_median_km_s,absolute_odd_weighted_median_km_s,absolute_even_weighted_median_km_s,absolute_even_over_odd,source_outer_region,claim_boundary
NGC7331,NATURAL,2,2.5,54,-140.54528125000002,-0.023562500000025466,140.54528125000002,8.067343749999964,0.05740031737991889,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,3,3.5,112,-184.53215625,-2.293468749999988,184.53215625,6.884437500000104,0.037307522113778496,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,4,4.5,157,-213.95059374999994,10.41471875000002,213.95059374999994,10.627906250000024,0.04967458170468399,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,5,5.5,174,-224.66240625,13.119125000000054,224.66240625,13.119125000000054,0.05839483881162273,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,6,6.5,217,-220.01440624999998,8.057218750000175,220.01440624999998,8.133093750000057,0.03696618729938307,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,7,7.5,252,-222.36775,-6.527749999999969,222.36775,7.454812500000116,0.03352470176093483,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,8,8.5,289,-223.75956250000007,-8.588656249999985,223.75956250000007,8.588656249999985,0.03838341545738401,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,9,9.5,317,-219.55715624999993,-10.437249999999949,219.55715624999993,10.437249999999949,0.0475377354046047,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,10,10.5,342,-215.48178125000004,-9.882437499999924,215.48178125000004,9.882437499999924,0.045862055913369344,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,11,11.5,391,-214.22309375000003,-8.14093749999995,214.22309375000003,8.14093749999995,0.03800214700241649,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,12,12.5,423,-205.90640624999997,-6.510093749999896,205.90640624999997,7.522437500000024,0.03653328537465077,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,13,13.5,455,-194.41446874999997,-3.740374999999972,194.41446874999997,5.726249999999936,0.02945382633719198,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,14,14.5,489,-203.27912500000002,1.1531875000000582,203.27912500000002,4.794468750000078,0.023585642401796433,False,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,15,15.5,526,-203.89637499999998,0.4674999999999727,203.89637499999998,4.301750000000084,0.021097726725156758,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,16,16.5,561,-207.54653125000004,1.4026250000000573,207.54653125000004,3.765156250000018,0.018141263201670674,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,17,17.5,594,-209.46918750000003,0.4562812500000746,209.46918750000003,3.8814062500000546,0.01852972409128218,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,18,18.5,621,-211.91674999999992,1.309500000000071,211.91674999999992,2.943281250000041,0.013888856119207387,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,19,19.5,611,-209.55028125,0.3014687500000264,209.55028125,3.642093749999958,0.01738052427452878,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,20,20.5,487,-215.15396875,1.3000000000000682,215.15396875,3.821468750000008,0.01776155360833895,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,21,21.5,388,-218.58300000000003,1.5812500000000682,218.58300000000003,3.053156250000029,0.013967949245824372,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,22,22.5,269,-222.22471875000002,1.7188437500001328,222.22471875000002,2.2738437500000828,0.010232181922831582,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,23,23.5,149,-221.83790625,3.408031250000022,221.83790625,4.73112500000002,0.021326945786570323,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,24,24.5,46,-220.16196875000003,11.512593750000065,220.16196875000003,11.512593750000065,0.0522914734791136,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,NATURAL,25,25.5,50,-208.32175,6.81315625000002,208.32175,6.81315625000002,0.03270496839624293,True,single_galaxy_clock_channel_parity_diagnostic
NGC7331,ROBUST,2,2.5,37,-140.10918750000002,-3.0441874999999072,140.10918750000002,8.135156249999909,0.058062974992271,False,single_galaxy_clock_channel_parity_diagnostic
