galaxy,radius_arcsec,radius_kpc_at_source_distance,vstar_disk_km_s,vstar_bulge_km_s,vstar_bar_primary_km_s,vstar_total_primary_km_s,vstar_total_bar_envelope_low_km_s,vstar_total_bar_envelope_high_km_s,uses_rotation_endpoint_in_construction
NGC 7479,40,6.205609289021404,125.93815824186325,78.41548977763868,65.09102706533747,162.00694597096768,155.19759010977126,175.07874234023203,False
NGC 7479,50,7.757011611276756,135.30199460762333,70.13694625269598,72.77398062168662,168.884200652342,162.69895830332703,178.5188456591424,False
NGC 7479,60,9.308413933532108,140.92580469707104,64.02597929521502,79.7199015718832,174.11108856376455,169.21109815409753,180.56180585950653,False
NGC 7479,70,10.859816255787456,143.7971389961653,59.276538539131295,86.10733509832868,177.78019676668004,174.79067514998619,181.2028765932854,False
NGC 7479,80,12.411218578042808,144.64044428148642,55.44812457183271,92.05261326459446,180.19166531590812,179.73003530385054,180.6613127415415,False
NGC 7479,90,13.96262090029816,143.99913727403327,52.27699318509245,88.52379680885896,176.93246777682222,176.93246777682222,176.93246777682222,False
NGC 7479,100,15.514023222553512,142.28606340586154,49.59431030699774,83.98104751258187,172.50430660036918,172.50430660036918,172.50430660036918,False
NGC 7479,110,17.065425544808864,139.81692718730696,47.28631951715943,80.07278700890342,167.91789767905266,167.91789767905266,167.91789767905266,False
NGC 7479,120,18.616827867064213,136.83363910730057,45.27320413175604,76.66385687592368,163.2496699990378,163.2496699990378,163.2496699990378,False
NGC 7479,130,20.16823018931957,133.52125336034888,43.49708756675362,73.65625119071456,158.5722707953,158.5722707953,158.5722707953,False
