galaxy,survey,ra_deg,dec_deg,suggested_fov_arcmin,stable_query_url,skyview_image_count,availability_status,query_status,temporary_image_urls_recorded,accepted_label_output_allowed,endpoint_scores_allowed,claim_boundary
NGC0100,DSS2 Red,6.01182,16.48639,8.0,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=6.011820+16.486390&Survey=DSS2%20Red&Size=0.1333,1,AVAILABLE,QUERY_OK,False,False,False,p0_skyview_availability_not_image_classification_not_endpoint
NGC0100,2MASS-K,6.01182,16.48639,8.0,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=6.011820+16.486390&Survey=2MASS-K&Size=0.1333,1,AVAILABLE,QUERY_OK,False,False,False,p0_skyview_availability_not_image_classification_not_endpoint
NGC0100,WISE 3.4,6.01182,16.48639,8.0,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=6.011820+16.486390&Survey=WISE%203.4&Size=0.1333,1,AVAILABLE,QUERY_OK,False,False,False,p0_skyview_availability_not_image_classification_not_endpoint
NGC0247,DSS2 Red,11.78564,-20.7604,29.745,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=11.785640+-20.760400&Survey=DSS2%20Red&Size=0.4958,1,AVAILABLE,QUERY_OK,False,False,False,p0_skyview_availability_not_image_classification_not_endpoint
NGC0247,2MASS-K,11.78564,-20.7604,29.745,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=11.785640+-20.760400&Survey=2MASS-K&Size=0.4958,1,AVAILABLE,QUERY_OK,False,False,False,p0_skyview_availability_not_image_classification_not_endpoint
NGC0247,WISE 3.4,11.78564,-20.7604,29.745,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=11.785640+-20.760400&Survey=WISE%203.4&Size=0.4958,1,AVAILABLE,QUERY_OK,False,False,False,p0_skyview_availability_not_image_classification_not_endpoint
NGC0300,DSS2 Red,13.72283,-37.68438,20.288,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=13.722830+-37.684380&Survey=DSS2%20Red&Size=0.3381,1,AVAILABLE,QUERY_OK,False,False,False,p0_skyview_availability_not_image_classification_not_endpoint
NGC0300,2MASS-K,13.72283,-37.68438,20.288,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=13.722830+-37.684380&Survey=2MASS-K&Size=0.3381,1,AVAILABLE,QUERY_OK,False,False,False,p0_skyview_availability_not_image_classification_not_endpoint
NGC0300,WISE 3.4,13.72283,-37.68438,20.288,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=13.722830+-37.684380&Survey=WISE%203.4&Size=0.3381,1,AVAILABLE,QUERY_OK,False,False,False,p0_skyview_availability_not_image_classification_not_endpoint
NGC6503,DSS2 Red,267.36047,70.14434,10.03,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=267.360470+70.144340&Survey=DSS2%20Red&Size=0.1672,1,AVAILABLE,QUERY_OK,False,False,False,p0_skyview_availability_not_image_classification_not_endpoint
NGC6503,2MASS-K,267.36047,70.14434,10.03,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=267.360470+70.144340&Survey=2MASS-K&Size=0.1672,1,AVAILABLE,QUERY_OK,False,False,False,p0_skyview_availability_not_image_classification_not_endpoint
NGC6503,WISE 3.4,267.36047,70.14434,10.03,https://skyview.gsfc.nasa.gov/current/cgi/runquery.pl?Position=267.360470+70.144340&Survey=WISE%203.4&Size=0.1672,1,AVAILABLE,QUERY_OK,False,False,False,p0_skyview_availability_not_image_classification_not_endpoint
