galaxy,position_angle_deg,inclination_deg,s4g_model_components,barred,geometry_pass,morphology_source_pass,population_test_eligible,nuisance_modes,retained_test_mode,endpoint_role,decision_reason,selection_uses_tracer_contrast,selection_uses_rotation_residual
IC5332,74.4,26.9,B;D,False,True,True,True,m0+m1,m2,confirmatory_unopened,eligible_nonbarred_body_remove_m0_plus_m1_retain_m2,False,False
NGC0628,20.7,8.9,B;D,False,False,True,False,,,excluded,inclination_outside_frozen_25_to_70_deg_window,False,False
NGC1087,359.1,42.9,D;BAR,True,True,True,False,,,excluded,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
NGC1300,278.0,31.8,B;D;BAR,True,True,True,False,,,excluded,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
NGC1365,201.1,55.4,B;D;BAR;N,True,True,True,False,,,excluded,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
NGC1385,181.3,44.0,D;BAR,True,True,True,False,,,excluded,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
NGC1433,199.7,28.6,B;D;BAR,True,True,True,False,,,excluded,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
NGC1512,261.9,42.5,B;D;BAR,True,True,True,False,,,excluded,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
NGC1566,214.7,29.5,D;BAR;N,True,True,True,False,,,excluded,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
NGC1672,134.3,42.6,B;D;BAR,True,True,True,False,,,excluded,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
NGC2835,1.0,41.3,,False,True,False,False,,,excluded,source_side_s4g_decomposition_missing,False,False
NGC3351,193.2,45.1,B;D;BAR,True,True,True,False,,,legacy_open_pilot,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
NGC3627,173.1,57.3,B;D;BAR,True,True,True,False,,,legacy_open_pilot,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
NGC4254,68.1,34.4,B;D,False,True,True,True,m0+m1,m2,legacy_open_pilot,eligible_nonbarred_body_remove_m0_plus_m1_retain_m2,False,False
NGC4303,312.4,23.5,B;D,False,False,True,False,,,excluded,inclination_outside_frozen_25_to_70_deg_window,False,False
NGC4321,156.2,38.5,B;D,False,True,True,True,m0+m1,m2,confirmatory_unopened,eligible_nonbarred_body_remove_m0_plus_m1_retain_m2,False,False
NGC4535,179.7,44.7,B;D;BAR,True,True,True,False,,,legacy_open_pilot,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
NGC5068,342.4,35.7,D;BAR;N,True,True,True,False,,,excluded,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
NGC7496,193.7,35.9,D;BAR;N,True,True,True,False,,,excluded,m2_is_body_nuisance_and_no_source_certified_m1_null_is_available,False,False
