error_floor_km_s,galaxy,q_primary,p_primary,q_radial_reversal,q_phase_rotation,primary_below_radial_reversal,primary_below_phase_rotation,beam_independent_pixels
5.0,NGC1300,153.12340716575176,1.3166505098331466e-26,59.610155121966415,142.53076946292438,False,False,2281
5.0,NGC1385,509.8486474311705,1.7750733667935124e-101,532.5214012978107,712.8735358149178,True,True,1419
5.0,NGC1512,157.81922732623462,1.4604987672586578e-27,143.8399187333854,111.39570338881362,False,False,1931
5.0,NGC5068,1327.633965043177,5.524419262472045e-277,1416.9406892596066,1189.2287608166994,True,False,2682
10.0,NGC1300,51.80906307622727,6.701735790850485e-07,19.69820105613126,47.41211904319479,False,False,2281
10.0,NGC1385,151.0333644876087,3.4985017162055235e-26,158.0183339869821,198.47687769428205,True,True,1419
10.0,NGC1512,47.372913917673976,4.017028681514668e-06,42.737606987706,34.29548049071079,False,False,1931
10.0,NGC5068,495.6315029851993,1.884800623350671e-98,537.95412766261,431.78489213972654,True,False,2682
20.0,NGC1300,14.955707806022128,0.24386761612360353,5.6012803171957515,13.584632264395983,False,False,2281
20.0,NGC1385,40.511387128301905,5.9121924213162434e-05,42.394230737352245,52.126222301592335,True,True,1419
20.0,NGC1512,12.772420749579386,0.38579690268368033,11.465643335576136,9.362332456576581,False,False,1931
20.0,NGC5068,143.62573815299152,1.108583097304383e-24,157.12419419707163,124.03892823211635,True,False,2682
