galaxy,family,role,filename,url,local_path,bytes,sha256,action,velocity_product,rotation_residual_product
NGC1087,S4G_IRAC,masked_3p6um_stellar_morphology_input,NGC1087.phot.1.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1087/P1/NGC1087.phot.1.fits,data/external/literature/phangs_radial_body_projection_development_v01/NGC1087/NGC1087.phot.1.fits,3159360,2011444277dfd329bb9f3ffb44906de5e8e2fa69c3ea2613a46c2d504009e62d,reused_nonempty,False,False
NGC1087,S4G_IRAC,foreground_background_mask,NGC1087.1.final_mask.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1087/P2/NGC1087.1.final_mask.fits,data/external/literature/phangs_radial_body_projection_development_v01/NGC1087/NGC1087.1.final_mask.fits,1612800,ffbfff8512e2bb40414fb57dd8bda6476b3b7c3955d0d43c1d7a263f1ead05e8,reused_nonempty,False,False
NGC1087,PHANGS_ALMA_CO21,source_molecular_gas_morphology_input,group.uid___A001_X13b3_X90.lp_schinner.ngc1087_12m7mtp_co21_broad_mom0.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X13b3_X90.lp_schinner/group.uid___A001_X13b3_X90.lp_schinner.ngc1087_12m7mtp_co21_broad_mom0.fits,data/external/literature/phangs_radial_body_projection_development_v01/NGC1087/group.uid___A001_X13b3_X90.lp_schinner.ngc1087_12m7mtp_co21_broad_mom0.fits,1131840,e261f51c5612f09128215cb95432eb399901d2b5f9efd41744f1d442c4cbeb1f,reused_nonempty,False,False
NGC1365,S4G_IRAC,masked_3p6um_stellar_morphology_input,NGC1365.phot.1.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1365/P1/NGC1365.phot.1.fits,data/external/literature/phangs_radial_body_projection_development_v01/NGC1365/NGC1365.phot.1.fits,11975040,729ad32f7277e602576389582a60959a0b280ed9d5fc67ff99e5a691376c3a67,reused_nonempty,False,False
NGC1365,S4G_IRAC,foreground_background_mask,NGC1365.1.final_mask.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1365/P2/NGC1365.1.final_mask.fits,data/external/literature/phangs_radial_body_projection_development_v01/NGC1365/NGC1365.1.final_mask.fits,6048000,a5bdacaa8ac75c290227d1a4cbc072b8cc43b58f72d1c409fc6771642d602e6f,reused_nonempty,False,False
NGC1433,S4G_IRAC,masked_3p6um_stellar_morphology_input,NGC1433.phot.1.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1433/P1/NGC1433.phot.1.fits,data/external/literature/phangs_radial_body_projection_development_v01/NGC1433/NGC1433.phot.1.fits,5725440,2549daa15d1d82d91c29313ecfe85b3be0526f4c4f6b89afb2c4cb1e5ced8e80,reused_nonempty,False,False
NGC1433,S4G_IRAC,foreground_background_mask,NGC1433.1.final_mask.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1433/P2/NGC1433.1.final_mask.fits,data/external/literature/phangs_radial_body_projection_development_v01/NGC1433/NGC1433.1.final_mask.fits,2926080,bee1210f48ccd9272e8946b8d1bb8df7808fd0b18153b6e0791e077fc9b2e598,reused_nonempty,False,False
NGC1433,PHANGS_ALMA_CO21,source_molecular_gas_morphology_input,group.uid___A001_X136e_X9b.lp_schinner.ngc1433_12m7mtp_co21_broad_mom0.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136e_X9b.lp_schinner/group.uid___A001_X136e_X9b.lp_schinner.ngc1433_12m7mtp_co21_broad_mom0.fits,data/external/literature/phangs_radial_body_projection_development_v01/NGC1433/group.uid___A001_X136e_X9b.lp_schinner.ngc1433_12m7mtp_co21_broad_mom0.fits,1932480,95d254e9cf09e5758b8424181db1dd8239e5deaf180093d17d1334f58b1429ac,reused_nonempty,False,False
NGC1566,S4G_IRAC,masked_3p6um_stellar_morphology_input,NGC1566.phot.1.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1566/P1/NGC1566.phot.1.fits,data/external/literature/phangs_radial_body_projection_development_v01/NGC1566/NGC1566.phot.1.fits,13141440,d3244d9c9e67f06feb7b42cc821a61f6cc9534470beabef09b3a96053b7d66d1,reused_nonempty,False,False
NGC1566,S4G_IRAC,foreground_background_mask,NGC1566.1.final_mask.fits,https://irsa.ipac.caltech.edu/data/SPITZER/S4G/galaxies/NGC1566/P2/NGC1566.1.final_mask.fits,data/external/literature/phangs_radial_body_projection_development_v01/NGC1566/NGC1566.1.final_mask.fits,6641280,f380e4ac2269fffd4e60b4e78e7b71bb4c9a3ce3a579ac3f36209dbda3576370,reused_nonempty,False,False
