galaxy,role,filename,url,bytes,sha256,action,development_only,confirmatory
NGC1087,PHANGS_MUSE_Halpha_flux_velocity_and_errors,NGC1087_MAPS_copt_0.92asec.fits,https://dataportal.eso.org/dataPortal/file/ADP.2021-07-16T10:20:56.350,231868800,9a240962669f8cb77e1e729faf93f2c4f10fb7b6428fa763153815366937f8a1,reused_verified_size,True,False
NGC1087,PHANGS_ALMA_CO21_velocity,group.uid___A001_X13b3_X90.lp_schinner.ngc1087_12m7mtp_co21_mom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X13b3_X90.lp_schinner/group.uid___A001_X13b3_X90.lp_schinner.ngc1087_12m7mtp_co21_mom1wprior.fits,1131840,3eb2f08f83180ea942b46af1b55808937164d6d4b2f671b6143a6133dcec9fed,reused_verified_size,True,False
NGC1087,PHANGS_ALMA_CO21_velocity_error,group.uid___A001_X13b3_X90.lp_schinner.ngc1087_12m7mtp_co21_emom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X13b3_X90.lp_schinner/group.uid___A001_X13b3_X90.lp_schinner.ngc1087_12m7mtp_co21_emom1wprior.fits,1131840,246b69b01a117a4d6b05341b0f471fb4d4240c534bf855b869e0bfabe4d0a6be,reused_verified_size,True,False
NGC1433,PHANGS_MUSE_Halpha_flux_velocity_and_errors,NGC1433_MAPS_copt_0.91asec.fits,https://dataportal.eso.org/dataPortal/file/ADP.2021-07-16T10:20:56.398,574395840,bb9fe6fca00d755da0f9f3c12a22c4cb4a56ea8b13c664b779ba976eb53fb2b1,reused_verified_size,True,False
NGC1433,PHANGS_ALMA_CO21_velocity,group.uid___A001_X136e_X9b.lp_schinner.ngc1433_12m7mtp_co21_mom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136e_X9b.lp_schinner/group.uid___A001_X136e_X9b.lp_schinner.ngc1433_12m7mtp_co21_mom1wprior.fits,1932480,b32ca44ddc4392e496932a24ef6539b52dca0b8f9275ea8633ea6b7a4a7634d9,reused_verified_size,True,False
NGC1433,PHANGS_ALMA_CO21_velocity_error,group.uid___A001_X136e_X9b.lp_schinner.ngc1433_12m7mtp_co21_emom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136e_X9b.lp_schinner/group.uid___A001_X136e_X9b.lp_schinner.ngc1433_12m7mtp_co21_emom1wprior.fits,1932480,93e6c1aa21c676b71d640d26db0fbae46a5dfa3a94344a2f7f24cdc17f7303fa,reused_verified_size,True,False
NGC1566,PHANGS_MUSE_Halpha_flux_velocity_and_errors,NGC1566_MAPS_copt_0.80asec.fits,https://dataportal.eso.org/dataPortal/file/ADP.2021-07-16T10:20:56.422,452128320,48bed45f7d439c14a9ba0d4cbdbceec58e3c2eb7ceff888c91402421679f6fcc,reused_verified_size,True,False
NGC1566,PHANGS_ALMA_CO21_velocity,group.uid___A001_X136e_X9f.lp_schinner.ngc1566_12m7mtp_co21_mom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136e_X9f.lp_schinner/group.uid___A001_X136e_X9f.lp_schinner.ngc1566_12m7mtp_co21_mom1wprior.fits,1941120,e133173a86f003efae18d11cb4f65db020ed81f137ffa915ce64763da9c559ea,reused_verified_size,True,False
NGC1566,PHANGS_ALMA_CO21_velocity_error,group.uid___A001_X136e_X9f.lp_schinner.ngc1566_12m7mtp_co21_emom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X136e_X9f.lp_schinner/group.uid___A001_X136e_X9f.lp_schinner.ngc1566_12m7mtp_co21_emom1wprior.fits,1941120,bfc8d666ab47516f0a0b545e9beee59ebec438d6c734e7c6692690d021f555c2,reused_verified_size,True,False
NGC1672,PHANGS_MUSE_Halpha_flux_velocity_and_errors,NGC1672_MAPS_copt_0.96asec.fits,https://dataportal.eso.org/dataPortal/file/ADP.2021-07-16T10:20:56.434,372602880,f73b131bf19775955e917e2ad93f3bfcd4316d1eaaf929c11b2c38f7c2eac927,reused_verified_size,True,False
NGC1672,PHANGS_ALMA_CO21_velocity,group.uid___A001_X2fb_X272.lp_schinner.ngc1672_12m7mtp_co21_mom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X2fb_X272.lp_schinner/group.uid___A001_X2fb_X272.lp_schinner.ngc1672_12m7mtp_co21_mom1wprior.fits,544320,6f7c825ba8c55412886c79635fd235821ee00464cdd2de015c1f87022686147c,reused_verified_size,True,False
NGC1672,PHANGS_ALMA_CO21_velocity_error,group.uid___A001_X2fb_X272.lp_schinner.ngc1672_12m7mtp_co21_emom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X2fb_X272.lp_schinner/group.uid___A001_X2fb_X272.lp_schinner.ngc1672_12m7mtp_co21_emom1wprior.fits,544320,be662b3f5009dda3d549d3d0d0870130a4159e0250dcbc69a4ae70c811f09d4f,reused_verified_size,True,False
NGC7496,PHANGS_MUSE_Halpha_flux_velocity_and_errors,NGC7496_MAPS_copt_0.89asec.fits,https://dataportal.eso.org/dataPortal/file/ADP.2021-07-16T10:20:56.542,211412160,34c88581ac87ef6c23889974f8c38c8f14deab1fc05634c1974a783a221750d6,reused_verified_size,True,False
NGC7496,PHANGS_ALMA_CO21_velocity,group.uid___A001_X1284_X2634.lp_schinner.ngc7496_12m7mtp_co21_mom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X1284_X2634.lp_schinner/group.uid___A001_X1284_X2634.lp_schinner.ngc7496_12m7mtp_co21_mom1wprior.fits,406080,16e64552d7c88c0fc2101c25b3c8b4dc6c587747a90c43f53851def6dbd3e8ec,reused_verified_size,True,False
NGC7496,PHANGS_ALMA_CO21_velocity_error,group.uid___A001_X1284_X2634.lp_schinner.ngc7496_12m7mtp_co21_emom1wprior.fits,https://almascience.nrao.edu/almadata/lp/PHANGS/phangs_groups/group.uid___A001_X1284_X2634.lp_schinner/group.uid___A001_X1284_X2634.lp_schinner.ngc7496_12m7mtp_co21_emom1wprior.fits,406080,acf8d5cec09ac04ba32d4605ef0f3f3e5e2f174cae134591c00e1a8b88c240b6,reused_verified_size,True,False
