quality_gate,gate_expression,n_galaxies,n_families_present,matched_beats_wrong_fraction,matched_rank1_fraction,matched_beats_tpg_v6_fraction,matched_beats_mond_fraction,mean_matched_minus_wrong,mean_matched_minus_tpg_v6,mean_matched_minus_mond,gate_status,split
all,True,44,4,0.8181818181818182,0.2727272727272727,0.4772727272727273,0.6136363636363636,-8.554211380757708,0.3167458926376676,-0.1544993521490949,specificity_only,holdout
confidence_ge_0_75,manifest_confidence >= 0.75,32,4,0.84375,0.34375,0.53125,0.59375,-9.056388959084762,0.3691930398162134,-0.10266115692052838,specificity_only,holdout
confidence_ge_0_85,manifest_confidence >= 0.85,30,4,0.8333333333333334,0.3,0.5,0.6,-7.470403458265202,0.4356028916495792,-0.17483064613814153,candidate_predeclared_gate,holdout
no_low_inclination,~low_inclination,35,4,0.8571428571428571,0.2857142857142857,0.5142857142857142,0.6571428571428571,-9.40436462040181,0.346812006352289,-0.3871368036779294,candidate_predeclared_gate,holdout
no_large_distance_error,~large_distance_error,26,4,0.8846153846153846,0.2692307692307692,0.5384615384615384,0.7307692307692307,-10.469414482975091,0.11905306711229793,-1.0951227707224345,candidate_predeclared_gate,holdout
no_few_rotation_points,~few_rotation_points,36,4,0.7777777777777778,0.3055555555555556,0.5,0.5555555555555556,-6.482050628503495,0.3655131141103851,0.16305051401550272,weak,holdout
clean_manifest_proxy,~any_quality_caveat,20,4,0.9,0.25,0.5,0.75,-9.670906810661867,0.18179788027862215,-1.3205809600778018,candidate_predeclared_gate,holdout
confidence_ge_0_75_and_clean,(manifest_confidence >= 0.75) & (~any_quality_caveat),20,4,0.9,0.25,0.5,0.75,-9.670906810661867,0.18179788027862215,-1.3205809600778018,candidate_predeclared_gate,holdout
all,True,131,4,0.8015267175572519,0.3435114503816794,0.48091603053435117,0.5801526717557252,-8.00406870361461,0.0703444107632347,-0.411873907952453,specificity_only,train
confidence_ge_0_75,manifest_confidence >= 0.75,112,4,0.7857142857142857,0.3482142857142857,0.48214285714285715,0.5625,-7.86916367749695,0.08926448354882435,-0.31438974378779916,weak,train
confidence_ge_0_85,manifest_confidence >= 0.85,89,4,0.7865168539325843,0.4044943820224719,0.5168539325842697,0.5280898876404494,-6.4560382877620155,0.058885757828652054,0.005481517247952793,weak,train
no_low_inclination,~low_inclination,112,4,0.8035714285714286,0.3392857142857143,0.4732142857142857,0.5714285714285714,-8.40557065069637,0.09171363957174987,-0.34051767279858947,specificity_only,train
no_large_distance_error,~large_distance_error,83,4,0.7590361445783133,0.2891566265060241,0.4457831325301205,0.5662650602409639,-7.902108716409838,0.2760984384151868,-0.2557421884966788,weak,train
no_few_rotation_points,~few_rotation_points,107,4,0.7663551401869159,0.3925233644859813,0.5327102803738317,0.5327102803738317,-5.761989209542498,0.0002138570388601737,-0.18955316997126007,weak,train
clean_manifest_proxy,~any_quality_caveat,60,4,0.7333333333333333,0.3333333333333333,0.48333333333333334,0.5,-5.276789106351007,0.24912513243941323,0.18474782114776228,weak,train
confidence_ge_0_75_and_clean,(manifest_confidence >= 0.75) & (~any_quality_caveat),60,4,0.7333333333333333,0.3333333333333333,0.48333333333333334,0.5,-5.276789106351007,0.24912513243941323,0.18474782114776228,weak,train
