galaxy,extraction_status,n_observables
IC2574,ACCEPTED_CONTEXT_SOURCE_FIELD,3
IC2574,ACCEPTED_NUMERIC_SOURCE_FIELD,2
IC2574,BLOCKED_NEEDS_MEASUREMENT,1
NGC4013,ACCEPTED_CONTEXT_SOURCE_FIELD,1
NGC4013,ACCEPTED_NUMERIC_SOURCE_FIELD,2
NGC4013,RECLASSIFICATION_PRESSURE_SOURCE_FIELD,1
NGC4088,ACCEPTED_NUMERIC_SOURCE_FIELD,1
NGC4088,BLOCKED_NEEDS_MEASUREMENT,2
NGC4088,PRELIMINARY_SOURCE_FIELD_REVIEW_REQUIRED,4
NGC4183,CONTEXT_ONLY_NOT_GALAXY_SPECIFIC,1
NGC5907,ACCEPTED_CONTEXT_SOURCE_FIELD,2
NGC5907,ACCEPTED_NUMERIC_SOURCE_FIELD,3
NGC7331,ACCEPTED_NUMERIC_SOURCE_FIELD,3
NGC7331,CAVEAT_CONTEXT_SOURCE_FIELD,1
UGC05716,ACCEPTED_CONTEXT_SOURCE_FIELD,1
UGC05716,ACCEPTED_NUMERIC_SOURCE_FIELD,1
UGC05716,BLOCKED_NEEDS_MEASUREMENT,1
