galaxy,split,predeclared_formula_family,rotation_inferred_family,rotation_inferred_best_rmse,rotation_inferred_margin_to_second,rotation_inferred_confidence,predeclared_family_rank_by_rotation,matches_predeclared_family,rmse_tpg_v6,rmse_mond,rotation_inferred_beats_tpg_v6,rotation_inferred_beats_mond,claim_boundary,manifest_confidence,manifest_caveat,type_bin,inclination_deg,distance_frac_error,external_family_label,external_family_label_status,narrow_dry_run_lane,matches_external_expdisk_label
CamB,holdout,K_scale_tail_spiral,K_exponential_disk,11.890911114992267,1.0116050851385374,LOW,3,False,13.63779853730796,15.623524086441458,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,65.0,0.077380952381,,,,False
ESO116-G012,holdout,K_exponential_disk,K_scale_tail_spiral,9.66930309984049,2.7360586871591526,HIGH,3,False,11.508201668011028,9.10866648888162,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,late_T_6_8,74.0,0.3,,,,False
F561-1,holdout,K_scale_tail_spiral,K_exponential_disk,25.031727762892007,1.9517923408349098,LOW,3,False,28.55685188052471,32.526019723976546,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.6000000000000001,few_rotation_points;low_inclination,irregular_T_ge_9,24.0,0.150602409639,,,,False
F563-1,holdout,K_scale_tail_spiral,K_compact_finite,19.41102237033079,3.206830870956324,MEDIUM,2,False,24.695833689633552,18.44568739642176,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.65,low_inclination;large_distance_error,irregular_T_ge_9,25.0,0.200408997955,,,,False
F568-1,holdout,K_thick_flared,K_compact_finite,20.71531726578376,10.461559825337115,HIGH,3,False,33.500610533676024,29.974188853658532,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.7000000000000001,low_inclination;vertical_geometry_proxy_only,mid_T_3_5,26.0,0.106945975744,,,,False
IC2574,holdout,K_scale_tail_spiral,K_exponential_disk,3.1133225699753826,2.4051639719421294,HIGH,3,False,7.5138151552258,13.51316984455882,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,75.0,0.051150895141,,,,False
IC4202,holdout,K_compact_finite,K_compact_finite,25.94895537395008,0.003651518911269136,LOW,1,True,26.10151495917691,26.12803028857914,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,mid_T_3_5,90.0,0.099601593625,,,,False
NGC0024,holdout,K_thick_flared,K_scale_tail_spiral,19.4023711952362,3.2578040655867078,MEDIUM,2,False,22.157814084096987,20.65262257294937,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.9,vertical_geometry_proxy_only,mid_T_3_5,64.0,0.049315068493,,,,False
NGC2683,holdout,K_thick_flared,K_exponential_disk,9.157146024818244,0.2845091165081417,LOW,2,False,10.314830339812676,14.151015414510422,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.9,vertical_geometry_proxy_only,mid_T_3_5,80.0,0.0499490316,,,,False
NGC3726,holdout,K_thick_flared,K_exponential_disk,20.82106779468054,1.5067414079756105,LOW,2,False,23.631876746434497,26.325344741169783,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.9,vertical_geometry_proxy_only,mid_T_3_5,53.0,0.138888888889,,,,False
NGC3949,holdout,K_thick_flared,K_exponential_disk,8.127652423851528,0.4255384197377925,LOW,2,False,8.950158230683527,11.297904622428334,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,mid_T_3_5,55.0,0.138888888889,,,,False
NGC3972,holdout,K_thick_flared,K_scale_tail_spiral,6.707975112059255,1.8859870012760682,HIGH,2,False,7.806428086864266,6.774747860896815,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.9,vertical_geometry_proxy_only,mid_T_3_5,77.0,0.138888888889,,,,False
NGC4013,holdout,K_compact_finite,K_exponential_disk,10.880207082032726,0.5119751169172133,LOW,4,False,12.273912532057183,14.334222058319126,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,mid_T_3_5,89.0,0.138888888889,,,,False
NGC4088,holdout,K_thick_flared,K_exponential_disk,36.488889677922,1.3224980298656916,LOW,2,False,38.98773649865968,42.18384581680386,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.9,vertical_geometry_proxy_only,mid_T_3_5,69.0,0.138888888889,,,,False
NGC4183,holdout,K_exponential_disk,K_thick_flared,5.86059025816848,0.36399102976518627,LOW,2,False,6.489693491114096,10.354993594406714,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,late_T_6_8,82.0,0.138888888889,K_exponential_disk,ACCEPTED_EXTERNAL_EXPONENTIAL_DISK_LABEL_CAVEATED_EDGEON,CAVEATED_NARROW_DRY_RUN_SUPPORT_POOL,False
NGC4214,holdout,K_scale_tail_spiral,K_scale_tail_spiral,15.405984093871057,3.5872606451349593,MEDIUM,1,True,17.991047303306434,15.27888150484993,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.8,low_inclination,irregular_T_ge_9,15.0,0.048780487805,,,,False
NGC4389,holdout,K_thick_flared,K_exponential_disk,45.36314224888892,0.6247715866102652,LOW,2,False,46.55692853885728,48.50110279830857,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.7000000000000001,few_rotation_points;vertical_geometry_proxy_only,mid_T_3_5,50.0,0.138888888889,,,,False
NGC5907,holdout,K_thick_flared,K_thick_flared,16.383392586061934,0.3107563914199041,LOW,1,True,16.785509985459306,18.59536481497724,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.9,vertical_geometry_proxy_only,mid_T_3_5,88.0,0.052023121387,,,,False
NGC5985,holdout,K_compact_finite,K_compact_finite,66.20241092491683,5.357091052703993,LOW,1,True,72.28739039126062,69.40357999391347,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,mid_T_3_5,60.0,0.249370277078,,,,False
NGC6789,holdout,K_scale_tail_spiral,K_scale_tail_spiral,11.536643562882814,4.619811097816923,HIGH,1,True,15.897752239176857,15.396246199577478,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.8,few_rotation_points,irregular_T_ge_9,43.0,0.051136363636,,,,False
NGC6946,holdout,K_compact_finite,K_exponential_disk,12.791054074078565,1.1506444974171632,LOW,4,False,15.02544742520658,17.728143095419597,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.65,low_inclination;large_distance_error,late_T_6_8,38.0,0.300724637681,,,,False
NGC7331,holdout,K_thick_flared,K_exponential_disk,23.472976891253797,1.0495935470766575,LOW,2,False,25.485065060071012,29.311675230419706,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.9,vertical_geometry_proxy_only,mid_T_3_5,75.0,0.102040816327,,,,False
UGC00731,holdout,K_scale_tail_spiral,K_scale_tail_spiral,11.310048467799865,2.790600486138466,MEDIUM,1,True,12.8454530669031,11.466827035781066,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,irregular_T_ge_9,57.0,0.3,,,,False
UGC00891,holdout,K_scale_tail_spiral,K_thick_flared,5.9786127599021475,0.5023480727386387,LOW,3,False,5.958365558298525,7.682081654505746,False,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.65,few_rotation_points;large_distance_error,irregular_T_ge_9,60.0,0.303921568627,,,,False
UGC02023,holdout,K_scale_tail_spiral,K_exponential_disk,10.049805645594558,1.2107664222410701,MEDIUM,3,False,12.19804888404624,13.979836766957424,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.45,few_rotation_points;low_inclination;large_distance_error,irregular_T_ge_9,19.0,0.298076923077,,,,False
UGC02259,holdout,K_exponential_disk,K_scale_tail_spiral,14.207920733489985,3.5288351239031748,MEDIUM,3,False,16.43514083306515,13.66144175213647,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,late_T_6_8,41.0,0.295238095238,,,,False
UGC03580,holdout,K_compact_finite,K_exponential_disk,24.73362458096793,0.4154349036827405,LOW,4,False,25.49452615076704,27.172706555031343,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,early_T_le_2,63.0,0.251207729469,,,,False
UGC04305,holdout,K_scale_tail_spiral,K_exponential_disk,21.776245010393428,1.2377010950343532,LOW,3,False,23.999621706482884,26.588364190715332,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,40.0,0.049275362319,,,,False
UGC04499,holdout,K_scale_tail_spiral,K_exponential_disk,4.149036346971774,0.9467101315718409,MEDIUM,3,False,6.040634191372928,8.985021588452573,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,late_T_6_8,50.0,0.3,,,,False
UGC05414,holdout,K_scale_tail_spiral,K_exponential_disk,4.236617268537706,1.2565737640369692,HIGH,3,False,6.4008126343112375,8.261884143933315,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.65,few_rotation_points;large_distance_error,irregular_T_ge_9,55.0,0.3,,,,False
UGC05716,holdout,K_scale_tail_spiral,K_scale_tail_spiral,4.212043634396867,3.3076878833186294,HIGH,1,True,5.844868825954693,5.605647282808069,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,irregular_T_ge_9,54.0,0.24882629108,,,,False
UGC05829,holdout,K_scale_tail_spiral,K_thick_flared,6.112867141823444,1.026089303731581,MEDIUM,3,False,6.222677845510406,8.606905396927852,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.65,low_inclination;large_distance_error,irregular_T_ge_9,34.0,0.299768518519,,,,False
UGC05986,holdout,K_scale_tail_spiral,K_scale_tail_spiral,15.662107914873872,3.103889076411594,MEDIUM,1,True,17.532159853325275,15.059299363743824,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,irregular_T_ge_9,90.0,0.300115874855,,,,False
UGC06818,holdout,K_scale_tail_spiral,K_exponential_disk,11.039634583678032,0.7244728730179038,LOW,3,False,12.386120759877572,13.66362183441789,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,75.0,0.138888888889,,,,False
UGC06917,holdout,K_scale_tail_spiral,K_scale_tail_spiral,4.9226251653474105,2.8530309747306832,HIGH,1,True,6.430936477869006,4.61507933369384,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,56.0,0.138888888889,,,,False
UGC06983,holdout,K_scale_tail_spiral,K_scale_tail_spiral,9.70055392147702,2.8887800872899874,HIGH,1,True,11.036839059186455,9.148970751386091,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,late_T_6_8,49.0,0.138888888889,,,,False
UGC07151,holdout,K_exponential_disk,K_exponential_disk,3.9908842627101606,0.019627219946123375,LOW,1,True,4.3119123214161394,5.615951252005322,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,late_T_6_8,90.0,0.049490538574,,,,False
UGC07261,holdout,K_exponential_disk,K_scale_tail_spiral,4.120854225707304,0.7475400240315668,MEDIUM,3,False,4.296839337715027,4.6168185611277694,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.45,few_rotation_points;low_inclination;large_distance_error,late_T_6_8,30.0,0.3,,,,False
UGC07577,holdout,K_scale_tail_spiral,K_exponential_disk,8.637803104765316,1.023602607636203,MEDIUM,3,False,10.601721967205515,13.125766123408509,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,63.0,0.050193050193,,,,False
UGC07603,holdout,K_exponential_disk,K_scale_tail_spiral,6.228672590646333,4.001952810470218,HIGH,3,False,9.31889729578436,6.8156573361002755,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,late_T_6_8,78.0,0.3,,,,False
UGC08699,holdout,K_compact_finite,K_compact_finite,12.62705584127144,1.8202505576080998,MEDIUM,1,True,15.184307759904634,13.478161966003247,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,early_T_le_2,73.0,0.249872773537,,,,False
UGC11914,holdout,K_compact_finite,K_compact_finite,23.229579108902147,9.950092601093115,HIGH,1,True,33.820143068839116,30.19760108867859,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.65,low_inclination;large_distance_error,early_T_le_2,31.0,0.301775147929,,,,False
UGC12506,holdout,K_exponential_disk,K_compact_finite,37.36329931819013,2.7851153865486538,LOW,4,False,40.697842583379504,38.12269540109571,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,late_T_6_8,86.0,0.100397614314,,,,False
UGCA444,holdout,K_scale_tail_spiral,K_thick_flared,2.667232203701805,0.07143927255472304,LOW,3,False,3.0580094444767805,4.92757139254757,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,78.0,0.051020408163,,,,False
D512-2,train,K_scale_tail_spiral,K_thick_flared,1.3128846257400082,0.3450621061543133,HIGH,3,False,2.5139498188497846,6.561883790113319,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.65,few_rotation_points;large_distance_error,irregular_T_ge_9,56.0,0.3,,,,False
D564-8,train,K_scale_tail_spiral,K_thick_flared,2.653460866271324,0.2898617739646898,MEDIUM,3,False,3.399294537690645,7.16409055590109,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.8,few_rotation_points,irregular_T_ge_9,63.0,0.031854379977,,,,False
D631-7,train,K_scale_tail_spiral,K_thick_flared,10.51780642966014,0.3069839420726481,LOW,3,False,10.35809255392164,10.521817679771978,False,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,59.0,0.023316062176,,,,False
DDO064,train,K_scale_tail_spiral,K_thick_flared,2.903941458822578,0.7878570103902431,HIGH,3,False,2.7332917850477236,3.548332793859171,False,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,irregular_T_ge_9,60.0,0.3,,,,False
DDO154,train,K_scale_tail_spiral,K_scale_tail_spiral,4.184305567259078,0.2785569427844372,LOW,1,True,3.544983778635305,4.451832612674567,False,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,64.0,0.049504950495,,,,False
DDO161,train,K_scale_tail_spiral,K_exponential_disk,9.714650953157456,2.4164128129715596,MEDIUM,3,False,13.579219703882607,18.569662825271475,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,irregular_T_ge_9,70.0,0.3,,,,False
DDO168,train,K_scale_tail_spiral,K_exponential_disk,5.837267301925055,0.5513074768230082,LOW,3,False,6.727638673752554,7.879974549733663,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,irregular_T_ge_9,63.0,0.049411764706,,,,False
DDO170,train,K_scale_tail_spiral,K_exponential_disk,2.994603926554938,2.4722642937456096,HIGH,3,False,7.480201139884626,14.370201282342643,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.85,large_distance_error,irregular_T_ge_9,66.0,0.3,,,,False
ESO079-G014,train,K_thick_flared,K_scale_tail_spiral,11.745255133211652,1.4301309889542235,MEDIUM,2,False,12.522654026496925,11.397542407404476,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.75,large_distance_error;vertical_geometry_proxy_only,mid_T_3_5,79.0,0.249825783972,,,,False
ESO444-G084,train,K_scale_tail_spiral,K_scale_tail_spiral,9.653687321801224,5.047940940017604,HIGH,1,True,13.917114692092932,10.513209179623455,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.6000000000000001,few_rotation_points;low_inclination,irregular_T_ge_9,32.0,0.099378881988,,,,False
ESO563-G021,train,K_thick_flared,K_compact_finite,42.79768067708103,4.317158010285873,MEDIUM,3,False,47.72714916375959,44.48667176928297,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.9,vertical_geometry_proxy_only,mid_T_3_5,83.0,0.149671052632,,,,False
F563-V1,train,K_scale_tail_spiral,K_exponential_disk,19.261744797899087,2.568990808655176,MEDIUM,3,False,23.66949222725619,29.338957960123544,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.8,few_rotation_points,irregular_T_ge_9,60.0,0.2,,,,False
F563-V2,train,K_scale_tail_spiral,K_scale_tail_spiral,23.80775763175782,3.349269956916636,MEDIUM,1,True,26.23894780335044,23.428832485173935,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.8,low_inclination,irregular_T_ge_9,29.0,0.19932998325,,,,False
F565-V2,train,K_scale_tail_spiral,K_scale_tail_spiral,9.108198192477284,4.602726118928217,HIGH,1,True,11.96077168843088,6.916649069723871,True,False,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.65,few_rotation_points;large_distance_error,irregular_T_ge_9,60.0,0.200772200772,,,,False
F567-2,train,K_scale_tail_spiral,K_exponential_disk,11.02433753494102,1.3602290397563,MEDIUM,3,False,14.016635993218337,19.406231954265397,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,0.6000000000000001,few_rotation_points;low_inclination,irregular_T_ge_9,20.0,0.149367088608,,,,False
F568-3,train,K_exponential_disk,K_scale_tail_spiral,7.860002856544251,2.1780164802140787,HIGH,3,False,9.11490703879206,7.976415983117765,True,True,inverse_rotation_diagnostic_not_residual_blind_label_not_endpoint,1.0,none,late_T_6_8,40.0,0.1,,,,False
