split,formula_family,failure_mode,n_galaxies,hard_beats_wrong_fraction,tau_l2_beats_tpg_v6_fraction,tau_l2_beats_mond_fraction,median_matched_minus_wrong,median_tau_l2_minus_tpg_v6,median_tau_l2_minus_mond
holdout,K_compact_finite,NO_SPECIFICITY_NO_BASELINE_TRANSFER,1,0.0,0.0,0.0,5.325027735377471,2.5448289731256963,0.4845194468637537
holdout,K_compact_finite,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,1,1.0,1.0,1.0,-7.419690435950656,-6.017688497279835,-3.133878099932687
holdout,K_exponential_disk,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,1,1.0,0.0,1.0,-7.535629576581786,1.0686944178543198,-2.7966056854382986
holdout,K_scale_tail_spiral,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,4,1.0,0.25,0.75,-24.80617011455319,0.054270779402558256,-2.2554319891017394
holdout,K_scale_tail_spiral,SPECIFICITY_SURVIVES_NORMALIZATION_WEAK,2,1.0,0.0,0.0,-11.387723860882268,0.9919474477496273,2.843810173737392
holdout,K_scale_tail_spiral,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,4,1.0,1.0,1.0,-22.451646369734704,-0.6434342947736775,-2.5442069101453333
holdout,K_thick_flared,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,2,1.0,0.0,1.0,-2.1025674619506134,2.401024111308806,-0.42199584079903474
holdout,K_thick_flared,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,4,1.0,0.0,0.0,-9.406351777030203,6.229938326411288,3.7093311331712417
holdout,K_thick_flared,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,2,1.0,1.0,1.0,-16.22704484149861,-2.618447281327045,-3.0746942980689664
train,K_compact_finite,NO_SPECIFICITY_NO_BASELINE_TRANSFER,3,0.0,0.0,0.3333333333333333,8.893300121960994,3.403002769031202,2.613337588762718
train,K_compact_finite,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,2,1.0,1.0,1.0,-3.68176858333928,-4.971363094937003,-2.016649428844591
train,K_exponential_disk,NO_SPECIFICITY_NO_BASELINE_TRANSFER,2,0.0,1.0,0.0,1.6011856004674243,-1.5875647470990906,1.3755545986399569
train,K_exponential_disk,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,3,1.0,0.3333333333333333,0.6666666666666666,-8.64140085429236,0.5929379729702529,-0.8306910068736704
train,K_exponential_disk,SPECIFICITY_SURVIVES_NORMALIZATION_WEAK,1,1.0,0.0,0.0,-28.974063017415357,1.375800958075038,1.0413100202003367
train,K_exponential_disk,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,3,1.0,0.0,0.0,-15.27138913969902,0.7993246715121654,0.4741980957008564
train,K_exponential_disk,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,3,1.0,1.0,1.0,-8.549290506808426,-0.5552299969527228,-1.8658908903525404
train,K_scale_tail_spiral,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,2,1.0,0.5,0.5,-22.22333183402791,-0.31973662187583685,0.5042157377239289
train,K_scale_tail_spiral,SPECIFICITY_SURVIVES_NORMALIZATION_WEAK,2,1.0,0.0,0.0,-19.99609160998456,1.1303338049174902,4.943547007423035
train,K_scale_tail_spiral,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,7,1.0,0.0,0.0,-35.5602969283881,0.8517970443453962,3.2732310848997734
train,K_scale_tail_spiral,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,9,1.0,1.0,1.0,-34.99007958381488,-0.8743834212387087,-3.8544250869792727
train,K_thick_flared,NO_SPECIFICITY_NO_BASELINE_TRANSFER,1,0.0,1.0,1.0,1.5444565352422934,-3.868117904463524,-0.7775225775983223
train,K_thick_flared,SPECIFICITY_PARTLY_TRANSFERS_TO_BASELINES,4,1.0,0.25,0.75,-3.965735824723402,0.632047041257926,-1.3860651897971334
train,K_thick_flared,SPECIFICITY_SURVIVES_PROJECTION_SCALE_REPAIR_NEEDED,10,1.0,0.0,0.0,-3.595962838101692,3.9063671265877815,2.102229089615074
train,K_thick_flared,SPECIFICITY_TRANSFERS_TO_BOTH_BASELINES,2,1.0,1.0,1.0,-2.9218638256533147,-1.0657902704918474,-2.9653610666921972
