field,required_for_xw_candidate,initial_value,may_use_endpoint_scores,claim_boundary
digitizer_id,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
digitization_timestamp_utc,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
inner_disk_axis_definition,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
inner_disk_axis_pa_deg,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
outer_ridge_axis_side_a_pa_deg,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
outer_ridge_axis_side_b_pa_deg,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
onset_radius_side_a_arcmin,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
onset_radius_side_b_arcmin,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
side_combination_rule_applied,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
xw_combined_arcmin,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
uncertainty_arcmin,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
crosscheck_page77_consistency,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
source_images_used,True,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
digitization_notes,False,DIGITIZATION_RESPONSE_PENDING,False,s4g75_ngc4088_channel_map_digitization_protocol_not_endpoint
