galaxy,panel_id,row,col,channel_velocity_kms,roi_x0_px,roi_y0_px,roi_x1_px,roi_y1_px,panel_status,measurement_inner_axis_px,measurement_outer_ridge_axis_px,measurement_onset_radius_arcmin,measurement_uncertainty_arcmin,side_label,uses_vobs_or_residual,x_warp_onset_available,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC4088,r1c1,1,1,568,0,22,171,179,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r1c2,1,2,585,171,22,342,179,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r1c3,1,3,601,342,22,513,179,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r1c4,1,4,618,513,22,684,179,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r2c1,2,1,634,0,179,171,336,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r2c2,2,2,651,171,179,342,336,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r2c3,2,3,667,342,179,513,336,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r2c4,2,4,684,513,179,684,336,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r3c1,3,1,701,0,336,171,493,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r3c2,3,2,717,171,336,342,493,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r3c3,3,3,734,342,336,513,493,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r3c4,3,4,750,513,336,684,493,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r4c1,4,1,767,0,493,171,650,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r4c2,4,2,783,171,493,342,650,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r4c3,4,3,800,342,493,513,650,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r4c4,4,4,817,513,493,684,650,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r5c1,5,1,833,0,650,171,807,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r5c2,5,2,850,171,650,342,807,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r5c3,5,3,866,342,650,513,807,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r5c4,5,4,883,513,650,684,807,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r6c1,6,1,899,0,807,171,964,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r6c2,6,2,916,171,807,342,964,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r6c3,6,3,933,342,807,513,964,MEASUREMENT_TARGET,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
NGC4088,r6c4,6,4,,513,807,684,964,NON_TARGET_EDGE_PANEL,,,,,,False,False,False,False,s4g75_ngc4088_channel_map_digitization_worksheet_not_endpoint
