galaxy,split,r,x_R_over_RHI,vn,v_v6,v_mond,vobs,delta_v2_warp_candidate_p1,delta_v2_warp_candidate_p2,v_warp_candidate_p1,v_warp_candidate_p2,uses_vobs_for_generation,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC4088,holdout,1.74,0.0781918474999724,96.9584818362994,115.17799165769352,117.44130195086554,84.9,0.0,0.0,96.9584818362994,96.9584818362994,False,False,False,s4g75_ngc4088_readout_preflight_profile_not_endpoint
NGC4088,holdout,3.5,0.15728245186776058,127.47013944449893,154.38204559171825,157.33782165524056,136.0,0.0,0.0,127.47013944449893,127.47013944449893,False,False,False,s4g75_ngc4088_readout_preflight_profile_not_endpoint
NGC4088,holdout,5.24,0.235474299367733,171.20843495575795,202.51799266900144,206.5140908238078,162.0,0.0,0.0,171.20843495575795,171.20843495575795,False,False,False,s4g75_ngc4088_readout_preflight_profile_not_endpoint
NGC4088,holdout,6.98,0.3136661468677054,189.42448284210784,226.41930653075633,230.83703463110368,179.0,363.20308427436106,59.54148922530495,190.38077052127497,189.58158188290682,False,False,False,s4g75_ngc4088_readout_preflight_profile_not_endpoint
NGC4088,holdout,8.72,0.3918579943676778,177.32038475595525,222.42097515571095,226.38794443510452,182.0,1270.1533485537557,208.221860418648,180.8664485153445,177.90655049890282,False,False,False,s4g75_ngc4088_readout_preflight_profile_not_endpoint
NGC4088,holdout,10.47,0.4704992203015581,169.962064296713,222.03399227198597,225.59386786491223,179.0,2182.3159706738365,719.6997650660701,176.26519585747448,172.06627521122806,False,False,False,s4g75_ngc4088_readout_preflight_profile_not_endpoint
NGC4088,holdout,12.19,0.5477923109337147,163.9399321397932,222.10930118504243,225.32345364652272,174.0,3078.841519271858,1263.4939502812633,173.07554093306152,167.74920357569886,False,False,False,s4g75_ngc4088_readout_preflight_profile_not_endpoint
NGC4088,holdout,13.94,0.626433536867595,151.08550178624023,215.381726767486,218.14456220987327,171.0,3991.004141391938,1987.6667369977115,163.7615125461167,157.52617429175925,False,False,False,s4g75_ngc4088_readout_preflight_profile_not_endpoint
NGC4088,holdout,15.68,0.7046253843675674,141.2326654850074,210.570287905297,213.15657813085653,168.0,4897.954405671333,3043.2973724704507,157.62176310925892,151.6244148297709,False,False,False,s4g75_ngc4088_readout_preflight_profile_not_endpoint
NGC4088,holdout,17.42,0.7828172318675399,133.5799586390114,207.1220306994978,209.7649343684222,165.0,5804.904669950729,4098.92800794319,153.78072057299877,148.13012306058206,False,False,False,s4g75_ngc4088_readout_preflight_profile_not_endpoint
NGC4088,holdout,19.28,0.866401620574407,126.40514981597862,203.71557098320503,206.6286972418807,171.0,6774.403228318357,5656.649753662748,150.83986584559918,147.08810847129263,False,False,False,s4g75_ngc4088_readout_preflight_profile_not_endpoint
NGC4088,holdout,21.48,0.9652648760341421,118.91604265194836,199.86006002694677,203.33421260713777,174.0,7921.121953269315,7630.509853988166,148.5333200102567,147.55180464497263,False,False,False,s4g75_ngc4088_readout_preflight_profile_not_endpoint
