galaxy,x_R_over_RHI,x_warp_onset_control,turn_on_power_control,q_warp,basis_value,grid_status,uses_vobs_or_residual,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC4088,0.0,0.5,1.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.25,0.5,1.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.5,0.5,1.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.75,0.5,1.0,1.0,0.5,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,1.0,0.5,1.0,1.0,1.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.0,0.5,2.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.25,0.5,2.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.5,0.5,2.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.75,0.5,2.0,1.0,0.25,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,1.0,0.5,2.0,1.0,1.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.0,0.7,1.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.25,0.7,1.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.5,0.7,1.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.75,0.7,1.0,1.0,0.1666666666666668,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,1.0,0.7,1.0,1.0,1.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.0,0.7,2.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.25,0.7,2.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.5,0.7,2.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.75,0.7,2.0,1.0,0.02777777777777782,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,1.0,0.7,2.0,1.0,1.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.0,0.85,1.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.25,0.85,1.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.5,0.85,1.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.75,0.85,1.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,1.0,0.85,1.0,1.0,1.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.0,0.85,2.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.25,0.85,2.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.5,0.85,2.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,0.75,0.85,2.0,1.0,0.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
NGC4088,1.0,0.85,2.0,1.0,1.0,SENSITIVITY_BASIS_NOT_ENDPOINT,False,False,False,s4g75_ngc4088_warp_closure_mapping_rule_not_endpoint
