galaxy,formula_family,source_priority,observable_driver_type,kernel_promotion_status,kernel_specific_source_status,inclination_deg,rdisk_kpc,rhi_kpc,sparc_hi_ref,dustpedia_status,phangs_status,s4g_model_components,s4g_disk_component_source,blocker_class,direct_kernel_observable_needed,primary_acquisition_lane,direct_source_targets,fallback_theorem_route,theorem_support_status,external_context,external_context_url,next_action,acquisition_priority,strict_kernel_ready,endpoint_scores_allowed,endpoint_scores_computed,claim_boundary
NGC4214,K_scale_tail_spiral,P0_DIRECT_SOURCE_NATIVE_REQUIRED,tail_inner_cutoff_candidate,KERNEL_READY_CONDITIONAL,PARTIAL_HI_EXTENT_READY_TRANSITION_MISSING,15.0,0.51,5.84,Le14,DUSTPEDIA_MATCHED,NO_PHANGS_PUBLIC_SAMPLE_MATCH,D;BAR,D:expdisk_hr3,SCALE_TAIL_TRANSITION_MISSING,outer_disk_break_radius_kpc; truncation_radius_kpc; HI_radial_profile_transition_radius_kpc; tail_inner_radius_kpc; tail_cutoff_radius_kpc,HI_PROFILE_OR_OUTER_DISK_TRANSITION_EXTRACTION,resolved HI radial surface-density profile; optical/IR outer-disk break or truncation profile; source-native transition radius,RHI_CONSERVATIVE_UPPER_CUTOFF_THEOREM,THEOREM_CONDITIONAL_RHI_UPPER_CUTOFF_CANDIDATE,"Wang et al. 2014 reports homogeneous outer HI profiles and an outer exponential scale of about 0.18 R1; useful context only, not a galaxy-specific direct transition measurement.",https://arxiv.org/abs/1401.8164,search the SPARC HI reference and resolved HI/outer-disk profile sources for a residual-blind transition/break/truncation radius; otherwise keep RHI only as a theorem-conditional upper cutoff,P0_DIRECT_TRANSITION_SEARCH,False,False,False,s4g75_remaining_kernel_acquisition_ledger_not_endpoint
UGC06917,K_scale_tail_spiral,P0_DIRECT_SOURCE_NATIVE_REQUIRED,tail_inner_cutoff_candidate,KERNEL_READY_CONDITIONAL,PARTIAL_HI_EXTENT_READY_TRANSITION_MISSING,56.0,2.76,12.67,"VS01,SV98",NO_DIRECT_DUSTPEDIA_MATCH,NO_PHANGS_PUBLIC_SAMPLE_MATCH,D;BAR,D:expdisk_hr3,SCALE_TAIL_TRANSITION_MISSING,outer_disk_break_radius_kpc; truncation_radius_kpc; HI_radial_profile_transition_radius_kpc; tail_inner_radius_kpc; tail_cutoff_radius_kpc,HI_PROFILE_OR_OUTER_DISK_TRANSITION_EXTRACTION,resolved HI radial surface-density profile; optical/IR outer-disk break or truncation profile; source-native transition radius,RHI_CONSERVATIVE_UPPER_CUTOFF_THEOREM,THEOREM_CONDITIONAL_RHI_UPPER_CUTOFF_CANDIDATE,"Wang et al. 2014 reports homogeneous outer HI profiles and an outer exponential scale of about 0.18 R1; useful context only, not a galaxy-specific direct transition measurement.",https://arxiv.org/abs/1401.8164,search the SPARC HI reference and resolved HI/outer-disk profile sources for a residual-blind transition/break/truncation radius; otherwise keep RHI only as a theorem-conditional upper cutoff,P0_DIRECT_TRANSITION_SEARCH,False,False,False,s4g75_remaining_kernel_acquisition_ledger_not_endpoint
UGC06983,K_scale_tail_spiral,P0_DIRECT_SOURCE_NATIVE_REQUIRED,tail_inner_cutoff_candidate,KERNEL_READY_CONDITIONAL,PARTIAL_HI_EXTENT_READY_TRANSITION_MISSING,49.0,3.21,16.07,"VS01,SV98",NO_DIRECT_DUSTPEDIA_MATCH,NO_PHANGS_PUBLIC_SAMPLE_MATCH,D;BAR,D:expdisk_hr3,SCALE_TAIL_TRANSITION_MISSING,outer_disk_break_radius_kpc; truncation_radius_kpc; HI_radial_profile_transition_radius_kpc; tail_inner_radius_kpc; tail_cutoff_radius_kpc,HI_PROFILE_OR_OUTER_DISK_TRANSITION_EXTRACTION,resolved HI radial surface-density profile; optical/IR outer-disk break or truncation profile; source-native transition radius,RHI_CONSERVATIVE_UPPER_CUTOFF_THEOREM,THEOREM_CONDITIONAL_RHI_UPPER_CUTOFF_CANDIDATE,"Wang et al. 2014 reports homogeneous outer HI profiles and an outer exponential scale of about 0.18 R1; useful context only, not a galaxy-specific direct transition measurement.",https://arxiv.org/abs/1401.8164,search the SPARC HI reference and resolved HI/outer-disk profile sources for a residual-blind transition/break/truncation radius; otherwise keep RHI only as a theorem-conditional upper cutoff,P0_DIRECT_TRANSITION_SEARCH,False,False,False,s4g75_remaining_kernel_acquisition_ledger_not_endpoint
NGC0024,K_thick_flared,P0_DIRECT_SOURCE_NATIVE_REQUIRED,thickness_h_over_rs_candidate,KERNEL_PROXY_ONLY,KERNEL_SOURCE_MISSING_DIRECT_VERTICAL_GEOMETRY,64.0,1.34,7.29,"Di08,Ch06",NO_DIRECT_DUSTPEDIA_MATCH,NO_PHANGS_PUBLIC_SAMPLE_MATCH,D;BAR,D:expdisk_hr3,VERTICAL_KERNEL_MISSING,vertical_scale_height_kpc; h_over_Rs; flare_radius_kpc; warp_radius_kpc; gas_plane_thickness_or_warp,KINEMATIC_OR_MULTI_BAND_THICKNESS_PROXY_REVIEW,edge-on disk decomposition; vertical light profile; flare/warp measurement; gas-plane thickness from resolved HI/kinematics,EDGE_DISK_OR_INCLINATION_TO_VERTICAL_KERNEL_THEOREM,NO_ACCEPTED_VERTICAL_KERNEL_THEOREM_YET,"S4G/SPARC/HI coverage is useful context, but not a measured vertical kernel unless a vertical scale, flare, warp, or gas-plane thickness parameter is source-native.",,search source-native decompositions and resolved gas/warp studies for a measured or bounded vertical kernel; do not promote from inclination or generic disk-component naming alone,P2_NON_EDGE_ON_PROXY_REVIEW,False,False,False,s4g75_remaining_kernel_acquisition_ledger_not_endpoint
NGC2683,K_thick_flared,P0_DIRECT_SOURCE_NATIVE_REQUIRED,thickness_h_over_rs_candidate,KERNEL_PROXY_ONLY,KERNEL_SOURCE_MISSING_DIRECT_VERTICAL_GEOMETRY,80.0,2.18,13.79,"Sa96,Br92",NO_DIRECT_DUSTPEDIA_MATCH,NO_PHANGS_PUBLIC_SAMPLE_MATCH,D;BAR;N,D:expdisk_hr3,VERTICAL_KERNEL_MISSING,vertical_scale_height_kpc; h_over_Rs; flare_radius_kpc; warp_radius_kpc; gas_plane_thickness_or_warp,EDGE_ON_VERTICAL_DECOMPOSITION_OR_WARP_EXTRACTION,edge-on disk decomposition; vertical light profile; flare/warp measurement; gas-plane thickness from resolved HI/kinematics,EDGE_DISK_OR_INCLINATION_TO_VERTICAL_KERNEL_THEOREM,NO_ACCEPTED_VERTICAL_KERNEL_THEOREM_YET,"S4G/SPARC/HI coverage is useful context, but not a measured vertical kernel unless a vertical scale, flare, warp, or gas-plane thickness parameter is source-native.",,search source-native decompositions and resolved gas/warp studies for a measured or bounded vertical kernel; do not promote from inclination or generic disk-component naming alone,P0_EDGE_ON_VERTICAL_GEOMETRY_LITERATURE_SEARCH,False,False,False,s4g75_remaining_kernel_acquisition_ledger_not_endpoint
NGC3726,K_thick_flared,P0_DIRECT_SOURCE_NATIVE_REQUIRED,thickness_h_over_rs_candidate,KERNEL_PROXY_ONLY,KERNEL_SOURCE_MISSING_DIRECT_VERTICAL_GEOMETRY,53.0,3.4,22.2,"VS01,SV98",NO_DIRECT_DUSTPEDIA_MATCH,NO_PHANGS_PUBLIC_SAMPLE_MATCH,B;D,D:expdisk_hr3,VERTICAL_KERNEL_MISSING,vertical_scale_height_kpc; h_over_Rs; flare_radius_kpc; warp_radius_kpc; gas_plane_thickness_or_warp,KINEMATIC_OR_MULTI_BAND_THICKNESS_PROXY_REVIEW,edge-on disk decomposition; vertical light profile; flare/warp measurement; gas-plane thickness from resolved HI/kinematics,EDGE_DISK_OR_INCLINATION_TO_VERTICAL_KERNEL_THEOREM,NO_ACCEPTED_VERTICAL_KERNEL_THEOREM_YET,"S4G/SPARC/HI coverage is useful context, but not a measured vertical kernel unless a vertical scale, flare, warp, or gas-plane thickness parameter is source-native.",,search source-native decompositions and resolved gas/warp studies for a measured or bounded vertical kernel; do not promote from inclination or generic disk-component naming alone,P2_NON_EDGE_ON_PROXY_REVIEW,False,False,False,s4g75_remaining_kernel_acquisition_ledger_not_endpoint
NGC3949,K_thick_flared,P0_DIRECT_SOURCE_NATIVE_REQUIRED,thickness_h_over_rs_candidate,KERNEL_PROXY_ONLY,KERNEL_SOURCE_MISSING_DIRECT_VERTICAL_GEOMETRY,55.0,3.59,13.72,"VS01,SV98",NO_DIRECT_DUSTPEDIA_MATCH,NO_PHANGS_PUBLIC_SAMPLE_MATCH,B;D,D:expdisk_hr3,VERTICAL_KERNEL_MISSING,vertical_scale_height_kpc; h_over_Rs; flare_radius_kpc; warp_radius_kpc; gas_plane_thickness_or_warp,KINEMATIC_OR_MULTI_BAND_THICKNESS_PROXY_REVIEW,edge-on disk decomposition; vertical light profile; flare/warp measurement; gas-plane thickness from resolved HI/kinematics,EDGE_DISK_OR_INCLINATION_TO_VERTICAL_KERNEL_THEOREM,NO_ACCEPTED_VERTICAL_KERNEL_THEOREM_YET,"S4G/SPARC/HI coverage is useful context, but not a measured vertical kernel unless a vertical scale, flare, warp, or gas-plane thickness parameter is source-native.",,search source-native decompositions and resolved gas/warp studies for a measured or bounded vertical kernel; do not promote from inclination or generic disk-component naming alone,P2_NON_EDGE_ON_PROXY_REVIEW,False,False,False,s4g75_remaining_kernel_acquisition_ledger_not_endpoint
NGC4088,K_thick_flared,P0_DIRECT_SOURCE_NATIVE_REQUIRED,thickness_h_over_rs_candidate,KERNEL_PROXY_ONLY,KERNEL_SOURCE_MISSING_DIRECT_VERTICAL_GEOMETRY,69.0,2.58,22.25,"VS01,SV98",NO_DIRECT_DUSTPEDIA_MATCH,NO_PHANGS_PUBLIC_SAMPLE_MATCH,D;N,D:expdisk_hr3,VERTICAL_KERNEL_MISSING,vertical_scale_height_kpc; h_over_Rs; flare_radius_kpc; warp_radius_kpc; gas_plane_thickness_or_warp,FLARE_WARP_OR_GAS_PLANE_THICKNESS_EXTRACTION,edge-on disk decomposition; vertical light profile; flare/warp measurement; gas-plane thickness from resolved HI/kinematics,EDGE_DISK_OR_INCLINATION_TO_VERTICAL_KERNEL_THEOREM,NO_ACCEPTED_VERTICAL_KERNEL_THEOREM_YET,"S4G/SPARC/HI coverage is useful context, but not a measured vertical kernel unless a vertical scale, flare, warp, or gas-plane thickness parameter is source-native.",,search source-native decompositions and resolved gas/warp studies for a measured or bounded vertical kernel; do not promote from inclination or generic disk-component naming alone,P1_HIGH_INCLINATION_FLARE_WARP_SEARCH,False,False,False,s4g75_remaining_kernel_acquisition_ledger_not_endpoint
UGC00891,K_scale_tail_spiral,P1_PROMOTE_OR_CONFIRM_SOURCE_NATIVE,tail_inner_cutoff_candidate,KERNEL_READY_CONDITIONAL,PARTIAL_HI_EXTENT_READY_TRANSITION_MISSING,60.0,1.43,6.23,vZ97,NO_DIRECT_DUSTPEDIA_MATCH,NO_PHANGS_PUBLIC_SAMPLE_MATCH,D,D:expdisk_hr3,SCALE_TAIL_TRANSITION_MISSING,outer_disk_break_radius_kpc; truncation_radius_kpc; HI_radial_profile_transition_radius_kpc; tail_inner_radius_kpc; tail_cutoff_radius_kpc,HI_PROFILE_OR_OUTER_DISK_TRANSITION_EXTRACTION,resolved HI radial surface-density profile; optical/IR outer-disk break or truncation profile; source-native transition radius,RHI_CONSERVATIVE_UPPER_CUTOFF_THEOREM,THEOREM_CONDITIONAL_RHI_UPPER_CUTOFF_CANDIDATE,"Wang et al. 2014 reports homogeneous outer HI profiles and an outer exponential scale of about 0.18 R1; useful context only, not a galaxy-specific direct transition measurement.",https://arxiv.org/abs/1401.8164,search the SPARC HI reference and resolved HI/outer-disk profile sources for a residual-blind transition/break/truncation radius; otherwise keep RHI only as a theorem-conditional upper cutoff,P1_DIRECT_TRANSITION_OR_THEOREM_SEARCH,False,False,False,s4g75_remaining_kernel_acquisition_ledger_not_endpoint
UGC04499,K_scale_tail_spiral,P1_PROMOTE_OR_CONFIRM_SOURCE_NATIVE,tail_inner_cutoff_candidate,KERNEL_READY_CONDITIONAL,PARTIAL_HI_EXTENT_READY_TRANSITION_MISSING,50.0,1.73,8.67,"Sw09,Sw02",NO_DIRECT_DUSTPEDIA_MATCH,NO_PHANGS_PUBLIC_SAMPLE_MATCH,D,D:expdisk_hr3,SCALE_TAIL_TRANSITION_MISSING,outer_disk_break_radius_kpc; truncation_radius_kpc; HI_radial_profile_transition_radius_kpc; tail_inner_radius_kpc; tail_cutoff_radius_kpc,HI_PROFILE_OR_OUTER_DISK_TRANSITION_EXTRACTION,resolved HI radial surface-density profile; optical/IR outer-disk break or truncation profile; source-native transition radius,RHI_CONSERVATIVE_UPPER_CUTOFF_THEOREM,THEOREM_CONDITIONAL_RHI_UPPER_CUTOFF_CANDIDATE,"Wang et al. 2014 reports homogeneous outer HI profiles and an outer exponential scale of about 0.18 R1; useful context only, not a galaxy-specific direct transition measurement.",https://arxiv.org/abs/1401.8164,search the SPARC HI reference and resolved HI/outer-disk profile sources for a residual-blind transition/break/truncation radius; otherwise keep RHI only as a theorem-conditional upper cutoff,P1_DIRECT_TRANSITION_OR_THEOREM_SEARCH,False,False,False,s4g75_remaining_kernel_acquisition_ledger_not_endpoint
