galaxy,threshold_label,profile_type,break_radius_kpc,break_radius_error_kpc,inner_scale_kpc,outer_scale_kpc,sparc_rdisk_kpc,endpoint_blind,retrospective_lock,n_points,rdisk_kpc,outer3_required_clock_factor_median,outer3_required_clock_deviation_median,onset_radius_kpc_d1p5,onset_radius_over_rdisk_d1p5,onset_radius_kpc_d2p0,onset_radius_over_rdisk_d2p0,onset_radius_kpc_d3p0,onset_radius_over_rdisk_d3p0,claim_boundary,dynamic_onset_kpc,rdyn_over_rbreak,absolute_log_rdyn_over_rbreak,rdyn_over_rdisk
NGC3953,d1p5,II,10.960000038146973,0.1199999973177909,3.369999885559082,1.8600000143051147,4.89,True,True,8,4.89,0.7542439687827495,0.2457560312172505,3.5,0.7157464212678937,,,,,endpoint_derived_dynamic_onset_not_source_predictor,3.5,0.31934306458193695,1.1414893165050646,0.7157464212678937
NGC3992,d1p5,II,9.25,0.1899999976158142,12.390000343322754,2.559999942779541,4.96,True,True,9,4.96,0.5087265098261541,0.4912734901738459,9.19,1.8528225806451613,9.19,1.8528225806451613,36.7,7.399193548387097,endpoint_derived_dynamic_onset_not_source_predictor,9.19,0.9935135135135135,0.006507615156738189,1.8528225806451613
NGC4138,d1p5,III,3.3299999237060547,0.1599999964237213,0.9100000262260436,1.2799999713897705,1.51,True,True,7,1.51,0.5742493376737031,0.4257506623262969,5.24,3.4701986754966887,7.85,5.198675496688741,,,endpoint_derived_dynamic_onset_not_source_predictor,5.24,1.5735736096258677,0.45334921725169336,3.4701986754966887
NGC5055,d1p5,III,7.46999979019165,0.2000000029802322,2.130000114440918,3.3299999237060547,3.2,True,True,28,3.2,0.5208995602433133,0.4791004397566867,14.3,4.46875,22.96,7.175,37.4,11.687499999999998,endpoint_derived_dynamic_onset_not_source_predictor,14.3,1.9143240162839577,0.6493645662079299,4.46875
NGC5985,d1p5,II,9.420000076293944,0.1700000017881393,16.690000534057617,4.670000076293945,7.01,True,True,33,7.01,0.4925148398299682,0.5074851601700318,3.54,0.5049928673323824,3.54,0.5049928673323824,3.54,0.5049928673323824,endpoint_derived_dynamic_onset_not_source_predictor,3.54,0.37579617530032144,0.9787083695417332,0.5049928673323824
NGC7793,d1p5,II,2.799999952316284,0.1199999973177909,1.3200000524520874,0.8799999952316284,1.21,True,True,46,1.21,0.6220929975950867,0.3779070024049132,0.32,0.2644628099173554,3.33,2.7520661157024793,,,endpoint_derived_dynamic_onset_not_source_predictor,0.32,0.11428571623198844,2.1690536833396243,0.2644628099173554
NGC3992,d2p0_primary,II,9.25,0.1899999976158142,12.390000343322754,2.559999942779541,4.96,True,True,9,4.96,0.5087265098261541,0.4912734901738459,9.19,1.8528225806451613,9.19,1.8528225806451613,36.7,7.399193548387097,endpoint_derived_dynamic_onset_not_source_predictor,9.19,0.9935135135135135,0.006507615156738189,1.8528225806451613
NGC4138,d2p0_primary,III,3.3299999237060547,0.1599999964237213,0.9100000262260436,1.2799999713897705,1.51,True,True,7,1.51,0.5742493376737031,0.4257506623262969,5.24,3.4701986754966887,7.85,5.198675496688741,,,endpoint_derived_dynamic_onset_not_source_predictor,7.85,2.357357411366996,0.8575412507130594,5.198675496688741
NGC5055,d2p0_primary,III,7.46999979019165,0.2000000029802322,2.130000114440918,3.3299999237060547,3.2,True,True,28,3.2,0.5208995602433133,0.4791004397566867,14.3,4.46875,22.96,7.175,37.4,11.687499999999998,endpoint_derived_dynamic_onset_not_source_predictor,22.96,3.073627931040536,1.122858600393434,7.175
NGC5985,d2p0_primary,II,9.420000076293944,0.1700000017881393,16.690000534057617,4.670000076293945,7.01,True,True,33,7.01,0.4925148398299682,0.5074851601700318,3.54,0.5049928673323824,3.54,0.5049928673323824,3.54,0.5049928673323824,endpoint_derived_dynamic_onset_not_source_predictor,3.54,0.37579617530032144,0.9787083695417332,0.5049928673323824
NGC7793,d2p0_primary,II,2.799999952316284,0.1199999973177909,1.3200000524520874,0.8799999952316284,1.21,True,True,46,1.21,0.6220929975950867,0.3779070024049132,0.32,0.2644628099173554,3.33,2.7520661157024793,,,endpoint_derived_dynamic_onset_not_source_predictor,3.33,1.1892857345391297,0.1733529038410929,2.7520661157024793
NGC3992,d3p0,II,9.25,0.1899999976158142,12.390000343322754,2.559999942779541,4.96,True,True,9,4.96,0.5087265098261541,0.4912734901738459,9.19,1.8528225806451613,9.19,1.8528225806451613,36.7,7.399193548387097,endpoint_derived_dynamic_onset_not_source_predictor,36.7,3.967567567567568,1.3781532035361908,7.399193548387097
NGC5055,d3p0,III,7.46999979019165,0.2000000029802322,2.130000114440918,3.3299999237060547,3.2,True,True,28,3.2,0.5208995602433133,0.4791004397566867,14.3,4.46875,22.96,7.175,37.4,11.687499999999998,endpoint_derived_dynamic_onset_not_source_predictor,37.4,5.00669358105035,1.6107757333625545,11.687499999999998
NGC5985,d3p0,II,9.420000076293944,0.1700000017881393,16.690000534057617,4.670000076293945,7.01,True,True,33,7.01,0.4925148398299682,0.5074851601700318,3.54,0.5049928673323824,3.54,0.5049928673323824,3.54,0.5049928673323824,endpoint_derived_dynamic_onset_not_source_predictor,3.54,0.37579617530032144,0.9787083695417332,0.5049928673323824
