galaxy,normalized_sparc_name,match_status,source_name,profile_type,break_radius_kpc,break_radius_error_kpc,inner_scale_kpc,outer_scale_kpc,sparc_rdisk_kpc,source_catalog,source_paper,source_url,residual_blind,velocity_endpoint_used,claim_boundary
CamB,CAMB,NO_MATCH,,,,,,,0.47,J/MNRAS/441/1992,Laine_et_al_2014_MNRAS_441_1992,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/441/1992,True,False,source_only_disk_break_crossmatch_not_endpoint
D512-2,D5122,NO_MATCH,,,,,,,1.24,J/MNRAS/441/1992,Laine_et_al_2014_MNRAS_441_1992,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/441/1992,True,False,source_only_disk_break_crossmatch_not_endpoint
D564-8,D5648,NO_MATCH,,,,,,,0.61,J/MNRAS/441/1992,Laine_et_al_2014_MNRAS_441_1992,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/441/1992,True,False,source_only_disk_break_crossmatch_not_endpoint
D631-7,D6317,NO_MATCH,,,,,,,0.7,J/MNRAS/441/1992,Laine_et_al_2014_MNRAS_441_1992,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/441/1992,True,False,source_only_disk_break_crossmatch_not_endpoint
DDO064,DDO64,NO_MATCH,,,,,,,0.69,J/MNRAS/441/1992,Laine_et_al_2014_MNRAS_441_1992,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/441/1992,True,False,source_only_disk_break_crossmatch_not_endpoint
DDO154,DDO154,NO_MATCH,,,,,,,0.37,J/MNRAS/441/1992,Laine_et_al_2014_MNRAS_441_1992,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/441/1992,True,False,source_only_disk_break_crossmatch_not_endpoint
DDO161,DDO161,NO_MATCH,,,,,,,1.22,J/MNRAS/441/1992,Laine_et_al_2014_MNRAS_441_1992,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/441/1992,True,False,source_only_disk_break_crossmatch_not_endpoint
DDO168,DDO168,NO_MATCH,,,,,,,1.02,J/MNRAS/441/1992,Laine_et_al_2014_MNRAS_441_1992,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/441/1992,True,False,source_only_disk_break_crossmatch_not_endpoint
DDO170,DDO170,NO_MATCH,,,,,,,1.95,J/MNRAS/441/1992,Laine_et_al_2014_MNRAS_441_1992,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/441/1992,True,False,source_only_disk_break_crossmatch_not_endpoint
ESO079-G014,ESO79G14,NO_MATCH,,,,,,,5.08,J/MNRAS/441/1992,Laine_et_al_2014_MNRAS_441_1992,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/441/1992,True,False,source_only_disk_break_crossmatch_not_endpoint
