galaxy,match_status,s4g_name,a1_inner,a1_outer,residual_blind,velocity_endpoint_used
CamB,NO_MATCH,,,,True,False
D512-2,NO_MATCH,,,,True,False
D564-8,NO_MATCH,,,,True,False
D631-7,NO_MATCH,,,,True,False
DDO064,NO_MATCH,,,,True,False
DDO154,NO_MATCH,,,,True,False
DDO161,NO_MATCH,,,,True,False
DDO168,NO_MATCH,,,,True,False
DDO170,NO_MATCH,,,,True,False
ESO079-G014,NO_MATCH,,,,True,False
ESO116-G012,NO_MATCH,,,,True,False
ESO444-G084,NO_MATCH,,,,True,False
ESO563-G021,NO_MATCH,,,,True,False
F561-1,NO_MATCH,,,,True,False
F563-1,NO_MATCH,,,,True,False
F563-V1,NO_MATCH,,,,True,False
F563-V2,NO_MATCH,,,,True,False
F565-V2,NO_MATCH,,,,True,False
F567-2,NO_MATCH,,,,True,False
F568-1,NO_MATCH,,,,True,False
F568-3,NO_MATCH,,,,True,False
F568-V1,NO_MATCH,,,,True,False
F571-8,NO_MATCH,,,,True,False
F571-V1,NO_MATCH,,,,True,False
F574-1,NO_MATCH,,,,True,False
F574-2,NO_MATCH,,,,True,False
F579-V1,NO_MATCH,,,,True,False
F583-1,NO_MATCH,,,,True,False
F583-4,NO_MATCH,,,,True,False
IC2574,NO_MATCH,,,,True,False
IC4202,NO_MATCH,,,,True,False
KK98-251,NO_MATCH,,,,True,False
NGC0024,NO_MATCH,,,,True,False
NGC0055,NO_MATCH,,,,True,False
NGC0100,NO_MATCH,,,,True,False
NGC0247,NO_MATCH,,,,True,False
NGC0289,NO_MATCH,,,,True,False
NGC0300,NO_MATCH,,,,True,False
NGC0801,NO_MATCH,,,,True,False
NGC0891,NO_MATCH,,,,True,False
NGC1003,NO_MATCH,,,,True,False
NGC1090,NO_MATCH,,,,True,False
NGC1705,NO_MATCH,,,,True,False
NGC2366,NO_MATCH,,,,True,False
NGC2403,NO_MATCH,,,,True,False
NGC2683,NO_MATCH,,,,True,False
NGC2841,NO_MATCH,,,,True,False
NGC2903,NO_MATCH,,,,True,False
NGC2915,NO_MATCH,,,,True,False
NGC2955,NO_MATCH,,,,True,False
NGC2976,NO_MATCH,,,,True,False
NGC2998,NO_MATCH,,,,True,False
NGC3109,NO_MATCH,,,,True,False
NGC3198,NO_MATCH,,,,True,False
NGC3521,NO_MATCH,,,,True,False
NGC3726,NO_MATCH,,,,True,False
NGC3741,NO_MATCH,,,,True,False
NGC3769,NO_MATCH,,,,True,False
NGC3877,NO_MATCH,,,,True,False
NGC3893,NO_MATCH,,,,True,False
NGC3917,NO_MATCH,,,,True,False
NGC3949,NO_MATCH,,,,True,False
NGC3953,NO_MATCH,,,,True,False
NGC3972,NO_MATCH,,,,True,False
NGC3992,NO_MATCH,,,,True,False
NGC4010,NO_MATCH,,,,True,False
NGC4013,NO_MATCH,,,,True,False
NGC4051,NO_MATCH,,,,True,False
NGC4068,NO_MATCH,,,,True,False
NGC4085,NO_MATCH,,,,True,False
NGC4088,NO_MATCH,,,,True,False
NGC4100,NO_MATCH,,,,True,False
NGC4138,NO_MATCH,,,,True,False
NGC4157,NO_MATCH,,,,True,False
NGC4183,NO_MATCH,,,,True,False
NGC4214,UNIQUE_NAME_MATCH,NGC4214,0.39399999380111694,0.21699999272823334,True,False
NGC4217,NO_MATCH,,,,True,False
NGC4389,NO_MATCH,,,,True,False
NGC4559,NO_MATCH,,,,True,False
NGC5005,NO_MATCH,,,,True,False
NGC5033,NO_MATCH,,,,True,False
NGC5055,NO_MATCH,,,,True,False
NGC5371,NO_MATCH,,,,True,False
NGC5585,NO_MATCH,,,,True,False
NGC5907,NO_MATCH,,,,True,False
NGC5985,NO_MATCH,,,,True,False
NGC6015,NO_MATCH,,,,True,False
NGC6195,NO_MATCH,,,,True,False
NGC6503,NO_MATCH,,,,True,False
NGC6674,NO_MATCH,,,,True,False
NGC6789,NO_MATCH,,,,True,False
NGC6946,NO_MATCH,,,,True,False
NGC7331,NO_MATCH,,,,True,False
NGC7793,NO_MATCH,,,,True,False
NGC7814,NO_MATCH,,,,True,False
PGC51017,NO_MATCH,,,,True,False
UGC00128,NO_MATCH,,,,True,False
UGC00191,NO_MATCH,,,,True,False
UGC00634,NO_MATCH,,,,True,False
UGC00731,NO_MATCH,,,,True,False
UGC00891,NO_MATCH,,,,True,False
UGC01230,NO_MATCH,,,,True,False
UGC01281,NO_MATCH,,,,True,False
UGC02023,NO_MATCH,,,,True,False
UGC02259,NO_MATCH,,,,True,False
UGC02455,NO_MATCH,,,,True,False
UGC02487,NO_MATCH,,,,True,False
UGC02885,NO_MATCH,,,,True,False
UGC02916,NO_MATCH,,,,True,False
UGC02953,NO_MATCH,,,,True,False
