galaxy,normalized_sparc_name,sparc_distance_mpc,s4g_name_3p6,asymmetry_3p6,asymmetry_error_3p6,s4g_name_4p5,asymmetry_4p5,asymmetry_error_4p5,match_status,source_catalog,source_paper,source_url,residual_blind,velocity_endpoint_used,claim_boundary
CamB,CAMB,3.36,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
D512-2,D5122,15.2,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
D564-8,D5648,8.79,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
D631-7,D6317,7.72,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
DDO064,DDO64,6.8,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
DDO154,DDO154,4.04,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
DDO161,DDO161,7.5,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
DDO168,DDO168,4.25,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
DDO170,DDO170,15.4,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
ESO079-G014,ESO79G14,28.7,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
ESO116-G012,ESO116G12,13.0,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
ESO444-G084,ESO444G84,4.83,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
ESO563-G021,ESO563G21,60.8,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
F561-1,F5611,66.4,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
F563-1,F5631,48.9,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
F563-V1,F563V1,54.0,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
F563-V2,F563V2,59.7,,,,,,,INCOMPLETE_OR_NO_MATCH,J/ApJ/781/12/galaxies,Holwerda_et_al_2014_ApJ_781_12,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/781/12,True,False,source_only_stellar_asymmetry_crossmatch_not_endpoint
