line,velocity_km_s,channel_index_zero_based,held_path,lambda,fractional_squared_residual_improvement,model_rss,background_plane_rss
CO54,-202.00000100044525,38,0,1.0,0.02057309868525259,9.799063895800996e-06,1.0004895600322071e-05
CO54,-202.00000100044525,38,1,1.0,-0.014068052206089865,9.547921018807145e-06,9.415463782766635e-06
CO54,-202.00000100044525,38,2,1.0,-0.004881488896420594,1.1674351584135392e-05,1.1617640202484354e-05
CO54,-202.00000100044525,38,3,1.0,-0.013043167341065587,1.2714217198379095e-05,1.255051868297982e-05
CO54,-181.00000100038537,39,0,1.0,-0.018261925557248926,1.044920571432312e-05,1.0261805388240104e-05
CO54,-181.00000100038537,39,1,1.0,-0.005605288301510969,1.0488091235867121e-05,1.0429630151987102e-05
CO54,-181.00000100038537,39,2,1.0,0.06549345518159722,1.1437382401754804e-05,1.2238953772097298e-05
CO54,-181.00000100038537,39,3,1.0,-0.0531382808197971,1.1060290117644129e-05,1.0502220191857844e-05
CO54,-160.00000100039207,40,0,1.0,-0.0460096496457163,1.2190764780634277e-05,1.1654543325449522e-05
CO54,-160.00000100039207,40,1,1.0,-0.04925561554208868,8.391144029480465e-06,7.997235282982264e-06
CO54,-160.00000100039207,40,2,1.0,-0.01243549643456121,1.148026364934713e-05,1.1339254391787476e-05
CO54,-160.00000100039207,40,3,1.0,-0.034887523923150754,9.957425572663608e-06,9.62174665601924e-06
CO54,-139.00000100039875,41,0,1.0,0.019174954194772553,1.0984637414984795e-05,1.119938511150757e-05
CO54,-139.00000100039875,41,1,1.0,-0.025576059360259196,1.2614262513085547e-05,1.2299685038430165e-05
CO54,-139.00000100039875,41,2,1.0,-0.013810340960251244,1.0730629048890758e-05,1.0584454128498062e-05
CO54,-139.00000100039875,41,3,1.0,-0.07991354728361633,1.0962990016025253e-05,1.0151729315370887e-05
CO54,-118.0000010003389,42,0,1.0,-0.028246411987558284,1.0217493133910433e-05,9.936813797541424e-06
CO54,-118.0000010003389,42,1,1.0,-0.028064045960702,9.931579459633536e-06,9.660467651461058e-06
CO54,-118.0000010003389,42,2,1.0,-0.01046719803717111,1.1394990174670377e-05,1.1276952083951962e-05
CO54,-118.0000010003389,42,3,1.0,-0.12857677495692665,1.0135124723215775e-05,8.980447717969912e-06
CO54,-97.00000100034559,43,0,1.0,-0.033615305507461946,1.0116141432541432e-05,9.787143610044385e-06
CO54,-97.00000100034559,43,1,1.0,-3.095519432205762e-05,1.0769329103179165e-05,1.0768995746823169e-05
CO54,-97.00000100034559,43,2,1.0,-0.011427113527593846,1.0938608049794728e-05,1.081502354790917e-05
CO54,-97.00000100034559,43,3,1.0,0.006092237748457352,1.0241714431327502e-05,1.0304491845527495e-05
CO54,-76.00000100035228,44,0,1.0,-0.05675131928157251,9.88748302002841e-06,9.356489875735732e-06
CO54,-76.00000100035228,44,1,1.0,-0.03243577658808516,7.722948242497454e-06,7.480318309018371e-06
CO54,-76.00000100035228,44,2,1.0,-0.01439239207116172,9.299556304437093e-06,9.16761243195987e-06
CO54,-76.00000100035228,44,3,1.0,-0.041423189603571275,9.435818379315958e-06,9.060503427917522e-06
CO54,-55.000001000358985,45,0,1.0,-0.06158134569801321,1.0375141796910493e-05,9.773289478903389e-06
CO54,-55.000001000358985,45,1,1.0,-0.005058693991450092,7.826202259393034e-06,7.786811164542406e-06
CO54,-55.000001000358985,45,2,1.0,-0.08237944120790952,8.4100808184151e-06,7.769993126467417e-06
CO54,-55.000001000358985,45,3,1.0,-0.29355207329727384,9.484843216469185e-06,7.33240154166523e-06
CO54,-34.000001000299115,46,0,1.0,0.04295654593087139,8.152415692434374e-06,8.51833389358882e-06
CO54,-34.000001000299115,46,1,1.0,-0.06682173700012495,7.923573410414811e-06,7.427270307310848e-06
CO54,-34.000001000299115,46,2,1.0,-0.019713290378316595,1.0199446011994009e-05,1.0002268390765001e-05
CO54,-34.000001000299115,46,3,1.0,0.07577204443690144,7.311881073252195e-06,7.91133943659747e-06
CO54,-13.00000100030581,47,0,1.0,0.031245930357281293,7.835605620411371e-06,8.088333113584938e-06
CO54,-13.00000100030581,47,1,1.0,0.0022747105674781887,9.746754152140935e-06,9.768975744500387e-06
CO54,-13.00000100030581,47,2,1.0,0.06512993585146853,7.153890352807976e-06,7.65228305745746e-06
CO54,-13.00000100030581,47,3,1.0,0.09925191702625802,1.0288633955541424e-05,1.142232123500545e-05
CO54,7.999998999687493,48,0,1.0,0.00566315289324415,7.700028983081952e-06,7.74388378092082e-06
CO54,7.999998999687493,48,1,1.0,-0.01168325723743835,9.04748512818124e-06,8.943001738396693e-06
CO54,7.999998999687493,48,2,1.0,-0.009172096891442827,7.463059751904929e-06,7.395229985939391e-06
CO54,7.999998999687493,48,3,1.0,0.11613987892082545,1.1510971874185996e-05,1.3023522161098684e-05
CO54,28.99999899971408,49,0,1.0,0.03006538038325346,7.729343654508557e-06,7.968932645751605e-06
CO54,28.99999899971408,49,1,1.0,0.11324932444916747,7.1903290008777e-06,8.108625343207329e-06
CO54,28.99999899971408,49,2,1.0,0.04654987951046918,8.274190370652142e-06,8.678157559415815e-06
CO54,28.99999899971408,49,3,1.0,0.14682000201026224,9.863388231302543e-06,1.1560735430439828e-05
CO54,49.99999899970738,50,0,1.0,-0.030132025470443358,7.361847008457768e-06,7.146508240141103e-06
CO54,49.99999899970738,50,1,1.0,-0.05430922629692647,8.278588749884973e-06,7.852144838912245e-06
CO54,49.99999899970738,50,2,1.0,-0.059643836333046485,9.168046580377499e-06,8.652007652027693e-06
CO54,49.99999899970738,50,3,1.0,0.01559820531979672,1.1298478015008795e-05,1.1477506518239602e-05
CO54,70.99999899973398,51,0,1.0,-0.01808675483989508,7.925886550262298e-06,7.78507972192284e-06
CO54,70.99999899973398,51,1,1.0,0.10395645863205005,7.725630721834332e-06,8.621936730931572e-06
CO54,70.99999899973398,51,2,1.0,-0.05124321379059049,9.712216510104825e-06,9.238791159549417e-06
CO54,70.99999899973398,51,3,1.0,0.12451533512506785,7.728054027819448e-06,8.82717235135517e-06
CO54,91.99999899976055,52,0,1.0,-0.05299466387216545,6.630971993917095e-06,6.297251279064508e-06
CO54,91.99999899976055,52,1,1.0,0.2074497985990018,5.644007055192944e-06,7.121324359284727e-06
CO54,91.99999899976055,52,2,1.0,0.03264266130900373,7.28854540009452e-06,7.534491245972452e-06
CO54,91.99999899976055,52,3,1.0,0.12955483926621814,7.1884732923493265e-06,8.258387336302119e-06
CO54,112.99999899975386,53,0,1.0,0.004603110274699396,8.658355172516707e-06,8.6983948431928e-06
CO54,112.99999899975386,53,1,1.0,0.15092784067296983,7.905776172330526e-06,9.311076903754093e-06
CO54,112.99999899975386,53,2,1.0,0.07948294975318193,8.953808945229649e-06,9.726934381963773e-06
CO54,112.99999899975386,53,3,1.0,0.04780454742147566,8.102927443606003e-06,8.509731296934316e-06
CO54,133.99999899978044,54,0,1.0,0.03429769145149997,7.541062749986672e-06,7.808889637347223e-06
CO54,133.99999899978044,54,1,1.0,0.1678345411301213,6.656151254135206e-06,7.998591125344934e-06
CO54,133.99999899978044,54,2,1.0,0.16692745228866213,8.241450451499461e-06,9.892836433202392e-06
CO54,133.99999899978044,54,3,1.0,0.20213676262688096,7.673108543501789e-06,9.617072430564282e-06
CO54,154.99999899977374,55,0,1.0,0.0936024735136235,5.792033728920566e-06,6.3901693899951545e-06
CO54,154.99999899977374,55,1,1.0,0.07535808732107474,6.598970978008307e-06,7.136785481516182e-06
CO54,154.99999899977374,55,2,1.0,0.13050444412122453,6.694777319419647e-06,7.699610738842038e-06
CO54,154.99999899977374,55,3,1.0,-0.014469413516018603,6.383806565901768e-06,6.292754104607577e-06
CO54,175.99999899980034,56,0,1.0,0.0630477650585698,6.369657307763349e-06,6.798273241924144e-06
CO54,175.99999899980034,56,1,1.0,0.07940887515418038,7.780637194476518e-06,8.4517838424519e-06
CO54,175.99999899980034,56,2,1.0,0.0813692718397937,7.681834849059246e-06,8.362266374916601e-06
CO54,175.99999899980034,56,3,1.0,-0.11092275702548271,6.827149149073494e-06,6.1454760071288114e-06
CO54,196.99999899979363,57,0,1.0,-0.10681638868744603,6.884245937993292e-06,6.219862669504919e-06
CO54,196.99999899979363,57,1,1.0,0.07576547736365036,7.090742160724597e-06,7.672016124758552e-06
CO54,196.99999899979363,57,2,1.0,0.07979030521954922,7.462336500852681e-06,8.10938696166757e-06
CO54,196.99999899979363,57,3,1.0,0.019777133899434918,5.448279832327011e-06,5.5582052008242476e-06
CO87,-201.9999994453666,38,0,1.0,0.03146079114892342,5.947406422960962e-06,6.140594380289503e-06
CO87,-201.9999994453666,38,1,1.0,-0.07188957792746709,6.743947942710962e-06,6.29164429021747e-06
CO87,-201.9999994453666,38,2,1.0,-0.05321871282454471,8.069786480877638e-06,7.66202345497253e-06
CO87,-201.9999994453666,38,3,1.0,-0.055933120903801425,6.130573452470895e-06,5.80583498245e-06
CO87,-180.9999994453067,39,0,1.0,0.05981474775791962,4.932813298318657e-06,5.246639730367254e-06
CO87,-180.9999994453067,39,1,1.0,-0.06960631976020326,6.37844061085733e-06,5.963353518972591e-06
CO87,-180.9999994453067,39,2,1.0,0.020959129700304557,6.83336635565734e-06,6.979653825448134e-06
CO87,-180.9999994453067,39,3,1.0,-0.06305131521077723,6.1962061579302805e-06,5.828699018825562e-06
CO87,-159.99999944531342,40,0,1.0,0.0993284080050928,6.3884926082545116e-06,7.093032205117706e-06
CO87,-159.99999944531342,40,1,1.0,-0.07101592717443572,4.671534249303373e-06,4.361778504665059e-06
CO87,-159.99999944531342,40,2,1.0,0.04909149649250055,7.945005272347759e-06,8.355173229645117e-06
CO87,-159.99999944531342,40,3,1.0,-0.10824037097009742,6.371465166489602e-06,5.749172592325205e-06
CO87,-138.99999944532013,41,0,1.0,0.008205251253247337,5.466670894524729e-06,5.511897397553778e-06
CO87,-138.99999944532013,41,1,1.0,-0.028157082894774588,4.1718389801660676e-06,4.0575891073183695e-06
CO87,-138.99999944532013,41,2,1.0,-0.00916545477656494,7.100780199496095e-06,7.036289407140129e-06
CO87,-138.99999944532013,41,3,1.0,-0.0875822468496803,5.171616436736399e-06,4.755149738529331e-06
CO87,-117.99999944539339,42,0,1.0,0.015895792435868805,5.231204660534127e-06,5.315701955469207e-06
CO87,-117.99999944539339,42,1,1.0,-0.04470003152286006,6.0890857105760645e-06,5.8285493700043244e-06
CO87,-117.99999944539339,42,2,1.0,0.012318833405748908,5.530780147869986e-06,5.5997626915792795e-06
CO87,-117.99999944539339,42,3,1.0,-0.05769497062710682,4.835222244487512e-06,4.571471339814267e-06
CO87,-96.99999944540008,43,0,1.0,0.025781052315881348,5.240976731315658e-06,5.379670292570614e-06
CO87,-96.99999944540008,43,1,1.0,-0.048321213443147215,7.026704625958362e-06,6.702816403838264e-06
CO87,-96.99999944540008,43,2,1.0,0.061108023314404125,6.04769622641533e-06,6.441312074861308e-06
CO87,-96.99999944540008,43,3,1.0,0.02855520276739809,5.889971007519754e-06,6.063104176684848e-06
CO87,-75.99999944540677,44,0,1.0,-0.023136027912052715,6.334868533228968e-06,6.191619061794492e-06
CO87,-75.99999944540677,44,1,1.0,-0.007456680658946446,6.690459996790335e-06,6.640940623287455e-06
CO87,-75.99999944540677,44,2,1.0,0.03927427442387865,5.978903125707857e-06,6.223319482907018e-06
CO87,-75.99999944540677,44,3,1.0,0.0291205423291645,8.098459618753275e-06,8.341364682060207e-06
CO87,-54.9999994453469,45,0,1.0,-0.042978340832234396,6.9395774598777736e-06,6.653616080215439e-06
CO87,-54.9999994453469,45,1,1.0,0.030616092747234314,5.22613830254625e-06,5.391195648540451e-06
CO87,-54.9999994453469,45,2,1.0,-0.05216180900024714,5.95411440509724e-06,5.6589341621844035e-06
CO87,-54.9999994453469,45,3,1.0,0.05029177740759072,6.490400545524693e-06,6.834099559344564e-06
CO87,-33.9999994453536,46,0,1.0,0.0015652298910467932,5.3425121908962215e-06,5.35088756004884e-06
CO87,-33.9999994453536,46,1,1.0,0.04752817094835193,5.5315246917633344e-06,5.807546767310622e-06
CO87,-33.9999994453536,46,2,1.0,-0.06902355213419953,6.917680297433642e-06,6.4710270261335025e-06
CO87,-33.9999994453536,46,3,1.0,0.09100256290835929,4.7726954893763224e-06,5.25050489102222e-06
CO87,-12.999999445360299,47,0,1.0,0.033331159425755263,5.537794286552744e-06,5.728739827036366e-06
